Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,16703,https://open.spotify.com/track/12VWzyPDBCc8fqeWCAfNwR
2,"Don't Let Me Down","The Chainsmokers",13501,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
3,"This Is What You Came For","Calvin Harris",12877,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
4,"No Money",Galantis,12571,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
5,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",12520,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
6,"Cheap Thrills",Sia,12483,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
7,Sex,"Cheat Codes",11667,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
8,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",11526,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
9,Faded,"Alan Walker",11161,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
10,"Cake By The Ocean",DNCE,10078,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
11,"Stressed Out","Twenty One Pilots",9774,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
12,Panda,Desiigner,9724,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
13,"This Girl (Kungs Vs. Cookin' On 3 Burners)",Kungs,8917,https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7
14,"Fast Car - Radio Edit","Jonas Blue",8415,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
15,"Work from Home","Joshua Coleman",8321,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
16,"Me, Myself & I",G-Eazy,7794,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
17,Gold,Kiiara,7342,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
18,Miracle,"Julian Perretta",7018,https://open.spotify.com/track/1gEK5unpcVyBc90uJRBtY6
19,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",7004,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
20,"Howling At The Moon",Milow,6981,https://open.spotify.com/track/4SGOZ3lXQHWtOL3bfzqqFi
21,"My House","Flo Rida",6758,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
22,Bonbon,"Era Istrefi",6600,https://open.spotify.com/track/3Uz8ZcQdlOF2qE6q1rcVpw
23,"If I Were Sorry",Frans,6593,https://open.spotify.com/track/6oDkCmfVcSd9NXAKk1b4Ll
24,"Wir sind groß","Mark Forster",6560,https://open.spotify.com/track/7Ars6vxMVBQPc4LwbwbQKm
25,"Speeding Cars","Walking On Cars",6378,https://open.spotify.com/track/4GylZDT7adqIfVoPHyFb5X
26,"i hate u, i love u (feat. olivia o'brien)",gnash,6266,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
27,"Please Tell Rosie","Alle Farben",6126,https://open.spotify.com/track/7qzOLWwRTEhyN4c8Lnbj1J
