Position,"Track Name",Artist,Streams,URL
1,Faded,"Alan Walker",3006,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
2,"Me, Myself & I",G-Eazy,2934,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
3,"Stressed Out","Twenty One Pilots",2829,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
4,PILLOWTALK,ZAYN,2661,https://open.spotify.com/track/0IKK48xF4eEdfofyaeKWWO
5,Work,Rihanna,2569,https://open.spotify.com/track/32lmL4vQAAotg6MrJnhlQZ
6,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",2433,https://open.spotify.com/track/7vfWgVGiLgnGbInU5lvSQg
7,"Love Yourself","Justin Bieber",2408,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
8,Stay,Kygo,2294,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
9,"Hands To Myself","Selena Gomez",2213,https://open.spotify.com/track/3CJvmtWw2bJsudbAC5uCQk
10,Sorry,"Justin Bieber",2192,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
11,Roses,"The Chainsmokers",2140,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
12,"Fast Car - Radio Edit","Jonas Blue",2103,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
13,"Lush Life","Zara Larsson",1983,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
14,"7 Years","Lukas Graham",1978,https://open.spotify.com/track/4dbV37qzkwZOnkGVpsR0Q7
15,"Sugar (feat. Francesco Yates)","Robin Schulz",1939,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
16,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",1905,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
17,"Cake By The Ocean",DNCE,1820,https://open.spotify.com/track/42ftjU4cTN5UTRksyqBKZJ
18,Stitches,"Shawn Mendes",1710,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
19,"My House","Flo Rida",1683,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
20,"Adventure Of A Lifetime",Coldplay,1669,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
21,"Lay It All On Me (feat. Ed Sheeran)",Rudimental,1646,https://open.spotify.com/track/6splO3UF8hSmK33y5fJTNk
22,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",1645,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
23,"What Do You Mean?","Justin Bieber",1477,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
24,"I Know What You Did Last Summer","Shawn Mendes",1462,https://open.spotify.com/track/7crplFzt7spG80NCbpmuCp
25,"All My Friends",Snakehips,1399,https://open.spotify.com/track/6TaqooOXAEcijL6G1AWS2K
26,YOUTH,"Troye Sivan",1363,https://open.spotify.com/track/1cOyWWUr3oXJIxY0AjJEx9
27,"Never Forget You","Zara Larsson",1265,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
28,Hello,Adele,1234,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
29,"Hide Away",Daya,1213,https://open.spotify.com/track/2hsza71y54ABzmabyNDtM4
30,"Hymn For The Weekend",Coldplay,1191,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
31,"When We Were Young",Adele,1170,https://open.spotify.com/track/7A2eDNBgJrEVE87C8pOMqN
32,"Running Out",Matoma,1146,https://open.spotify.com/track/2H8LPaY3NSjmOFMH2Rygnz
33,"In The Night","The Weeknd",1132,https://open.spotify.com/track/7fPHfBCyKE3aVCBjE4DAvl
34,"Lean On (feat. MØ & DJ Snake)","Major Lazer",1095,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
35,"One Call Away","Charlie Puth",1095,https://open.spotify.com/track/37R0bQOQj5a7DOqh1TGzvB
36,"Same Old Love","Selena Gomez",1031,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly
