Position,"Track Name",Artist,Streams,URL
1,Ginza,"J Balvin",211670,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k
2,"What Do You Mean?","Justin Bieber",195075,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
3,"Lean On (feat. MØ & DJ Snake)","Major Lazer",163701,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
4,"Can't Feel My Face","The Weeknd",123738,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
5,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,118731,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
6,"El Perdón","Nicky Jam",111782,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
7,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",97165,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
8,"Where Are Ü Now (with Justin Bieber)","Jack Ü",92927,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
9,"Drag Me Down","One Direction",89495,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
10,"How Deep Is Your Love","Calvin Harris",86018,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
11,Firestone,Kygo,79813,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
12,"Want to Want Me","Jason Derulo",76001,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
13,"Runaway (U & I)",Galantis,74792,https://open.spotify.com/track/46lFttIf5hnUZMGvjK0Wxo
14,"Worth It","Fifth Harmony",74490,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
15,Sugar,"Maroon 5",72637,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
16,"Omen - Radio Edit",Disclosure,71395,https://open.spotify.com/track/3jEPu6FD1icy9cLllhB2XK
17,Photograph,"Ed Sheeran",70712,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
18,"Sugar (feat. Francesco Yates)","Robin Schulz",69584,https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo
19,"See You Again (feat. Charlie Puth)","Wiz Khalifa",67406,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
20,"Good For You","Selena Gomez",66232,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
21,"Five More Hours - Deorro x Chris Brown",Deorro,63810,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
22,"Waiting For Love",Avicii,63780,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ
23,"Ay Vamos","J Balvin",63436,https://open.spotify.com/track/6Ges5C2IE738iJh4HyQizQ
24,"Cool for the Summer","Demi Lovato",62738,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
25,"Uptown Funk","Mark Ronson",61604,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
26,Piénsalo,"Banda Sinaloense MS de Sergio Lizárraga",60512,https://open.spotify.com/track/5QxCS4ySq9tzNIxG9SbRWL
27,"Thinking Out Loud","Ed Sheeran",60094,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
28,"El Amor De Su Vida","Julión Álvarez y su Norteño Banda",60003,https://open.spotify.com/track/1lROXJjQxzq35Zswlk96sO
29,"6 AM","J Balvin",59547,https://open.spotify.com/track/3uvypVUsiIr1B0BccIcsEh
30,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",59440,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
31,"Después de Ti, ¿Quién?","La Adictiva Banda San José de Mesillas",57657,https://open.spotify.com/track/2F7jxP3bX0zUxDuGzSjcsM
32,"La Gozadera","Gente De Zona",57595,https://open.spotify.com/track/3ip2477VESffCtFkPFT0ov
33,"The Hills","The Weeknd",57404,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
34,"La Mordidita","Ricky Martin",56508,https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm
35,"Are You with Me - Radio Edit","Lost Frequencies",56183,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
36,"Ecos de amor","Jesse & Joy",55719,https://open.spotify.com/track/7vzj43Jubjm0kUEvYwFR8T
37,"Ain't Nobody (Loves Me Better)","Felix Jaehn",55215,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
38,"El Taxi - Original Version",Pitbull,54887,https://open.spotify.com/track/0uACB4xtUGiozU7aTU10QU
39,"Prayer in C - Robin Schulz Radio Edit","Lilly Wood and The Prick",54870,https://open.spotify.com/track/0uVyZywUNOp6S0dU5r8TS8
40,"Stole the Show",Kygo,54341,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
41,"Locked Away","R. City",53270,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN
42,"Watch Me (Whip / Nae Nae)",Silentó,53004,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr
43,Stitches,"Shawn Mendes",51654,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
44,"Earned It (Fifty Shades Of Grey)","The Weeknd",51646,https://open.spotify.com/track/5UPwc30oJ4KhQYctNfv34x
45,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",50892,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
46,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",48138,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
47,Perdoname,Deorro,47343,https://open.spotify.com/track/5cR7culxUEPLhzIC0KWAH1
48,"Time of Our Lives",Pitbull,47123,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
49,"For A Better Day",Avicii,43176,https://open.spotify.com/track/2u5B53qh8UGDnPcdJATcDl
50,King,"Years & Years",41945,https://open.spotify.com/track/4SNtBMJa7Wpk1tJzMSUv9B
51,"Take Me To Church",Hozier,40445,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
52,"I Really Like You","Carly Rae Jepsen",38196,https://open.spotify.com/track/0PGLRTN0X6DrXh645WJCIY
53,"Beautiful Now",Zedd,38075,https://open.spotify.com/track/7FJP35tUJ2121EJsFpU1Gh
54,Outside,"Calvin Harris",36814,https://open.spotify.com/track/7MmG8p0F9N3C4AXdK6o6Eb
55,"Háblame de Ti","Banda Sinaloense MS de Sergio Lizárraga",36032,https://open.spotify.com/track/4YCWsVdCoVQieev0hyeesj
56,"Black Magic","Little Mix",34288,https://open.spotify.com/track/33NHr7lu7tCMjK05jUj1v0
57,"Y Así Fue","Julión Álvarez y su Norteño Banda",34149,https://open.spotify.com/track/4mzUXLXB7bP39K7CCJzouR
58,"Ghost Town","Adam Lambert",34136,https://open.spotify.com/track/44aN5xKL3kGHvQ5bXVk6B8
59,"One Last Time","Ariana Grande",33739,https://open.spotify.com/track/2OlWBmSjf1aUPGLNf0UI5A
60,"Headlights (feat. Ilsey)","Robin Schulz",33629,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
61,"Me Sobrabas Tú","Banda Los Recoditos",33359,https://open.spotify.com/track/33XISWpHJRbAvFSMW1y44A
62,"Bailando - Spanish Version","Enrique Iglesias",32905,https://open.spotify.com/track/32lm3769IRfcnrQV11LO4E
63,"This Summer","Maroon 5",32637,https://open.spotify.com/track/5NUlOzzMdoIABFTnhizCQa
64,"¿Por Qué Terminamos?","Gerardo Ortiz",32552,https://open.spotify.com/track/4cuti7K7IqIUm5f9pcCGjh
65,"Mi Razón De Ser","Banda Sinaloense MS de Sergio Lizárraga",31985,https://open.spotify.com/track/5JaMGjY9Ltvo9CFQfmUdYW
66,Blame,"Calvin Harris",31921,https://open.spotify.com/track/07nH4ifBxUB4lZcsf44Brn
67,"You Know You Like It - DJ Snake Remix",AlunaGeorge,30946,https://open.spotify.com/track/4HfykP9fjZZJC3WBwFArb4
68,"El Aprendiz - En Vivo Desde Guanajuato",Samo,30871,https://open.spotify.com/track/6wC2vAyhQo40HeENRI23aq
