,external_urls,href,id,name,type,uri,track_url
spotify,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,artist,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
spotify,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
spotify,https://open.spotify.com/artist/738wLrAtLtCtFOLvQBXOXp,https://api.spotify.com/v1/artists/738wLrAtLtCtFOLvQBXOXp,738wLrAtLtCtFOLvQBXOXp,Major Lazer,artist,spotify:artist:738wLrAtLtCtFOLvQBXOXp,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
spotify,https://open.spotify.com/artist/540vIaP2JwjQb9dm3aArA4,https://api.spotify.com/v1/artists/540vIaP2JwjQb9dm3aArA4,540vIaP2JwjQb9dm3aArA4,DJ Snake,artist,spotify:artist:540vIaP2JwjQb9dm3aArA4,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
spotify,https://open.spotify.com/artist/0bdfiayQAKewqEvaU6rXCv,https://api.spotify.com/v1/artists/0bdfiayQAKewqEvaU6rXCv,0bdfiayQAKewqEvaU6rXCv,MØ,artist,spotify:artist:0bdfiayQAKewqEvaU6rXCv,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
spotify,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
spotify,https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY,https://api.spotify.com/v1/artists/7CajNmpbOovFoOoasH2HaY,7CajNmpbOovFoOoasH2HaY,Calvin Harris,artist,spotify:artist:7CajNmpbOovFoOoasH2HaY,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
spotify,https://open.spotify.com/artist/5EehXjjMktLuJmbRsM7YfB,https://api.spotify.com/v1/artists/5EehXjjMktLuJmbRsM7YfB,5EehXjjMktLuJmbRsM7YfB,Disciples,artist,spotify:artist:5EehXjjMktLuJmbRsM7YfB,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
spotify,https://open.spotify.com/artist/4AK6F7OLvEQ5QYCBNiQWHq,https://api.spotify.com/v1/artists/4AK6F7OLvEQ5QYCBNiQWHq,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,artist,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
spotify,https://open.spotify.com/artist/5MouCg6ta7zAxsfMEbc1uh,https://api.spotify.com/v1/artists/5MouCg6ta7zAxsfMEbc1uh,5MouCg6ta7zAxsfMEbc1uh,OMI,artist,spotify:artist:5MouCg6ta7zAxsfMEbc1uh,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
spotify,https://open.spotify.com/artist/1HxJeLhIuegM3KgvPn8sTa,https://api.spotify.com/v1/artists/1HxJeLhIuegM3KgvPn8sTa,1HxJeLhIuegM3KgvPn8sTa,Jack Ü,artist,spotify:artist:1HxJeLhIuegM3KgvPn8sTa,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
spotify,https://open.spotify.com/artist/5he5w2lnU9x7JFhnwcekXX,https://api.spotify.com/v1/artists/5he5w2lnU9x7JFhnwcekXX,5he5w2lnU9x7JFhnwcekXX,Skrillex,artist,spotify:artist:5he5w2lnU9x7JFhnwcekXX,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
spotify,https://open.spotify.com/artist/5fMUXHkw8R8eOP2RNVYEZX,https://api.spotify.com/v1/artists/5fMUXHkw8R8eOP2RNVYEZX,5fMUXHkw8R8eOP2RNVYEZX,Diplo,artist,spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
spotify,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,artist,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
spotify,https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx,https://api.spotify.com/v1/artists/0C8ZW7ezQVs4URX5aX7Kqx,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,artist,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
spotify,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,https://api.spotify.com/v1/artists/13ubrt8QOOCPljQ2FL1Kca,13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,artist,spotify:artist:13ubrt8QOOCPljQ2FL1Kca,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
spotify,https://open.spotify.com/artist/4TH4BHy0LdBi3dpBW4P2UX,https://api.spotify.com/v1/artists/4TH4BHy0LdBi3dpBW4P2UX,4TH4BHy0LdBi3dpBW4P2UX,R. City,artist,spotify:artist:4TH4BHy0LdBi3dpBW4P2UX,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN
