,<!doctype html>,Artist,Position,Streams,Track Name,URL,code,date
0,,Justin Bieber,1.0,2234.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,bo,2015-09-01
1,,Major Lazer,2.0,2165.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,bo,2015-09-01
2,,J Balvin,3.0,1937.0,Ginza,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k,bo,2015-09-01
3,,OMI,4.0,1654.0,Cheerleader - Felix Jaehn Remix Radio Edit,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn,bo,2015-09-01
4,,The Weeknd,5.0,1603.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,bo,2015-09-01
5,,Jack Ü,6.0,1326.0,Where Are Ü Now (with Justin Bieber),https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f,bo,2015-09-01
6,,Flo Rida,7.0,1273.0,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ,bo,2015-09-01
7,,Nicky Jam,8.0,1265.0,El Perdón,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl,bo,2015-09-01
8,,One Direction,9.0,1206.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,bo,2015-09-01
9,,Calvin Harris,10.0,1093.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,bo,2015-09-01
10,,Fifth Harmony,11.0,1068.0,Worth It,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO,bo,2015-09-01
11,,Wiz Khalifa,12.0,1046.0,See You Again (feat. Charlie Puth),https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L,bo,2015-09-01
12,,Maroon 5,13.0,1025.0,Sugar,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I,bo,2015-09-01
13,,Gente De Zona,14.0,1013.0,La Gozadera,https://open.spotify.com/track/3ip2477VESffCtFkPFT0ov,bo,2015-09-01
0,,Major Lazer,1.0,2193.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,bo,2015-09-02
1,,Justin Bieber,2.0,2160.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,bo,2015-09-02
2,,J Balvin,3.0,1995.0,Ginza,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k,bo,2015-09-02
3,,OMI,4.0,1499.0,Cheerleader - Felix Jaehn Remix Radio Edit,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn,bo,2015-09-02
4,,The Weeknd,5.0,1481.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,bo,2015-09-02
5,,Jack Ü,6.0,1284.0,Where Are Ü Now (with Justin Bieber),https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f,bo,2015-09-02
6,,Flo Rida,7.0,1244.0,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ,bo,2015-09-02
7,,One Direction,8.0,1131.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,bo,2015-09-02
8,,Nicky Jam,9.0,1094.0,El Perdón,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl,bo,2015-09-02
9,,Wiz Khalifa,10.0,1035.0,See You Again (feat. Charlie Puth),https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L,bo,2015-09-02
10,,Jason Derulo,11.0,1027.0,Want to Want Me,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy,bo,2015-09-02
11,,Maroon 5,12.0,1007.0,Sugar,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I,bo,2015-09-02
12,,Fifth Harmony,13.0,1004.0,Worth It,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO,bo,2015-09-02
0,,Justin Bieber,1.0,2209.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,bo,2015-09-03
1,,Major Lazer,2.0,2112.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,bo,2015-09-03
2,,J Balvin,3.0,1985.0,Ginza,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k,bo,2015-09-03
3,,OMI,4.0,1628.0,Cheerleader - Felix Jaehn Remix Radio Edit,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn,bo,2015-09-03
4,,The Weeknd,5.0,1446.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,bo,2015-09-03
5,,Jack Ü,6.0,1290.0,Where Are Ü Now (with Justin Bieber),https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f,bo,2015-09-03
6,,Flo Rida,7.0,1274.0,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ,bo,2015-09-03
7,,Nicky Jam,8.0,1125.0,El Perdón,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl,bo,2015-09-03
8,,One Direction,9.0,1122.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,bo,2015-09-03
9,,Calvin Harris,10.0,1053.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,bo,2015-09-03
10,,Fifth Harmony,11.0,1030.0,Worth It,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO,bo,2015-09-03
11,,Maroon 5,12.0,1001.0,Sugar,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I,bo,2015-09-03
0,,Major Lazer,1.0,2215.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,bo,2015-09-04
1,,Justin Bieber,2.0,2121.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,bo,2015-09-04
2,,J Balvin,3.0,2114.0,Ginza,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k,bo,2015-09-04
3,,OMI,4.0,1660.0,Cheerleader - Felix Jaehn Remix Radio Edit,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn,bo,2015-09-04
4,,The Weeknd,5.0,1374.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,bo,2015-09-04
5,,Jack Ü,6.0,1365.0,Where Are Ü Now (with Justin Bieber),https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f,bo,2015-09-04
6,,Flo Rida,7.0,1208.0,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ,bo,2015-09-04
