,<!doctype html>,Artist,Position,Streams,Track Name,URL,code,date
0,,Justin Bieber,1.0,7551.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,cz,2015-09-01
1,,Major Lazer,2.0,5165.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,cz,2015-09-01
2,,The Weeknd,3.0,4960.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,cz,2015-09-01
3,,Calvin Harris,4.0,4576.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,cz,2015-09-01
4,,Robin Schulz,5.0,4291.0,Sugar (feat. Francesco Yates),https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo,cz,2015-09-01
5,,One Direction,6.0,4290.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,cz,2015-09-01
6,,Felix Jaehn,7.0,3930.0,Ain't Nobody (Loves Me Better),https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB,cz,2015-09-01
7,,OMI,8.0,3793.0,Cheerleader - Felix Jaehn Remix Radio Edit,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn,cz,2015-09-01
8,,Selena Gomez,9.0,3740.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,cz,2015-09-01
9,,The Weeknd,10.0,3407.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,cz,2015-09-01
10,,R. City,11.0,3384.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,cz,2015-09-01
11,,Avicii,12.0,3320.0,Waiting For Love,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ,cz,2015-09-01
12,,Demi Lovato,13.0,3243.0,Cool for the Summer,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT,cz,2015-09-01
13,,Jack Ü,14.0,3222.0,Where Are Ü Now (with Justin Bieber),https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f,cz,2015-09-01
14,,Flo Rida,15.0,3193.0,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ,cz,2015-09-01
15,,Ed Sheeran,16.0,2933.0,Photograph,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL,cz,2015-09-01
16,,WALK THE MOON,17.0,2881.0,Shut Up and Dance,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA,cz,2015-09-01
17,,Fifth Harmony,18.0,2787.0,Worth It,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO,cz,2015-09-01
18,,Charlie Puth,19.0,2660.0,Marvin Gaye (feat. Meghan Trainor),https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3,cz,2015-09-01
19,,Lost Frequencies,20.0,2597.0,Reality - Radio Edit,https://open.spotify.com/track/5kZRoc6Gz7u5eu4a0YM2LS,cz,2015-09-01
20,,Rachel Platten,21.0,2597.0,Fight Song,https://open.spotify.com/track/6bRbeEgg8v8BQ0HuVuPE7v,cz,2015-09-01
21,,Kygo,22.0,2584.0,Stole the Show,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa,cz,2015-09-01
22,,Little Mix,23.0,2426.0,Black Magic,https://open.spotify.com/track/33NHr7lu7tCMjK05jUj1v0,cz,2015-09-01
23,,Slza,24.0,2342.0,Katarze - Radio Edit,https://open.spotify.com/track/6RoYTXotl4coeDpDDNHVyO,cz,2015-09-01
24,,Wiz Khalifa,25.0,2304.0,See You Again (feat. Charlie Puth),https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L,cz,2015-09-01
25,,Lost Frequencies,26.0,2295.0,Are You with Me - Radio Edit,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l,cz,2015-09-01
26,,Avicii,27.0,2208.0,For A Better Day,https://open.spotify.com/track/2u5B53qh8UGDnPcdJATcDl,cz,2015-09-01
27,,Jason Derulo,28.0,2142.0,Want to Want Me,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy,cz,2015-09-01
28,,David Guetta,29.0,2041.0,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm,cz,2015-09-01
29,,Disclosure,30.0,1973.0,Omen - Radio Edit,https://open.spotify.com/track/3jEPu6FD1icy9cLllhB2XK,cz,2015-09-01
30,,Kygo,31.0,1969.0,Firestone,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ,cz,2015-09-01
31,,Dillon Francis,32.0,1935.0,Coming Over (feat. James Hersey),https://open.spotify.com/track/6m3ZWIXhjoV76syT1j2oE9,cz,2015-09-01
32,,Galantis,33.0,1861.0,Runaway (U & I),https://open.spotify.com/track/46lFttIf5hnUZMGvjK0Wxo,cz,2015-09-01
33,,Robin Schulz,34.0,1856.0,Headlights (feat. Ilsey),https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB,cz,2015-09-01
34,,Macklemore & Ryan Lewis,35.0,1849.0,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",https://open.spotify.com/track/0lLDaAdXcjOQ7Mf2NXzXay,cz,2015-09-01
35,,Adam Lambert,36.0,1834.0,Ghost Town,https://open.spotify.com/track/44aN5xKL3kGHvQ5bXVk6B8,cz,2015-09-01
36,,Maroon 5,37.0,1789.0,Sugar,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I,cz,2015-09-01
37,,Nico & Vinz,38.0,1764.0,That's How You Know (feat. Kid Ink & Bebe Rexha),https://open.spotify.com/track/3icbmPGKTsKAa0IinkizCM,cz,2015-09-01
38,,Ellie Goulding,39.0,1751.0,"Love Me Like You Do - From ""Fifty Shades Of Grey""",https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068,cz,2015-09-01
39,,AlunaGeorge,40.0,1692.0,You Know You Like It - DJ Snake Remix,https://open.spotify.com/track/4HfykP9fjZZJC3WBwFArb4,cz,2015-09-01
40,,Hozier,41.0,1690.0,Take Me To Church,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2,cz,2015-09-01
41,,Fetty Wap,42.0,1683.0,679 (feat. Remy Boyz),https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ,cz,2015-09-01
42,,Madcon,43.0,1677.0,Don't Worry (with Ray Dalton) - Radio Edit,https://open.spotify.com/track/63CSozvYUEudPp12679UVF,cz,2015-09-01
43,,Deorro,44.0,1631.0,Five More Hours - Deorro x Chris Brown,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ,cz,2015-09-01
44,,Mark Ronson,45.0,1625.0,Uptown Funk,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,cz,2015-09-01
45,,Ed Sheeran,46.0,1620.0,Thinking Out Loud,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f,cz,2015-09-01
46,,Majk Spirit,47.0,1611.0,Primetime,https://open.spotify.com/track/2uQl5yUZ0rKuXV0DmndNsw,cz,2015-09-01
47,,Nicky Jam,48.0,1599.0,El Perdón,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl,cz,2015-09-01
48,,Drake,49.0,1561.0,Hotline Bling,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx,cz,2015-09-01
49,,Hailee Steinfeld,50.0,1530.0,Love Myself,https://open.spotify.com/track/0xCmwofyCiXdhoBsMSNj2w,cz,2015-09-01
50,,Zedd,51.0,1494.0,Beautiful Now,https://open.spotify.com/track/7FJP35tUJ2121EJsFpU1Gh,cz,2015-09-01
51,,Shawn Mendes,52.0,1489.0,Stitches,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76,cz,2015-09-01
52,,Halsey,53.0,1423.0,New Americana,https://open.spotify.com/track/6Xs7OKt6i0Ddq8B4M5Dgvr,cz,2015-09-01
53,,Axwell /\ Ingrosso,54.0,1319.0,Sun Is Shining,https://open.spotify.com/track/1Gzv0cMy3xm7sgN5gd7WkU,cz,2015-09-01
54,,Silentó,55.0,1290.0,Watch Me (Whip / Nae Nae),https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr,cz,2015-09-01
55,,Jason Derulo,56.0,1226.0,Cheyenne,https://open.spotify.com/track/3EofjRgUI1WrzqqtLb8NoF,cz,2015-09-01
