Position,"Track Name",Artist,Streams,URL
1,Ginza,"J Balvin",203375,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k
2,"What Do You Mean?","Justin Bieber",198759,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
3,"Lean On (feat. MØ & DJ Snake)","Major Lazer",162655,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
4,"Can't Feel My Face","The Weeknd",130112,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
5,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,114421,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
6,"El Perdón","Nicky Jam",108252,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
7,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",96868,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
8,"Where Are Ü Now (with Justin Bieber)","Jack Ü",92053,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
9,"Drag Me Down","One Direction",89021,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
10,"How Deep Is Your Love","Calvin Harris",82035,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
11,Firestone,Kygo,77504,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
12,"Want to Want Me","Jason Derulo",77405,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
13,"Runaway (U & I)",Galantis,76541,https://open.spotify.com/track/46lFttIf5hnUZMGvjK0Wxo
14,"Worth It","Fifth Harmony",72985,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
15,"Omen - Radio Edit",Disclosure,71920,https://open.spotify.com/track/3jEPu6FD1icy9cLllhB2XK
16,Sugar,"Maroon 5",71535,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
17,Photograph,"Ed Sheeran",68429,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
18,"See You Again (feat. Charlie Puth)","Wiz Khalifa",68322,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
19,"Sugar (feat. Francesco Yates)","Robin Schulz",67658,https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo
20,"Good For You","Selena Gomez",64804,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
21,"Waiting For Love",Avicii,64394,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ
22,"Thinking Out Loud","Ed Sheeran",62335,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
23,"Ay Vamos","J Balvin",62212,https://open.spotify.com/track/6Ges5C2IE738iJh4HyQizQ
24,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",62046,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
25,"Cool for the Summer","Demi Lovato",62011,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
26,"Uptown Funk","Mark Ronson",61760,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
27,"Five More Hours - Deorro x Chris Brown",Deorro,61369,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
28,"El Amor De Su Vida","Julión Álvarez y su Norteño Banda",58287,https://open.spotify.com/track/1lROXJjQxzq35Zswlk96sO
29,"6 AM","J Balvin",57853,https://open.spotify.com/track/3uvypVUsiIr1B0BccIcsEh
30,"La Gozadera","Gente De Zona",56839,https://open.spotify.com/track/3ip2477VESffCtFkPFT0ov
31,"The Hills","The Weeknd",55189,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
32,Piénsalo,"Banda Sinaloense MS de Sergio Lizárraga",54895,https://open.spotify.com/track/5QxCS4ySq9tzNIxG9SbRWL
33,"Prayer in C - Robin Schulz Radio Edit","Lilly Wood and The Prick",54477,https://open.spotify.com/track/0uVyZywUNOp6S0dU5r8TS8
34,"Stole the Show",Kygo,54449,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
35,"Después de Ti, ¿Quién?","La Adictiva Banda San José de Mesillas",54200,https://open.spotify.com/track/2F7jxP3bX0zUxDuGzSjcsM
36,"Ecos de amor","Jesse & Joy",54185,https://open.spotify.com/track/7vzj43Jubjm0kUEvYwFR8T
37,"Are You with Me - Radio Edit","Lost Frequencies",53854,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
38,"La Mordidita","Ricky Martin",52465,https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm
39,"Watch Me (Whip / Nae Nae)",Silentó,51153,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr
40,Stitches,"Shawn Mendes",50251,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
41,"Ain't Nobody (Loves Me Better)","Felix Jaehn",49629,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
42,"Earned It (Fifty Shades Of Grey)","The Weeknd",49403,https://open.spotify.com/track/4frLb7nWtsz2ymBE6k2GRP
43,"Locked Away","R. City",48873,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN
44,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",48530,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
45,"El Taxi - Original Version",Pitbull,47597,https://open.spotify.com/track/0uACB4xtUGiozU7aTU10QU
46,"Take Me To Church",Hozier,47303,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
47,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",46389,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
48,"Time of Our Lives",Pitbull,46084,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
49,Perdoname,Deorro,45123,https://open.spotify.com/track/5cR7culxUEPLhzIC0KWAH1
50,King,"Years & Years",43731,https://open.spotify.com/track/4SNtBMJa7Wpk1tJzMSUv9B
51,"For A Better Day",Avicii,42006,https://open.spotify.com/track/2u5B53qh8UGDnPcdJATcDl
52,Outside,"Calvin Harris",39213,https://open.spotify.com/track/7MmG8p0F9N3C4AXdK6o6Eb
53,"Headlights (feat. Ilsey)","Robin Schulz",37346,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
54,"I Really Like You","Carly Rae Jepsen",37240,https://open.spotify.com/track/0PGLRTN0X6DrXh645WJCIY
55,"Stay With Me","Sam Smith",36813,https://open.spotify.com/track/7IHOIqZUUInxjVkko181PB
56,"Beautiful Now",Zedd,35875,https://open.spotify.com/track/7FJP35tUJ2121EJsFpU1Gh
57,"Black Magic","Little Mix",33514,https://open.spotify.com/track/33NHr7lu7tCMjK05jUj1v0
58,"Ghost Town","Adam Lambert",33440,https://open.spotify.com/track/44aN5xKL3kGHvQ5bXVk6B8
59,"Háblame de Ti","Banda Sinaloense MS de Sergio Lizárraga",32696,https://open.spotify.com/track/4YCWsVdCoVQieev0hyeesj
60,"This Summer","Maroon 5",32595,https://open.spotify.com/track/5NUlOzzMdoIABFTnhizCQa
61,"Y Así Fue","Julión Álvarez y su Norteño Banda",32569,https://open.spotify.com/track/4mzUXLXB7bP39K7CCJzouR
62,"You Know You Like It - DJ Snake Remix",AlunaGeorge,32291,https://open.spotify.com/track/4HfykP9fjZZJC3WBwFArb4
63,"Bailando - Spanish Version","Enrique Iglesias",31989,https://open.spotify.com/track/32lm3769IRfcnrQV11LO4E
64,"One Last Time","Ariana Grande",31217,https://open.spotify.com/track/2OlWBmSjf1aUPGLNf0UI5A
65,"Hasta la Raíz","Natalia Lafourcade",31128,https://open.spotify.com/track/5rSrGaSh81XKSRA6ytab6q
66,Blame,"Calvin Harris",30843,https://open.spotify.com/track/07nH4ifBxUB4lZcsf44Brn
67,"Hold My Hand","Jess Glynne",30427,https://open.spotify.com/track/58jx3tTuDuzHysC77c0AQd
68,"Shut Up and Dance","WALK THE MOON",30370,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
69,"I'm Not The Only One","Sam Smith",30139,https://open.spotify.com/track/1VbhR6D6zUoSTBzvnRonXO
70,"New Thang",Redfoo,30014,https://open.spotify.com/track/4PVm8e67skz8B8wiJP2kwk
71,"Fanática Sensual","Plan B",29730,https://open.spotify.com/track/1BygxKyZjq2xjQiFMkSFGp
72,"Me Sobrabas Tú","Banda Los Recoditos",29333,https://open.spotify.com/track/33XISWpHJRbAvFSMW1y44A
73,"El Aprendiz - En Vivo Desde Guanajuato",Samo,29225,https://open.spotify.com/track/6wC2vAyhQo40HeENRI23aq
74,"Estrellas Rotas",Kalimba,29112,https://open.spotify.com/track/5OeCxTOOl8N4FAUNZmw4Va
75,"¿Por Qué Terminamos?","Gerardo Ortiz",28850,https://open.spotify.com/track/4cuti7K7IqIUm5f9pcCGjh
76,"Mi Razón De Ser","Banda Sinaloense MS de Sergio Lizárraga",28812,https://open.spotify.com/track/5JaMGjY9Ltvo9CFQfmUdYW
77,Chandelier,Sia,28666,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
78,"Mi verdad - feat. Shakira",Maná,28652,https://open.spotify.com/track/3YmA3gZqlXl0MkwhkVKxRy
79,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",28639,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
80,Emergency,"Icona Pop",28459,https://open.spotify.com/track/6sKAs2tdtTVTO2U0IgJAur
81,"Perdón, Perdón - HA-ASH Primera Fila - Hecho Realidad [En Vivo]",Ha*Ash,28415,https://open.spotify.com/track/15Hx1oi6C3AxYhhvolqrJG
82,Contigo,"Calibre 50",28382,https://open.spotify.com/track/5TphzFf2iv0l3VrFHN08kN
83,Rude,MAGIC!,28058,https://open.spotify.com/track/6RtPijgfPKROxEzTHNRiDp
84,"Ex de Verdad - HA-ASH Primera Fila - Hecho Realidad [En Vivo]",Ha*Ash,27889,https://open.spotify.com/track/40lU8uy8xKKRAP9A1N3BqH
85,"Hula Hoop",OMI,26992,https://open.spotify.com/track/4vEUY73dVOg97Ajbqq9zgV
86,"Borro Cassette",Maluma,26353,https://open.spotify.com/track/2ocDZVhBiGCaaZRNW3fmSd
87,"Bang Bang","Jessie J",25798,https://open.spotify.com/track/3SaIsrEzrQGDcG1jCeaK8q
88,"A Que No Me Dejas","Alejandro Sanz",25518,https://open.spotify.com/track/4s5D7IM9z6xDVwOg9r8Hqp
89,"Trap Queen","Fetty Wap",25505,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
