,<!doctype html>,Artist,Position,Streams,Track Name,URL,code,date
0,,Justin Bieber,1.0,6060.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,do,2015-09-01
1,,Major Lazer,2.0,3557.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,do,2015-09-01
2,,The Weeknd,3.0,3203.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,do,2015-09-01
3,,OMI,4.0,2903.0,Cheerleader - Felix Jaehn Remix Radio Edit,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn,do,2015-09-01
4,,J Balvin,5.0,2602.0,Ginza,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k,do,2015-09-01
5,,Calvin Harris,6.0,2457.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,do,2015-09-01
6,,Jack Ü,7.0,2277.0,Where Are Ü Now (with Justin Bieber),https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f,do,2015-09-01
7,,The Weeknd,8.0,2269.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,do,2015-09-01
8,,One Direction,9.0,2019.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,do,2015-09-01
9,,Selena Gomez,10.0,1817.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,do,2015-09-01
10,,Demi Lovato,11.0,1810.0,Cool for the Summer,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT,do,2015-09-01
11,,Silentó,12.0,1704.0,Watch Me (Whip / Nae Nae),https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr,do,2015-09-01
12,,Kygo,13.0,1667.0,Firestone,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ,do,2015-09-01
13,,Flo Rida,14.0,1623.0,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ,do,2015-09-01
14,,Nicky Jam,15.0,1621.0,El Perdón,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl,do,2015-09-01
15,,R. City,16.0,1497.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,do,2015-09-01
16,,Avicii,17.0,1493.0,Waiting For Love,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ,do,2015-09-01
17,,Wiz Khalifa,18.0,1487.0,See You Again (feat. Charlie Puth),https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L,do,2015-09-01
18,,Kygo,19.0,1444.0,Stole the Show,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa,do,2015-09-01
19,,Fetty Wap,20.0,1405.0,Trap Queen,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU,do,2015-09-01
20,,Farruko,21.0,1387.0,Lejos De Aquí,https://open.spotify.com/track/2QBlGKAp4PquIGtA6iNAuJ,do,2015-09-01
21,,El Mayor Clasico,22.0,1367.0,Versace,https://open.spotify.com/track/0utbqrmJUFbh0SYu5A4Ew3,do,2015-09-01
22,,Mark B.,23.0,1362.0,Pal de Velitas,https://open.spotify.com/track/6IJyLHfGGkb7oQy3DlLAs5,do,2015-09-01
23,,Jason Derulo,24.0,1359.0,Want to Want Me,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy,do,2015-09-01
24,,El Mayor Clasico,25.0,1330.0,Chapa de Callejon,https://open.spotify.com/track/5fNQuoPYBr5tsmsxI3fZa2,do,2015-09-01
25,,The Weeknd,26.0,1324.0,Earned It (Fifty Shades Of Grey),https://open.spotify.com/track/4frLb7nWtsz2ymBE6k2GRP,do,2015-09-01
26,,Fifth Harmony,27.0,1304.0,Worth It,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO,do,2015-09-01
27,,Ed Sheeran,28.0,1288.0,Thinking Out Loud,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f,do,2015-09-01
28,,Maroon 5,29.0,1264.0,Sugar,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I,do,2015-09-01
29,,Ed Sheeran,30.0,1260.0,Photograph,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL,do,2015-09-01
30,,Shadow Blow,31.0,1254.0,Tu Con El Yo Con Ella (feat. Mozart La Para),https://open.spotify.com/track/2nPZGG3BPoqE100zLzc5SS,do,2015-09-01
31,,Mark Ronson,32.0,1244.0,Uptown Funk,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,do,2015-09-01
32,,Ellie Goulding,33.0,1238.0,"Love Me Like You Do - From ""Fifty Shades Of Grey""",https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068,do,2015-09-01
