,<!doctype html>,Artist,Position,Streams,Track Name,URL,code,date
0,,Justin Bieber,1.0,3614.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,lt,2015-09-01
1,,Calvin Harris,2.0,3365.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,lt,2015-09-01
2,,Robin Schulz,3.0,2965.0,Sugar (feat. Francesco Yates),https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo,lt,2015-09-01
3,,The Weeknd,4.0,2876.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,lt,2015-09-01
4,,Major Lazer,5.0,2397.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,lt,2015-09-01
5,,One Direction,6.0,2084.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,lt,2015-09-01
6,,Selena Gomez,7.0,2034.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,lt,2015-09-01
7,,Demi Lovato,8.0,1828.0,Cool for the Summer,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT,lt,2015-09-01
8,,Felix Jaehn,9.0,1691.0,Ain't Nobody (Loves Me Better),https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB,lt,2015-09-01
9,,The Weeknd,10.0,1677.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,lt,2015-09-01
10,,Disclosure,11.0,1672.0,Omen - Radio Edit,https://open.spotify.com/track/3jEPu6FD1icy9cLllhB2XK,lt,2015-09-01
11,,R. City,12.0,1668.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,lt,2015-09-01
12,,OMI,13.0,1607.0,Cheerleader - Felix Jaehn Remix Radio Edit,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn,lt,2015-09-01
13,,Lost Frequencies,14.0,1555.0,Reality - Radio Edit,https://open.spotify.com/track/5kZRoc6Gz7u5eu4a0YM2LS,lt,2015-09-01
14,,Jack Ü,15.0,1505.0,Where Are Ü Now (with Justin Bieber),https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f,lt,2015-09-01
15,,Flo Rida,16.0,1487.0,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ,lt,2015-09-01
16,,Avicii,17.0,1338.0,Waiting For Love,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ,lt,2015-09-01
17,,Avicii,18.0,1318.0,For A Better Day,https://open.spotify.com/track/2u5B53qh8UGDnPcdJATcDl,lt,2015-09-01
18,,Adam Lambert,19.0,1315.0,Ghost Town,https://open.spotify.com/track/44aN5xKL3kGHvQ5bXVk6B8,lt,2015-09-01
19,,Dillon Francis,20.0,1310.0,Coming Over (feat. James Hersey),https://open.spotify.com/track/6m3ZWIXhjoV76syT1j2oE9,lt,2015-09-01
20,,Charlie Puth,21.0,1309.0,Marvin Gaye (feat. Meghan Trainor),https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3,lt,2015-09-01
21,,Ed Sheeran,22.0,1298.0,Photograph,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL,lt,2015-09-01
22,,Kygo,23.0,1172.0,Stole the Show,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa,lt,2015-09-01
23,,WALK THE MOON,24.0,1146.0,Shut Up and Dance,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA,lt,2015-09-01
24,,Lost Frequencies,25.0,1088.0,Are You with Me - Radio Edit,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l,lt,2015-09-01
25,,Jason Derulo,26.0,1085.0,Want to Want Me,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy,lt,2015-09-01
26,,Little Mix,27.0,1085.0,Black Magic,https://open.spotify.com/track/33NHr7lu7tCMjK05jUj1v0,lt,2015-09-01
27,,Fifth Harmony,28.0,1039.0,Worth It,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO,lt,2015-09-01
28,,Drake,29.0,1032.0,Hotline Bling,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx,lt,2015-09-01
0,,Justin Bieber,1.0,3459.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,lt,2015-09-02
1,,Calvin Harris,2.0,3162.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,lt,2015-09-02
2,,The Weeknd,3.0,2847.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,lt,2015-09-02
3,,Robin Schulz,4.0,2672.0,Sugar (feat. Francesco Yates),https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo,lt,2015-09-02
4,,Major Lazer,5.0,2486.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,lt,2015-09-02
