,<!doctype html>,Artist,Position,Streams,Track Name,URL,code,date
0,,Justin Bieber,1.0,2851.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,lv,2015-09-01
1,,Calvin Harris,2.0,2544.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,lv,2015-09-01
2,,The Weeknd,3.0,2484.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,lv,2015-09-01
3,,Robin Schulz,4.0,2158.0,Sugar (feat. Francesco Yates),https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo,lv,2015-09-01
4,,Major Lazer,5.0,2147.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,lv,2015-09-01
5,,Selena Gomez,6.0,1940.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,lv,2015-09-01
6,,The Weeknd,7.0,1900.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,lv,2015-09-01
7,,Brainstorm,8.0,1685.0,Meklet Vienam Otru,https://open.spotify.com/track/17Jwq4TqgD43kCafBLEbnZ,lv,2015-09-01
8,,One Direction,9.0,1600.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,lv,2015-09-01
9,,Demi Lovato,10.0,1537.0,Cool for the Summer,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT,lv,2015-09-01
10,,Ed Sheeran,11.0,1534.0,Photograph,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL,lv,2015-09-01
11,,Pr?ta V?tra,12.0,1492.0,7 so?i svaiga gaisa,https://open.spotify.com/track/5syj9trQuKefIzbxPaQ0vh,lv,2015-09-01
12,,R. City,13.0,1395.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,lv,2015-09-01
13,,Lost Frequencies,14.0,1382.0,Reality - Radio Edit,https://open.spotify.com/track/5kZRoc6Gz7u5eu4a0YM2LS,lv,2015-09-01
14,,Pr?ta V?tra,15.0,1357.0,Kad zvaigznes p?r alej?m kr?t,https://open.spotify.com/track/5Yj2XjBOjIvu8rki9iY3Eu,lv,2015-09-01
15,,Pr?ta V?tra,16.0,1327.0,?denes d?rzs,https://open.spotify.com/track/4fFSA9PP27aFVhOdbQP3O8,lv,2015-09-01
16,,Jack Ü,17.0,1324.0,Where Are Ü Now (with Justin Bieber),https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f,lv,2015-09-01
17,,OMI,18.0,1323.0,Cheerleader - Felix Jaehn Remix Radio Edit,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn,lv,2015-09-01
18,,Felix Jaehn,19.0,1320.0,Ain't Nobody (Loves Me Better),https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB,lv,2015-09-01
19,,Disclosure,20.0,1210.0,Omen - Radio Edit,https://open.spotify.com/track/3jEPu6FD1icy9cLllhB2XK,lv,2015-09-01
20,,Pr?ta V?tra,21.0,1195.0,Ziemu ap?st,https://open.spotify.com/track/2MzutYzRHbNcMx8LU33Mdq,lv,2015-09-01
