,<!doctype html>,Artist,Position,Streams,Track Name,URL,code,date
0,,Justin Bieber,1.0,2011.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,mt,2015-09-01
1,,The Weeknd,2.0,1570.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,mt,2015-09-01
2,,Calvin Harris,3.0,1460.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,mt,2015-09-01
3,,Major Lazer,4.0,1231.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,mt,2015-09-01
4,,R. City,5.0,1137.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,mt,2015-09-01
5,,One Direction,6.0,1074.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,mt,2015-09-01
6,,The Weeknd,7.0,1061.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,mt,2015-09-01
7,,Selena Gomez,8.0,1018.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,mt,2015-09-01
0,,Justin Bieber,1.0,2115.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,mt,2015-09-02
1,,The Weeknd,2.0,1553.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,mt,2015-09-02
2,,Calvin Harris,3.0,1379.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,mt,2015-09-02
3,,Major Lazer,4.0,1334.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,mt,2015-09-02
4,,One Direction,5.0,1092.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,mt,2015-09-02
5,,Selena Gomez,6.0,1085.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,mt,2015-09-02
6,,R. City,7.0,1069.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,mt,2015-09-02
7,,The Weeknd,8.0,1030.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,mt,2015-09-02
0,,Justin Bieber,1.0,1868.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,mt,2015-09-03
1,,The Weeknd,2.0,1410.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,mt,2015-09-03
2,,Calvin Harris,3.0,1280.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,mt,2015-09-03
3,,Major Lazer,4.0,1116.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,mt,2015-09-03
4,,R. City,5.0,1093.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,mt,2015-09-03
0,,Justin Bieber,1.0,2238.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,mt,2015-09-04
1,,The Weeknd,2.0,1664.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,mt,2015-09-04
2,,Calvin Harris,3.0,1480.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,mt,2015-09-04
3,,Major Lazer,4.0,1420.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,mt,2015-09-04
4,,R. City,5.0,1277.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,mt,2015-09-04
5,,One Direction,6.0,1138.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,mt,2015-09-04
6,,Selena Gomez,7.0,1114.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,mt,2015-09-04
7,,Demi Lovato,8.0,1069.0,Cool for the Summer,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT,mt,2015-09-04
8,,The Weeknd,9.0,1043.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,mt,2015-09-04
9,,OMI,10.0,1022.0,Cheerleader - Felix Jaehn Remix Radio Edit,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn,mt,2015-09-04
0,,Justin Bieber,1.0,1877.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,mt,2015-09-05
1,,Calvin Harris,2.0,1341.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,mt,2015-09-05
2,,The Weeknd,3.0,1309.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,mt,2015-09-05
3,,Major Lazer,4.0,1102.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,mt,2015-09-05
4,,R. City,5.0,1022.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,mt,2015-09-05
0,,Justin Bieber,1.0,1588.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,mt,2015-09-06
1,,The Weeknd,2.0,1100.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,mt,2015-09-06
2,,Calvin Harris,3.0,1013.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,mt,2015-09-06
0,,Justin Bieber,1.0,2177.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,mt,2015-09-07
1,,Calvin Harris,2.0,1408.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,mt,2015-09-07
2,,The Weeknd,3.0,1364.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,mt,2015-09-07
3,,Major Lazer,4.0,1225.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,mt,2015-09-07
4,,R. City,5.0,1211.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,mt,2015-09-07
5,,Selena Gomez,6.0,1075.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,mt,2015-09-07
6,,One Direction,7.0,1031.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,mt,2015-09-07
7,,The Weeknd,8.0,1004.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,mt,2015-09-07
0,,Justin Bieber,1.0,1708.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,mt,2015-09-08
1,,The Weeknd,2.0,1211.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,mt,2015-09-08
2,,Calvin Harris,3.0,1149.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,mt,2015-09-08
0,,Justin Bieber,1.0,1847.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,mt,2015-09-09
1,,The Weeknd,2.0,1419.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,mt,2015-09-09
2,,Calvin Harris,3.0,1248.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,mt,2015-09-09
3,,Major Lazer,4.0,1126.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,mt,2015-09-09
4,,Selena Gomez,5.0,1083.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,mt,2015-09-09
5,,R. City,6.0,1066.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,mt,2015-09-09
0,,Justin Bieber,1.0,1837.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,mt,2015-09-10
1,,The Weeknd,2.0,1438.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,mt,2015-09-10
2,,Calvin Harris,3.0,1307.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,mt,2015-09-10
3,,R. City,4.0,1243.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,mt,2015-09-10
4,,Major Lazer,5.0,1156.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,mt,2015-09-10
5,,Selena Gomez,6.0,1053.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,mt,2015-09-10
0,,Justin Bieber,1.0,2078.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,mt,2015-09-11
1,,The Weeknd,2.0,1592.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,mt,2015-09-11
2,,Calvin Harris,3.0,1519.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,mt,2015-09-11
3,,R. City,4.0,1367.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,mt,2015-09-11
4,,Major Lazer,5.0,1340.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,mt,2015-09-11
5,,Selena Gomez,6.0,1196.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,mt,2015-09-11
6,,The Weeknd,7.0,1063.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,mt,2015-09-11
7,,One Direction,8.0,1022.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,mt,2015-09-11
0,,Justin Bieber,1.0,1675.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,mt,2015-09-12
1,,Calvin Harris,2.0,1221.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,mt,2015-09-12
2,,The Weeknd,3.0,1142.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,mt,2015-09-12
3,,R. City,4.0,1013.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,mt,2015-09-12
4,,Major Lazer,5.0,1011.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,mt,2015-09-12
0,,Justin Bieber,1.0,1507.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,mt,2015-09-13
1,,The Weeknd,2.0,1036.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,mt,2015-09-13
2,,Calvin Harris,3.0,1020.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,mt,2015-09-13
0,,Justin Bieber,1.0,2067.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,mt,2015-09-14
1,,Calvin Harris,2.0,1382.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,mt,2015-09-14
2,,The Weeknd,3.0,1353.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,mt,2015-09-14
3,,R. City,4.0,1273.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,mt,2015-09-14
4,,Major Lazer,5.0,1180.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,mt,2015-09-14
5,,One Direction,6.0,1061.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,mt,2015-09-14
6,,The Weeknd,7.0,1058.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,mt,2015-09-14
7,,Selena Gomez,8.0,1054.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,mt,2015-09-14
8,,Robin Schulz,9.0,1036.0,Sugar (feat. Francesco Yates),https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo,mt,2015-09-14
0,,Justin Bieber,1.0,1874.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,mt,2015-09-15
1,,Calvin Harris,2.0,1333.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,mt,2015-09-15
2,,The Weeknd,3.0,1326.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,mt,2015-09-15
3,,R. City,4.0,1180.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,mt,2015-09-15
4,,Selena Gomez,5.0,1075.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,mt,2015-09-15
5,,Major Lazer,6.0,1070.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,mt,2015-09-15
