,<!doctype html>,Artist,Position,Streams,Track Name,URL,code,date
0,,Justin Bieber,1.0,4866.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,pa,2015-09-01
1,,Major Lazer,2.0,3041.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,pa,2015-09-01
2,,OMI,3.0,2956.0,Cheerleader - Felix Jaehn Remix Radio Edit,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn,pa,2015-09-01
3,,The Weeknd,4.0,2468.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,pa,2015-09-01
4,,Joey Montana,5.0,2171.0,Picky,https://open.spotify.com/track/0ZogPPD0uFaPXVhlZJOtSK,pa,2015-09-01
5,,J Balvin,6.0,2164.0,Ginza,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k,pa,2015-09-01
6,,Jack Ü,7.0,2145.0,Where Are Ü Now (with Justin Bieber),https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f,pa,2015-09-01
7,,Gente De Zona,8.0,1765.0,La Gozadera,https://open.spotify.com/track/3ip2477VESffCtFkPFT0ov,pa,2015-09-01
8,,Calvin Harris,9.0,1687.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,pa,2015-09-01
9,,R. City,10.0,1645.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,pa,2015-09-01
10,,Nicky Jam,11.0,1622.0,El Perdón,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl,pa,2015-09-01
11,,One Direction,12.0,1620.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,pa,2015-09-01
12,,Selena Gomez,13.0,1461.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,pa,2015-09-01
13,,The Weeknd,14.0,1411.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,pa,2015-09-01
14,,Demi Lovato,15.0,1383.0,Cool for the Summer,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT,pa,2015-09-01
15,,Flo Rida,16.0,1373.0,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ,pa,2015-09-01
16,,Chino & Nacho,17.0,1363.0,Me Voy Enamorando - Remix,https://open.spotify.com/track/0nfBKG11Wv2bK8cPjMU5VB,pa,2015-09-01
17,,Wiz Khalifa,18.0,1331.0,See You Again (feat. Charlie Puth),https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L,pa,2015-09-01
18,,Kygo,19.0,1316.0,Firestone,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ,pa,2015-09-01
19,,Avicii,20.0,1295.0,Waiting For Love,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ,pa,2015-09-01
20,,Maroon 5,21.0,1280.0,Sugar,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I,pa,2015-09-01
21,,Mark Ronson,22.0,1245.0,Uptown Funk,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,pa,2015-09-01
22,,Silentó,23.0,1221.0,Watch Me (Whip / Nae Nae),https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr,pa,2015-09-01
23,,Jason Derulo,24.0,1174.0,Want to Want Me,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy,pa,2015-09-01
24,,Kygo,25.0,1168.0,Stole the Show,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa,pa,2015-09-01
25,,Fifth Harmony,26.0,1134.0,Worth It,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO,pa,2015-09-01
26,,Felix Jaehn,27.0,1093.0,Ain't Nobody (Loves Me Better),https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB,pa,2015-09-01
27,,Ellie Goulding,28.0,1069.0,"Love Me Like You Do - From ""Fifty Shades Of Grey""",https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068,pa,2015-09-01
28,,David Guetta,29.0,1067.0,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm,pa,2015-09-01
29,,Ed Sheeran,30.0,1047.0,Thinking Out Loud,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f,pa,2015-09-01
30,,Plan B,31.0,1011.0,Fanática Sensual,https://open.spotify.com/track/1BygxKyZjq2xjQiFMkSFGp,pa,2015-09-01
0,,Justin Bieber,1.0,4661.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,pa,2015-09-02
1,,Major Lazer,2.0,3141.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,pa,2015-09-02
2,,OMI,3.0,3126.0,Cheerleader - Felix Jaehn Remix Radio Edit,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn,pa,2015-09-02
3,,The Weeknd,4.0,2434.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,pa,2015-09-02
4,,J Balvin,5.0,2327.0,Ginza,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k,pa,2015-09-02
