,<!doctype html>,Artist,Position,Streams,Track Name,URL,code,date
0,,Justin Bieber,1.0,2328.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,sk,2015-09-01
1,,Major Lazer,2.0,1574.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,sk,2015-09-01
2,,The Weeknd,3.0,1517.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,sk,2015-09-01
3,,Calvin Harris,4.0,1320.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,sk,2015-09-01
4,,One Direction,5.0,1278.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,sk,2015-09-01
5,,Selena Gomez,6.0,1209.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,sk,2015-09-01
6,,The Weeknd,7.0,1198.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,sk,2015-09-01
7,,Felix Jaehn,8.0,1067.0,Ain't Nobody (Loves Me Better),https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB,sk,2015-09-01
8,,OMI,9.0,1037.0,Cheerleader - Felix Jaehn Remix Radio Edit,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn,sk,2015-09-01
9,,R. City,10.0,1004.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,sk,2015-09-01
0,,Justin Bieber,1.0,2246.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,sk,2015-09-02
1,,Major Lazer,2.0,1818.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,sk,2015-09-02
2,,The Weeknd,3.0,1594.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,sk,2015-09-02
3,,Calvin Harris,4.0,1257.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,sk,2015-09-02
4,,Selena Gomez,5.0,1254.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,sk,2015-09-02
5,,One Direction,6.0,1228.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,sk,2015-09-02
6,,The Weeknd,7.0,1211.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,sk,2015-09-02
7,,Felix Jaehn,8.0,1124.0,Ain't Nobody (Loves Me Better),https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB,sk,2015-09-02
8,,OMI,9.0,1052.0,Cheerleader - Felix Jaehn Remix Radio Edit,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn,sk,2015-09-02
9,,Robin Schulz,10.0,1047.0,Sugar (feat. Francesco Yates),https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo,sk,2015-09-02
10,,R. City,11.0,1029.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,sk,2015-09-02
11,,Demi Lovato,12.0,1017.0,Cool for the Summer,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT,sk,2015-09-02
0,,Justin Bieber,1.0,1875.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,sk,2015-09-03
1,,Major Lazer,2.0,1510.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,sk,2015-09-03
2,,The Weeknd,3.0,1426.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,sk,2015-09-03
3,,Calvin Harris,4.0,1168.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,sk,2015-09-03
4,,One Direction,5.0,1111.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,sk,2015-09-03
5,,Felix Jaehn,6.0,1108.0,Ain't Nobody (Loves Me Better),https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB,sk,2015-09-03
6,,The Weeknd,7.0,1084.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,sk,2015-09-03
7,,Robin Schulz,8.0,1049.0,Sugar (feat. Francesco Yates),https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo,sk,2015-09-03
8,,Selena Gomez,9.0,1041.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,sk,2015-09-03
0,,Justin Bieber,1.0,2261.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,sk,2015-09-04
1,,Major Lazer,2.0,1592.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,sk,2015-09-04
2,,The Weeknd,3.0,1542.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,sk,2015-09-04
3,,Avicii,4.0,1269.0,For A Better Day,https://open.spotify.com/track/2u5B53qh8UGDnPcdJATcDl,sk,2015-09-04
4,,One Direction,5.0,1229.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,sk,2015-09-04
5,,Calvin Harris,6.0,1224.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,sk,2015-09-04
6,,Selena Gomez,7.0,1153.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,sk,2015-09-04
7,,The Weeknd,8.0,1116.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,sk,2015-09-04
8,,Felix Jaehn,9.0,1065.0,Ain't Nobody (Loves Me Better),https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB,sk,2015-09-04
0,,Justin Bieber,1.0,2473.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,sk,2015-09-05
1,,Major Lazer,2.0,1728.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,sk,2015-09-05
2,,The Weeknd,3.0,1572.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,sk,2015-09-05
3,,Calvin Harris,4.0,1509.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,sk,2015-09-05
4,,Selena Gomez,5.0,1338.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,sk,2015-09-05
5,,The Weeknd,6.0,1269.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,sk,2015-09-05
6,,One Direction,7.0,1197.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,sk,2015-09-05
7,,Avicii,8.0,1175.0,For A Better Day,https://open.spotify.com/track/2u5B53qh8UGDnPcdJATcDl,sk,2015-09-05
8,,R. City,9.0,1165.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,sk,2015-09-05
9,,Robin Schulz,10.0,1153.0,Sugar (feat. Francesco Yates),https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo,sk,2015-09-05
10,,Felix Jaehn,11.0,1102.0,Ain't Nobody (Loves Me Better),https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB,sk,2015-09-05
11,,Jack Ü,12.0,1008.0,Where Are Ü Now (with Justin Bieber),https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f,sk,2015-09-05
0,,Justin Bieber,1.0,2163.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,sk,2015-09-06
1,,Major Lazer,2.0,1500.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,sk,2015-09-06
2,,The Weeknd,3.0,1477.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,sk,2015-09-06
3,,Calvin Harris,4.0,1308.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,sk,2015-09-06
4,,Selena Gomez,5.0,1211.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,sk,2015-09-06
5,,The Weeknd,6.0,1198.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,sk,2015-09-06
6,,One Direction,7.0,1188.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,sk,2015-09-06
7,,Avicii,8.0,1101.0,For A Better Day,https://open.spotify.com/track/2u5B53qh8UGDnPcdJATcDl,sk,2015-09-06
8,,Robin Schulz,9.0,1068.0,Sugar (feat. Francesco Yates),https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo,sk,2015-09-06
9,,Felix Jaehn,10.0,1068.0,Ain't Nobody (Loves Me Better),https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB,sk,2015-09-06
10,,Ed Sheeran,11.0,1028.0,Photograph,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL,sk,2015-09-06
11,,R. City,12.0,1016.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,sk,2015-09-06
0,,Justin Bieber,1.0,2215.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,sk,2015-09-07
1,,Major Lazer,2.0,1545.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,sk,2015-09-07
2,,The Weeknd,3.0,1487.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,sk,2015-09-07
3,,Calvin Harris,4.0,1344.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,sk,2015-09-07
4,,The Weeknd,5.0,1251.0,The Hills,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,sk,2015-09-07
5,,Selena Gomez,6.0,1240.0,Good For You,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg,sk,2015-09-07
6,,One Direction,7.0,1219.0,Drag Me Down,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i,sk,2015-09-07
7,,R. City,8.0,1185.0,Locked Away,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN,sk,2015-09-07
8,,Robin Schulz,9.0,1179.0,Sugar (feat. Francesco Yates),https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo,sk,2015-09-07
9,,Avicii,10.0,1044.0,For A Better Day,https://open.spotify.com/track/2u5B53qh8UGDnPcdJATcDl,sk,2015-09-07
10,,Felix Jaehn,11.0,1037.0,Ain't Nobody (Loves Me Better),https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB,sk,2015-09-07
0,,Justin Bieber,1.0,1992.0,What Do You Mean?,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb,sk,2015-09-08
1,,The Weeknd,2.0,1573.0,Can't Feel My Face,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,sk,2015-09-08
2,,Major Lazer,3.0,1546.0,Lean On (feat. MØ & DJ Snake),https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,sk,2015-09-08
3,,Calvin Harris,4.0,1343.0,How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,sk,2015-09-08
