,<!doctype html>,"Position,""Track Name"",Artist,Streams,URL",code,date
0,,"1,""What Do You Mean?"",""Justin Bieber"",6060,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb",do,2015-09-01
1,,"2,""Lean On (feat. MØ & DJ Snake)"",""Major Lazer"",3557,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4",do,2015-09-01
2,,"3,""Can't Feel My Face"",""The Weeknd"",3203,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm",do,2015-09-01
3,,"4,""Cheerleader - Felix Jaehn Remix Radio Edit"",OMI,2903,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn",do,2015-09-01
4,,"5,Ginza,""J Balvin"",2602,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k",do,2015-09-01
5,,"6,""How Deep Is Your Love"",""Calvin Harris"",2457,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s",do,2015-09-01
6,,"7,""Where Are Ü Now (with Justin Bieber)"",""Jack Ü"",2277,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f",do,2015-09-01
7,,"8,""The Hills"",""The Weeknd"",2269,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l",do,2015-09-01
8,,"9,""Drag Me Down"",""One Direction"",2019,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i",do,2015-09-01
9,,"10,""Good For You"",""Selena Gomez"",1817,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg",do,2015-09-01
10,,"11,""Cool for the Summer"",""Demi Lovato"",1810,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT",do,2015-09-01
11,,"12,""Watch Me (Whip / Nae Nae)"",Silentó,1704,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr",do,2015-09-01
12,,"13,Firestone,Kygo,1667,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ",do,2015-09-01
13,,"14,""I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)"",""Flo Rida"",1623,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ",do,2015-09-01
