,<!doctype html>,"Position,""Track Name"",Artist,Streams,URL",code,date
0,,"1,""What Do You Mean?"",""Justin Bieber"",3614,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb",lt,2015-09-01
1,,"2,""How Deep Is Your Love"",""Calvin Harris"",3365,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s",lt,2015-09-01
2,,"3,""Sugar (feat. Francesco Yates)"",""Robin Schulz"",2965,https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo",lt,2015-09-01
3,,"4,""Can't Feel My Face"",""The Weeknd"",2876,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm",lt,2015-09-01
4,,"5,""Lean On (feat. MØ & DJ Snake)"",""Major Lazer"",2397,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4",lt,2015-09-01
5,,"6,""Drag Me Down"",""One Direction"",2084,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i",lt,2015-09-01
6,,"7,""Good For You"",""Selena Gomez"",2034,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg",lt,2015-09-01
7,,"8,""Cool for the Summer"",""Demi Lovato"",1828,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT",lt,2015-09-01
8,,"9,""Ain't Nobody (Loves Me Better)"",""Felix Jaehn"",1691,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB",lt,2015-09-01
9,,"10,""The Hills"",""The Weeknd"",1677,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l",lt,2015-09-01
10,,"11,""Omen - Radio Edit"",Disclosure,1672,https://open.spotify.com/track/3jEPu6FD1icy9cLllhB2XK",lt,2015-09-01
11,,"12,""Locked Away"",""R. City"",1668,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN",lt,2015-09-01
12,,"13,""Cheerleader - Felix Jaehn Remix Radio Edit"",OMI,1607,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn",lt,2015-09-01
13,,"14,""Reality - Radio Edit"",""Lost Frequencies"",1555,https://open.spotify.com/track/5kZRoc6Gz7u5eu4a0YM2LS",lt,2015-09-01
14,,"15,""Where Are Ü Now (with Justin Bieber)"",""Jack Ü"",1505,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f",lt,2015-09-01
15,,"16,""I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)"",""Flo Rida"",1487,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ",lt,2015-09-01
16,,"17,""Waiting For Love"",Avicii,1338,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ",lt,2015-09-01
17,,"18,""For A Better Day"",Avicii,1318,https://open.spotify.com/track/2u5B53qh8UGDnPcdJATcDl",lt,2015-09-01
18,,"19,""Ghost Town"",""Adam Lambert"",1315,https://open.spotify.com/track/44aN5xKL3kGHvQ5bXVk6B8",lt,2015-09-01
19,,"20,""Coming Over (feat. James Hersey)"",""Dillon Francis"",1310,https://open.spotify.com/track/6m3ZWIXhjoV76syT1j2oE9",lt,2015-09-01
20,,"21,""Marvin Gaye (feat. Meghan Trainor)"",""Charlie Puth"",1309,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3",lt,2015-09-01
21,,"22,Photograph,""Ed Sheeran"",1298,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL",lt,2015-09-01
22,,"23,""Stole the Show"",Kygo,1172,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa",lt,2015-09-01
23,,"24,""Shut Up and Dance"",""WALK THE MOON"",1146,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA",lt,2015-09-01
24,,"25,""Are You with Me - Radio Edit"",""Lost Frequencies"",1088,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l",lt,2015-09-01
25,,"26,""Want to Want Me"",""Jason Derulo"",1085,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy",lt,2015-09-01
26,,"27,""Black Magic"",""Little Mix"",1085,https://open.spotify.com/track/33NHr7lu7tCMjK05jUj1v0",lt,2015-09-01
27,,"28,""Worth It"",""Fifth Harmony"",1039,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO",lt,2015-09-01
28,,"29,""Hotline Bling"",Drake,1032,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx",lt,2015-09-01
0,,"1,""What Do You Mean?"",""Justin Bieber"",3459,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb",lt,2015-09-02
1,,"2,""How Deep Is Your Love"",""Calvin Harris"",3162,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s",lt,2015-09-02
2,,"3,""Can't Feel My Face"",""The Weeknd"",2847,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm",lt,2015-09-02
3,,"4,""Sugar (feat. Francesco Yates)"",""Robin Schulz"",2672,https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo",lt,2015-09-02
4,,"5,""Lean On (feat. MØ & DJ Snake)"",""Major Lazer"",2486,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4",lt,2015-09-02
5,,"6,""Good For You"",""Selena Gomez"",2010,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg",lt,2015-09-02
6,,"7,""Drag Me Down"",""One Direction"",1995,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i",lt,2015-09-02
7,,"8,""Cool for the Summer"",""Demi Lovato"",1812,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT",lt,2015-09-02
8,,"9,""Ain't Nobody (Loves Me Better)"",""Felix Jaehn"",1711,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB",lt,2015-09-02
9,,"10,""Locked Away"",""R. City"",1646,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN",lt,2015-09-02
10,,"11,""The Hills"",""The Weeknd"",1637,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l",lt,2015-09-02
11,,"12,""Cheerleader - Felix Jaehn Remix Radio Edit"",OMI,1550,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn",lt,2015-09-02
12,,"13,""Reality - Radio Edit"",""Lost Frequencies"",1525,https://open.spotify.com/track/5kZRoc6Gz7u5eu4a0YM2LS",lt,2015-09-02
13,,"14,""Where Are Ü Now (with Justin Bieber)"",""Jack Ü"",1488,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f",lt,2015-09-02
14,,"15,""Omen - Radio Edit"",Disclosure,1473,https://open.spotify.com/track/3jEPu6FD1icy9cLllhB2XK",lt,2015-09-02
15,,"16,""For A Better Day"",Avicii,1385,https://open.spotify.com/track/2u5B53qh8UGDnPcdJATcDl",lt,2015-09-02
16,,"17,""Waiting For Love"",Avicii,1334,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ",lt,2015-09-02
17,,"18,""I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)"",""Flo Rida"",1312,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ",lt,2015-09-02
18,,"19,""Stole the Show"",Kygo,1234,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa",lt,2015-09-02
19,,"20,Photograph,""Ed Sheeran"",1225,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL",lt,2015-09-02
20,,"21,""Marvin Gaye (feat. Meghan Trainor)"",""Charlie Puth"",1205,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3",lt,2015-09-02
21,,"22,""Ghost Town"",""Adam Lambert"",1189,https://open.spotify.com/track/44aN5xKL3kGHvQ5bXVk6B8",lt,2015-09-02
22,,"23,""Coming Over (feat. James Hersey)"",""Dillon Francis"",1169,https://open.spotify.com/track/6m3ZWIXhjoV76syT1j2oE9",lt,2015-09-02
23,,"24,""Shut Up and Dance"",""WALK THE MOON"",1141,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA",lt,2015-09-02
24,,"25,""Black Magic"",""Little Mix"",1077,https://open.spotify.com/track/33NHr7lu7tCMjK05jUj1v0",lt,2015-09-02
25,,"26,""Are You with Me - Radio Edit"",""Lost Frequencies"",1064,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l",lt,2015-09-02
26,,"27,""That's How You Know (feat. Kid Ink & Bebe Rexha)"",""Nico & Vinz"",1048,https://open.spotify.com/track/3icbmPGKTsKAa0IinkizCM",lt,2015-09-02
27,,"28,""Nothing Left"",Kygo,1038,https://open.spotify.com/track/0j0DNujXWeupLpZobbABoo",lt,2015-09-02
28,,"29,""Want to Want Me"",""Jason Derulo"",1011,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy",lt,2015-09-02
0,,"1,""What Do You Mean?"",""Justin Bieber"",3587,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb",lt,2015-09-03
1,,"2,""How Deep Is Your Love"",""Calvin Harris"",3104,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s",lt,2015-09-03
