Position,"Track Name",Artist,Streams,URL
1,Astronaut,Sido,11500,https://open.spotify.com/track/0pQr5WsobmdZHnuObT0sc2
2,"What Do You Mean?","Justin Bieber",11139,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
3,"Sugar (feat. Francesco Yates)","Robin Schulz",11083,https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo
4,"How Deep Is Your Love","Calvin Harris",8955,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
5,"Locked Away","R. City",8061,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN
6,"So wie du bist",Motrip,7857,https://open.spotify.com/track/12SH8NE1e17yItgsb2gitp
7,"Drag Me Down","One Direction",7583,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
8,"Can't Feel My Face","The Weeknd",7336,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
9,"Lean On (feat. MØ & DJ Snake)","Major Lazer",7198,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
10,Lieblingsmensch,Namika,6495,https://open.spotify.com/track/6oHDvarQSp0mf5AD1SyNH0
11,"Bye Bye",CRO,6398,https://open.spotify.com/track/2xI6xJ9k6v5xv6zDW4ttKg
12,"Reality - Radio Edit","Lost Frequencies",6334,https://open.spotify.com/track/5kZRoc6Gz7u5eu4a0YM2LS
13,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",6181,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
14,"For A Better Day",Avicii,6094,https://open.spotify.com/track/2u5B53qh8UGDnPcdJATcDl
15,"Shut Up and Dance","WALK THE MOON",5588,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
16,"Ghost Town","Adam Lambert",5454,https://open.spotify.com/track/44aN5xKL3kGHvQ5bXVk6B8
17,"Herz über Kopf",Joris,5344,https://open.spotify.com/track/2krwNGlAHQuClcMw0WMUiz
18,"Ain't Nobody (Loves Me Better)","Felix Jaehn",5320,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
19,"Waiting For Love",Avicii,5173,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ
20,"Good For You","Selena Gomez",4939,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
21,"The Hills","The Weeknd",4616,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
22,"El Perdón","Nicky Jam",4520,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
23,"Supergirl - Radio Edit","Anna Naklab",4383,https://open.spotify.com/track/6bJ1rkeKujVpRPIwJjq6e0
24,"Stole the Show",Kygo,4381,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
25,"Where Are Ü Now (with Justin Bieber)","Jack Ü",4227,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
26,"On My Mind","Ellie Goulding",4181,https://open.spotify.com/track/0kN5Ohxu97lwdDmP5n7FZE
27,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","Macklemore & Ryan Lewis",4012,https://open.spotify.com/track/0lLDaAdXcjOQ7Mf2NXzXay
28,"Intoxicated - Radio Edit","Martin Solveig",3943,https://open.spotify.com/track/49aLCvvEKM5EA8IYwDmtaE
29,"Unter meiner Haut (feat. Wincent Weiss) - Radio Edit","Gestört aber GeiL",3883,https://open.spotify.com/track/4jmXRXJV8LZgX8BM0EbRvO
30,"Easy Love - Original Mix",Sigala,3804,https://open.spotify.com/track/5MMp4HNtX6T2xT9w6Xmaxn
