Position,"Track Name",Artist,Streams,URL
1,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",220168,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
2,Closer,"The Chainsmokers",200722,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
3,"Let Me Love You","DJ Snake",157013,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
4,"One Dance",Drake,143500,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
5,Heathens,"Twenty One Pilots",122734,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
6,"Too Good",Drake,117491,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
7,"Papercuts (feat. Vera Blue)",Illy,115780,https://open.spotify.com/track/1I95liM3akfvKNP8TWnzP2
8,"Treat You Better","Shawn Mendes",112654,https://open.spotify.com/track/53B2XmmjJ9rriW1qciMBeX
9,"This Is What You Came For","Calvin Harris",111017,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
10,"Say It (feat. Tove Lo)",Flume,101430,https://open.spotify.com/track/4sQMalN597HdggTu196aL0
11,"Into You","Ariana Grande",91689,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
12,"Don't Mind","Kent Jones",87904,https://open.spotify.com/track/27PmvZoffODNFW2p7ehZTQ
13,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",86566,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
14,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",86366,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
15,"The Ocean","Mike Perry",85986,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
16,"Perfect Strangers","Jonas Blue",81309,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
17,"Don't Let Me Down","The Chainsmokers",81215,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
18,Sex,"Cheat Codes",80485,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
19,"Final Song",MØ,78741,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7
20,Alarm,Anne-Marie,78106,https://open.spotify.com/track/0OwX5aROoW1Iip8FV51Efg
21,Panda,Desiigner,77142,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
22,"Cheap Thrills",Sia,75000,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
23,"Send My Love (To Your New Lover)",Adele,74393,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb
24,"This Girl (Kungs Vs. Cookin' On 3 Burners)",Kungs,71105,https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7
25,"i hate u, i love u (feat. olivia o'brien)",gnash,69521,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
26,"Please Don't Go","Joel Adams",68006,https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy
27,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",67781,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
28,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",65955,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
29,"All In My Head (Flex)","Fifth Harmony",64720,https://open.spotify.com/track/7nD9nN3jord9wWcfW3Gkcm
30,"Cool Girl","Tove Lo",64183,https://open.spotify.com/track/5LWVXN39UpNyhkYnBvDfyq
31,"Never Be Like You",Flume,63740,https://open.spotify.com/track/12REd1n8PeiHHWOh066tpr
32,Ride,"Twenty One Pilots",63475,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
33,"Hymn For The Weekend - Seeb Remix",Coldplay,62987,https://open.spotify.com/track/6s3GEN8wK0OMzzzZbXj0fu
34,"Kill Em With Kindness","Selena Gomez",61882,https://open.spotify.com/track/7KxhSJOYiqCDclXDBNlFSZ
35,"In My Blood","The Veronicas",61519,https://open.spotify.com/track/0x4GHzCjY5MGQ960CHnVHz
36,"Needed Me",Rihanna,60228,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
37,Cruel,Snakehips,56096,https://open.spotify.com/track/0B2RttXEiyXsMeQ7mMP3EI
38,"Work from Home","Fifth Harmony",54128,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
39,"No Money",Galantis,53938,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
40,"This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016","David Guetta",53414,https://open.spotify.com/track/46NBoIAHrmR7qcUGCIFEjR
41,Controlla,Drake,51338,https://open.spotify.com/track/4CpKEkdGbOJV51cSvx7SoG
42,"Wherever I Go",OneRepublic,50864,https://open.spotify.com/track/7kUtJKGZzLNgIkq1Galkt0
43,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",50765,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
44,Gold,Kiiara,46720,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
45,"Me Too","Meghan Trainor",46368,https://open.spotify.com/track/1m4dXbkplvaOO4Wbdjbwxs
46,"Body Say","Demi Lovato",45456,https://open.spotify.com/track/7xrA11O07xo57Bbg6p4hck
47,"Cake By The Ocean",DNCE,45046,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
48,"Home (feat. Nico Santos)",Topic,42951,https://open.spotify.com/track/5G5IX0zeEIYhHKe71Zecx6
49,1955,"Hilltop Hoods",41319,https://open.spotify.com/track/6oSmp7qnvAxUXeUKhl67a6
50,Capsize,FRENSHIP,38913,https://open.spotify.com/track/3GBlLqIYgB8zWaeWDNJzdh
51,Crash,Usher,38619,https://open.spotify.com/track/7KE2xRqs6kOqnc06Yn7NAc
52,"Hotter Than Hell","Dua Lipa",35621,https://open.spotify.com/track/1z5jOmNswvnzjC5gFLu5Dv
53,"You & Me","Marc E. Bassy",33868,https://open.spotify.com/track/0qRZ9ydGdzeVk3S01pLGoJ
54,Toothbrush,DNCE,33714,https://open.spotify.com/track/6aFc0W6xVS9kN9E9NGekAl
55,Faded,"Alan Walker",33134,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
56,"Fast Car - Radio Edit","Jonas Blue",32972,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
57,"Bonbon - English Version","Era Istrefi",32953,https://open.spotify.com/track/5YLxzfGKGZil78F1hc7GZT
58,"Lush Life","Zara Larsson",32851,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
59,Famous,"Kanye West",31879,https://open.spotify.com/track/04mf1OkXHZ6TPBNM9sBcSm
60,"Purple Lamborghini (with Rick Ross)",Skrillex,30969,https://open.spotify.com/track/6JyuJFedEvPmdWQW0PkbGJ
61,Work,Rihanna,30593,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
62,"Stressed Out","Twenty One Pilots",30530,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
63,"Let Me Hold You (Turn Me On)","Dante Klein",28905,https://open.spotify.com/track/0lmdsH1MIoLsMymnNpd6HU
64,"7 Years","Lukas Graham",27492,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
65,Starving,"Hailee Steinfeld",27417,https://open.spotify.com/track/6DG2g1UhROp5pnM8fx7zH2
66,"Love Yourself","Justin Bieber",26740,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
67,Tilted,"Christine and the Queens",26071,https://open.spotify.com/track/2E5tEyCqn9conRgZrXTF3Y
68,"Once In a While",Timeflies,25583,https://open.spotify.com/track/6cREm4bV7V79Yxdilx9HDo
69,Sorry,"Justin Bieber",24985,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
70,"Lean On (feat. MØ & DJ Snake)","Major Lazer",24009,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
