Position,"Track Name",Artist,Streams,URL
1,Hello,Adele,2969,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
2,Sorry,"Justin Bieber",1632,https://open.spotify.com/track/2GpHJb7xGNBaIDTrBxjIu6
3,Focus,"Ariana Grande",1409,https://open.spotify.com/track/3IyeQMpMEqNcEvFQGJ2eps
4,"Hotline Bling",Drake,1361,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
5,"Same Old Love","Selena Gomez",1336,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly
6,"Sugar (feat. Francesco Yates)","Robin Schulz",1147,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
7,"How Deep Is Your Love","Calvin Harris",1098,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
8,"Can't Feel My Face","The Weeknd",1075,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
9,"What Do You Mean?","Justin Bieber",1057,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
10,Stitches,"Shawn Mendes",1052,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
