Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,251359,https://open.spotify.com/track/12VWzyPDBCc8fqeWCAfNwR
2,Panda,Desiigner,121262,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
3,"This Is What You Came For","Calvin Harris",117971,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
4,"Too Good",Drake,112471,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
5,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",103516,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
6,"Don't Let Me Down","The Chainsmokers",95871,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
7,Controlla,Drake,95000,https://open.spotify.com/track/4CpKEkdGbOJV51cSvx7SoG
8,"Pop Style",Drake,94821,https://open.spotify.com/track/334S9SWZMjyRDN0wrHw7wk
9,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",90837,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
10,"Work from Home","Joshua Coleman",89199,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
11,"Cheap Thrills",Sia,77384,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
12,"Me, Myself & I",G-Eazy,68672,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
13,"7 Years","Lukas Graham",68423,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
14,"Needed Me",Rihanna,68238,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
15,Close,"Nick Jonas",65401,https://open.spotify.com/track/4Zpe9VME8DiFjLdqSqPRoZ
16,"Dangerous Woman","Ariana Grande",64436,https://open.spotify.com/track/2h1IPjP471JJRSShTHRUhi
17,Middle,"DJ Snake",62384,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
18,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",62296,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
19,Work,Rihanna,61754,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
20,"Fast Car - Radio Edit","Jonas Blue",59340,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
21,"My House","Flo Rida",58319,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
22,Hype,Drake,57774,https://open.spotify.com/track/07GilNHSfS5oicUgHgU7VG
23,"Never Forget You","Zara Larsson",56574,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
24,"Wild Things","Alessia Cara",55352,https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE
25,"Cake By The Ocean",DNCE,53394,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
26,PILLOWTALK,ZAYN,52358,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
27,Grammys,Drake,52324,https://open.spotify.com/track/2JfeUjJvP1lJkCSne9g0de
28,Stay,Kygo,51975,https://open.spotify.com/track/2FiSTH0GYpIioUgjfzMIja
29,"i hate u, i love u (feat. olivia o'brien)",gnash,51273,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
30,Gold,Kiiara,50295,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
31,Sex,"Cheat Codes",50129,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
32,"No Money",Galantis,49909,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
33,Faded,"Alan Walker",49688,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
34,"Low Life",Future,49373,https://open.spotify.com/track/71SDPonZOsIKNtqnaX8LXj
35,"If It Ain't Love","Jason Derulo",48279,https://open.spotify.com/track/5YHR8wBR5jXfGtP766NiAT
36,Roses,"The Chainsmokers",47714,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
37,Ride,"Twenty One Pilots",47399,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
38,"With You",Drake,45893,https://open.spotify.com/track/5PMNu7kMZ4msbxiKnDTOt0
39,"Still Here",Drake,44343,https://open.spotify.com/track/4YJmZfvlheSziXem8HBWrj
40,"Love Yourself","Justin Bieber",43832,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
41,"Never Be Like You (feat. Kai)",Flume,43427,https://open.spotify.com/track/6y0igZArWVi6Iz0rj35c1Y
42,"Childs Play",Drake,42464,https://open.spotify.com/track/0k9RIzZtAo4DTQu0ZM6lNZ
43,"Stressed Out","Twenty One Pilots",42345,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
44,"Once In a While",Timeflies,41933,https://open.spotify.com/track/6cREm4bV7V79Yxdilx9HDo
45,Jumpman,Drake,41863,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
46,"LA LA LAND",DVBBS,40788,https://open.spotify.com/track/2aESz6MFuH8T8gM0Ka5zTc
47,"Hotline Bling",Drake,38634,https://open.spotify.com/track/1OAYKfE0YdrN7C1yLWaLJo
48,"Feel No Ways",Drake,38477,https://open.spotify.com/track/12C1XYFQGZYXRYJNbsgDc7
49,"Lush Life","Zara Larsson",37961,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
50,"Into You","Ariana Grande",37779,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
51,9,Drake,37232,https://open.spotify.com/track/4uCAKqQQYJaIvyzq4sZkaO
52,Sorry,"Justin Bieber",35837,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
53,"Hide Away",Daya,31545,https://open.spotify.com/track/2hsza71y54ABzmabyNDtM4
54,"Lean On (feat. MØ & DJ Snake)","Major Lazer",31416,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
55,"Weston Road Flows",Drake,30870,https://open.spotify.com/track/0P7HlSwSY8mJCWIk4yunb0
56,YOUTH,"Troye Sivan",30052,https://open.spotify.com/track/68fXn0TVggt7Gr0sPbBuI5
57,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",29318,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
58,"U With Me?",Drake,28787,https://open.spotify.com/track/4MSjMv3kpbLEeyGfIh52qH
59,"Wherever I Go",OneRepublic,28430,https://open.spotify.com/track/7kUtJKGZzLNgIkq1Galkt0
60,Capsize,FRENSHIP,28030,https://open.spotify.com/track/4qH3RkbFgzxYyXUD8YC8kr
61,NO,"Meghan Trainor",27343,https://open.spotify.com/track/3ge54HUrk1ht3EX5SMhIzZ
62,"Lost Boy","Ruth B",27301,https://open.spotify.com/track/4h0zU3O9R5xzuTmNO7dNDU
63,"Send My Love (To Your New Lover)",Adele,26979,https://open.spotify.com/track/3LGxef3inmn5jMLGDz9lqw
64,Famous,"Kanye West",26620,https://open.spotify.com/track/7KOcjfiSuMPsQqLXhD0PlN
65,"Fire & Desire",Drake,25647,https://open.spotify.com/track/4bEGp4AapA0B3Q5PpnSq3K
66,"Keep The Family Close",Drake,25547,https://open.spotify.com/track/0AAyo5bMIVgVxv9DF6XV2B
67,"What Do You Mean?","Justin Bieber",25436,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
68,"Go Flex","Post Malone",25250,https://open.spotify.com/track/3e7pB02vXiqVYaDTymYY1t
69,"Working For It - Bonus Track",ZHU,25173,https://open.spotify.com/track/0P6RjFd2HgG2AXJadQuGfE
70,"LIKE I WOULD",ZAYN,25085,https://open.spotify.com/track/1zWMf9bVyhY5W3ZORbjNWt
71,"All My Friends",Snakehips,25082,https://open.spotify.com/track/6TaqooOXAEcijL6G1AWS2K
72,"Let Me Love You","Ariana Grande",24477,https://open.spotify.com/track/5EVIrd7RkP2IbbyUdmcivL
73,"Let It Go","James Bay",24176,https://open.spotify.com/track/13HVjjWUZFaWilh2QUJKsP
74,Redemption,Drake,24139,https://open.spotify.com/track/6qGgrhiZ20Qrir3MNGUJq4
75,"Side To Side","Ariana Grande",24057,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
76,Views,Drake,23904,https://open.spotify.com/track/6oeCLDX1ML2tPOPT1JuyaJ
77,Ophelia,"The Lumineers",23890,https://open.spotify.com/track/7bTwYGhBdSQ8vuXc76Xint
78,"No Role Modelz","J. Cole",23806,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
79,Faithful,Drake,23665,https://open.spotify.com/track/4dWVEAVhqNUjvsBHUo477f
80,"All The Way Up","Fat Joe",23444,https://open.spotify.com/track/61QSuw5VlC0LTS8WMO356g
81,"Don't Mind","Kent Jones",23384,https://open.spotify.com/track/27PmvZoffODNFW2p7ehZTQ
82,"2 Phones","Kevin Gates",23264,https://open.spotify.com/track/0wdKiSBUT7aZkXUIdJWcwC
83,"Sugar (feat. Francesco Yates)","Robin Schulz",23182,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
84,Spirits,"The Strumbellas",23069,https://open.spotify.com/track/5U1eDhGNl6uUQThJ4nBm7z
85,"Summer Sixteen",Drake,23052,https://open.spotify.com/track/17Q87zeXgsAi9iQQbMu9v0
86,"Hands To Myself","Selena Gomez",22544,https://open.spotify.com/track/3CJvmtWw2bJsudbAC5uCQk
87,H.O.L.Y.,"Florida Georgia Line",21915,https://open.spotify.com/track/19PJf5HzeiVW0mdk82Swmn
88,"679 (feat. Remy Boyz)","Fetty Wap",21578,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
89,"Kill Em With Kindness","Selena Gomez",21409,https://open.spotify.com/track/1QNoKVgA758HFLu3TW2q7R
90,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,21174,https://open.spotify.com/track/7K5dzhGda2vRTaAWYI3hrb
91,"Back To Back",Drake,21021,https://open.spotify.com/track/5lFDtgWsjRJu8fPOAyJIAK
92,"In My Room (feat. Ty Dolla $ign & Tyga)","Yellow Claw",20761,https://open.spotify.com/track/4Jk6fZmX3gGYYbHnjq5uyN
93,Raging,Kygo,20500,https://open.spotify.com/track/2Vhd5uZB4brKHmM0MNxkZo
94,"Be Alright","Ariana Grande",20387,https://open.spotify.com/track/3tRFqxTYOjeTmCiVaGDCsq
95,"Rock Bottom","Hailee Steinfeld",20349,https://open.spotify.com/track/2qxaR31Te4xDR2yO6LqM8z
96,Don't,"Bryson Tiller",19565,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
97,"Pity Party","Melanie Martinez",19247,https://open.spotify.com/track/3fo6DYGktjENCiagUeU9yH
98,"Come and See Me (feat. Drake)",PARTYNEXTDOOR,19153,https://open.spotify.com/track/3dBveK0fmnxbiXXgAX6lau
99,"No Broken Hearts (feat. Nicki Minaj)","Bebe Rexha",18994,https://open.spotify.com/track/4qULqxfCRhJAXVc75UupQB
100,"Summers Over Interlude",Drake,18859,https://open.spotify.com/track/04CpzA2BdOLEz7EMp5uwTU
101,Greedy,"Ariana Grande",18815,https://open.spotify.com/track/0oWdtU4ius3XfFkEm0elVq
102,Stitches,"Shawn Mendes",18265,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
103,"The Hills","The Weeknd",18207,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
104,"Father Stretch My Hands Pt. 1","Kanye West",18191,https://open.spotify.com/track/7GwMPc1Id4sAotVekDP4b2
105,Company,"Justin Bieber",17991,https://open.spotify.com/track/09mhA1SJjMHniZPF4Hcihn
106,"Sit Still, Look Pretty",Daya,17955,https://open.spotify.com/track/1sSNWjLtY4GwyhqAwAnPD9
107,"Hymn For The Weekend",Coldplay,17882,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
108,oui,Jeremih,17674,https://open.spotify.com/track/0PJIbOdMs3bd5AT8liULMQ
109,"White Iverson","Post Malone",17538,https://open.spotify.com/track/2N0NifjyXAdMOB4KBGvBJ6
110,"Might Not",Belly,17426,https://open.spotify.com/track/5e9aFSdnkQUrm5y8Dhw0qN
111,"Trap Queen","Fetty Wap",17288,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ
112,Everyday,"Ariana Grande",17269,https://open.spotify.com/track/3FiE2d325mIOc4YjkSLVJR
113,"Can't Feel My Face","The Weeknd",17241,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
114,Waves,"Kanye West",17135,https://open.spotify.com/track/0T3ruvJQNQeTyK7tWKvdoX
115,Antidote,"Travis Scott",16817,https://open.spotify.com/track/1wHZx0LgzFHyeIZkUydNXq
116,"Please Don't Go","Joel Adams",16541,https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy
117,"2 Heads","Coleman Hell",16517,https://open.spotify.com/track/5RK8kePPbYkBqMu1e23zuv
118,"THat Part","ScHoolboy Q",16364,https://open.spotify.com/track/0X196cAoW63CLQEL21Prh0
119,"Running Out",Matoma,16263,https://open.spotify.com/track/2H8LPaY3NSjmOFMH2Rygnz
120,Promise,"Kid Ink",16208,https://open.spotify.com/track/5IZc3KIVFhjzJ0L2kiXzUl
121,"Really Really","Kevin Gates",16118,https://open.spotify.com/track/10I3CmmwT0BkOVhduDy53o
122,"Look Alive","Rae Sremmurd",16014,https://open.spotify.com/track/2XhWx5K2hFm1lsKSWa71rg
123,Hello,Adele,15987,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
124,Photograph,"Ed Sheeran",15922,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
125,"Sound Of Your Heart","Shawn Hook",15663,https://open.spotify.com/track/5Ou1XCyt2XD72ginDwg5FR
126,"Hurts So Good","Astrid S",15502,https://open.spotify.com/track/4rKHs4JtVYxsYen2eHIW6b
127,Wicked,Future,15175,https://open.spotify.com/track/6BbINUfGabVyiNFJpQXn3x
128,"One Call Away","Charlie Puth",15114,https://open.spotify.com/track/37R0bQOQj5a7DOqh1TGzvB
129,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",15070,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
130,"Uber Everywhere",Madeintyo,15066,https://open.spotify.com/track/7zBPzAjKAqQpcv8F8GCq5s
131,Moonlight,"Ariana Grande",14809,https://open.spotify.com/track/0IsuyquSKlYA9IcWL5DxGM
132,"Cut It (feat. Young Dolph)","O.T. Genasis",14743,https://open.spotify.com/track/376KnY4TrgBITxjlnbnmIy
133,"Thinking Out Loud","Ed Sheeran",14508,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
134,"Die A Happy Man","Thomas Rhett",14502,https://open.spotify.com/track/5kNe7PE09d6Kvw5pAsx23n
135,"Bad Decisions","Ariana Grande",14331,https://open.spotify.com/track/3LTdA3PWG7IkSdAlaO1szN
136,"Can I Get A Witness",SonReal,14287,https://open.spotify.com/track/67wvyoAnDgsnrBAwZEwOgS
137,"Touch It","Ariana Grande",14030,https://open.spotify.com/track/0fwl4utqKorwZfPwmVei3J
138,"Stole the Show",Kygo,14023,https://open.spotify.com/track/5masKPHeAOVNgxdLebIcK7
139,"Final Song",MØ,13992,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7
140,"R.I.C.O. (feat. Drake)","Meek Mill",13955,https://open.spotify.com/track/0Y0TOsE1q11qgbi7c5WZsG
141,"Leave Me Lonely","Ariana Grande",13910,https://open.spotify.com/track/6i8NvW5I6hISfSc2g4T98S
142,"This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016","David Guetta",13875,https://open.spotify.com/track/46NBoIAHrmR7qcUGCIFEjR
143,T-Shirt,"Thomas Rhett",13859,https://open.spotify.com/track/1zWZvrk13cL8Sl3VLeG57F
144,"Kiss It Better",Rihanna,13847,https://open.spotify.com/track/7bmqcI1HQwx1PWwYyZO0lg
145,"Say It (feat. Tove Lo)",Flume,13708,https://open.spotify.com/track/217xrcrbBtgJhvlHicxTSH
146,"Figure it Out","French Montana",13604,https://open.spotify.com/track/0vgtBFdPTkZwQ2gmFu7Dra
147,Snapback,"Old Dominion",13588,https://open.spotify.com/track/7I5fYc4qKJddht8Ozhqqdx
148,"Lose Control",Hedley,13587,https://open.spotify.com/track/07F3PrhWq1rEgTfRuFSAxx
149,"Down In the DM","Yo Gotti",13558,https://open.spotify.com/track/1LxKKYsJNPeBdOwdudsJzv
150,Firestone,Kygo,13457,https://open.spotify.com/track/1I8tHoNBFTuoJAlh4hfVVE
151,"Me Too","Meghan Trainor",13444,https://open.spotify.com/track/1m4dXbkplvaOO4Wbdjbwxs
152,"Where Are Ü Now (with Justin Bieber)","Jack Ü",13440,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
153,"Lay You Down Easy",MAGIC!,13336,https://open.spotify.com/track/4FTOFgpECL4tlu8DljL0XM
154,"F*ck Up Some Commas",Future,13328,https://open.spotify.com/track/49zD0wr2S3d0lZPib0K4e1
155,Sometimes,"Ariana Grande",13297,https://open.spotify.com/track/6eH4102qd85iYCSEKtzd4M
156,"F**kin' Problems","A$AP Rocky",13296,https://open.spotify.com/track/4XoP1AkbOurU9CeZ2rMEz2
157,"Wasted Time","Keith Urban",13049,https://open.spotify.com/track/13wYXGimJ5fANFu0y2pqG1
158,"I Like The Sound Of That","Rascal Flatts",12937,https://open.spotify.com/track/5S5rw0WLVCAux5B5bWCehK
159,Exchange,"Bryson Tiller",12867,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN
160,"Cheap Thrills",Sia,12850,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
161,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,12803,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
162,"Pt. 2","Kanye West",12795,https://open.spotify.com/track/6BrppQL1SAkKVWqp6w0nNm
163,"Thinking Bout You","Ariana Grande",12676,https://open.spotify.com/track/14am6hDpnDFy0PILHJ2VX1
164,"MY PYT",Wale,12657,https://open.spotify.com/track/4jK1VQQGDnNOLfyVXCxGsR
165,Hollow,"Tori Kelly",12643,https://open.spotify.com/track/160hN2OsDXnmgExwtG7cvD
166,"Ain't Your Mama","Jennifer Lopez",12639,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72
167,"How Deep Is Your Love","Calvin Harris",12510,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
168,Digits,"Young Thug",12509,https://open.spotify.com/track/4cg1yakyRSIOjxKM2I7J1q
169,"Big Rings",Drake,12465,https://open.spotify.com/track/7jslhIiELQkgW9IHeYNOWE
170,Renegades,"X Ambassadors",12441,https://open.spotify.com/track/0fYVliAYKHuPmECRs1pbRf
171,"DUELE EL CORAZON","Enrique Iglesias",12228,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
172,"Ni**as In Paris","JAY Z",12094,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007
173,Fireproof,"Coleman Hell",12068,https://open.spotify.com/track/695FEfzHdEkR12jTpnznlj
174,"Somewhere On A Beach","Dierks Bentley",12066,https://open.spotify.com/track/6zDaopn1sO8WUDTNdV8EdT
175,"Wake Up","Fetty Wap",11939,https://open.spotify.com/track/6BOtDFg6GJm0rPUDuNmx57
176,"See You Again (feat. Charlie Puth) - From ""Furious 7""","Wiz Khalifa",11866,https://open.spotify.com/track/66CFbqJScx6zRieGllITcs
177,"Humble And Kind","Tim McGraw",11774,https://open.spotify.com/track/4Pn0JlCUusD2QHjADuOzuV
178,"$ave Dat Money (feat. Fetty Wap & Rich Homie Quan)","Lil Dicky",11695,https://open.spotify.com/track/6AoYWCzsDls6c61Zp5qTuU
179,"Home Alone Tonight","Luke Bryan",11660,https://open.spotify.com/track/2070Tp3jRs1nwmikIvrXo4
180,"Adventure Of A Lifetime",Coldplay,11653,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
181,"Make You Miss Me","Sam Hunt",11628,https://open.spotify.com/track/0xwPzLmBAYro8BUz7MrtAo
182,"Huntin', Fishin' And Lovin' Every Day","Luke Bryan",11594,https://open.spotify.com/track/6nUKELHbV6Tdj5OuQbksKH
183,Energy,Drake,11585,https://open.spotify.com/track/79XrkTOfV1AqySNjVlygpW
184,"Good For You","Selena Gomez",11549,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
185,"The Sound Of Silence",Disturbed,11513,https://open.spotify.com/track/1Cj2vqUwlJVG27gJrun92y
186,Riptide,"Vance Joy",11485,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
187,"I Mean It",G-Eazy,11450,https://open.spotify.com/track/6jmTHeoWvBaSrwWttr8Xvu
188,"New Level","A$AP Ferg",11408,https://open.spotify.com/track/2UpE67vxExuI88pqqUqqki
189,"Wheat Kings","The Tragically Hip",11346,https://open.spotify.com/track/6s7xf54h0BGyohJHlgMj2J
190,"Knew Better / Forever Boy","Ariana Grande",11321,https://open.spotify.com/track/7LZoM7CBVLbVfZRnF2sGi7
191,"Came Here to Forget","Blake Shelton",11297,https://open.spotify.com/track/1HwAeValR9dJzAf8Erlv3s
192,"Stay A Little Longer","Brothers Osborne",11199,https://open.spotify.com/track/23EkfwUdsRIz7jAZIcC8gb
193,"I Don't Care","Ariana Grande",11196,https://open.spotify.com/track/5qpSSEUcG4199ZktDjbxV6
194,"In The Night","The Weeknd",11193,https://open.spotify.com/track/7fPHfBCyKE3aVCBjE4DAvl
195,"Calm Down",G-Eazy,11139,https://open.spotify.com/track/7xq3uN2toVZ8IbNzfTucyJ
196,A-Team,"Travis Scott",11133,https://open.spotify.com/track/5cgEadiGKjtTP1Q6NJqVP5
197,"Where Ya At",Future,11044,https://open.spotify.com/track/5nN8BwAQDJDguq7Dpd3JQQ
198,"Try Me (feat. Jennifer Lopez & Matoma)","Jason Derulo",10949,https://open.spotify.com/track/4tg1G3X26wDTmQbipgxhp5
199,"Lose Yourself - Soundtrack Version",Eminem,10922,https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ
200,"Take Me To Church",Hozier,10887,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
