Position,"Track Name",Artist,Streams,URL
1,Work,Rihanna,45590,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
2,"One Dance",Drake,44312,https://open.spotify.com/track/0JoaFxLgrqbWutREzcZBzS
3,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",41229,https://open.spotify.com/track/7vfWgVGiLgnGbInU5lvSQg
4,"Hasta el Amanecer","Nicky Jam",39549,https://open.spotify.com/track/4wFHfY9IILHLNwakPuFogD
5,"Stressed Out","Twenty One Pilots",34082,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
6,"Cheap Thrills",Sia,33175,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
7,"Mayor Que Yo 3","Luny Tunes",33149,https://open.spotify.com/track/00AoRZ8103mVeOVfpTfGuR
8,"DUELE EL CORAZON","Enrique Iglesias",31714,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
9,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",31510,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
10,"7 Years","Lukas Graham",30703,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
11,Faded,"Alan Walker",29081,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
12,"Adventure Of A Lifetime",Coldplay,27646,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
13,"Noche Loca",Marama,27312,https://open.spotify.com/track/0gzcET27nREY6aD8LJU9wD
14,"Work from Home","Joshua Coleman",27153,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
15,"Te Busco",Cosculluela,26987,https://open.spotify.com/track/2M2WWJE863upPYUrzCRjN6
16,"Love Yourself","Justin Bieber",26928,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
17,"Borro Cassette",Maluma,26700,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
18,Picky,"Joey Montana",26309,https://open.spotify.com/track/0ZogPPD0uFaPXVhlZJOtSK
19,Sugar,"Maroon 5",26106,https://open.spotify.com/track/2iuZJX9X9P0GKaE93xcPjk
20,Encantadora,Yandel,26070,https://open.spotify.com/track/7LABrQFfRYcZUqUwng0Heb
21,"Cake By The Ocean",DNCE,25734,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
22,Sorry,"Justin Bieber",25625,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
23,Stitches,"Shawn Mendes",25536,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
24,"Lush Life","Zara Larsson",25522,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
25,"Sorry - Latino Remix","Justin Bieber",24807,https://open.spotify.com/track/0XXLwO7YHHTAK3OJkWQ37b
26,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",24758,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
27,PILLOWTALK,ZAYN,24375,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
28,"Hymn For The Weekend",Coldplay,23597,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
29,"Si No Te Quiere",Ozuna,23199,https://open.spotify.com/track/2ZdxaDa54hdjP1gFmuAvec
30,"Sugar (feat. Francesco Yates)","Robin Schulz",21419,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
31,"Where Are Ü Now (with Justin Bieber)","Jack Ü",20948,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
32,"Can't Feel My Face","The Weeknd",20701,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
33,Embriágame,"Zion & Lennox",20005,https://open.spotify.com/track/6VOOxQlOwtzGWwHKrnExiI
34,"Dangerous Woman","Ariana Grande",19587,https://open.spotify.com/track/6T506SFlFUVVNvnmCiVZR0
35,"Gyal You A Party Animal","Charly Black",19578,https://open.spotify.com/track/1mSzZKMIPZIkn3jFV7v62b
36,"Lean On (feat. MØ & DJ Snake)","Major Lazer",19564,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
37,Sex,"Cheat Codes",19557,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
38,"Don't Let Me Down","The Chainsmokers",19246,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
39,"Andas En Mi Cabeza","Chino & Nacho",19178,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF
40,"No soy una de esas - feat. Alejandro Sanz","Jesse & Joy",18449,https://open.spotify.com/track/3QjkcFDVHOB4Z43esP5A8N
41,Vaivén,"Daddy Yankee",18430,https://open.spotify.com/track/0OnqFl8tNKgkIl489RdfuK
42,"Hands To Myself","Selena Gomez",18291,https://open.spotify.com/track/3CJvmtWw2bJsudbAC5uCQk
43,"Locked Away","R. City",18190,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
44,Middle,"DJ Snake",18062,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
45,"What Do You Mean?","Justin Bieber",17817,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
46,"Por Fin Te Encontré","Cali Y El Dandee",17732,https://open.spotify.com/track/3GpvoKKWZyTwgbLEM9RmWM
47,"Mas Que Tu Amigo","Matt Hunter",17443,https://open.spotify.com/track/29GresAlpxLeLYUnS7aeuM
48,"Hotline Bling",Drake,17246,https://open.spotify.com/track/1UfBAJfmofTffrae5ls6DA
49,"Más De La Mitad","Camila Gallardo",17135,https://open.spotify.com/track/0fvke3Xize2XpVUDoZbtyW
50,"Locuras contigo",Rombai,16868,https://open.spotify.com/track/5jMvnSyOgGY8JpvHqeyVOg
51,Hello,Adele,16380,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
52,"Ain't Your Mama","Jennifer Lopez",15421,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72
53,Obsesionado,Farruko,14869,https://open.spotify.com/track/5Jt4zdXTd9y1zxihiNYQI1
54,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,14339,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
55,"This Is What You Came For","Calvin Harris",14197,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
56,"Fast Car - Radio Edit","Jonas Blue",14001,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
57,Photograph,"Ed Sheeran",13186,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
58,"No Quiere Enamorarse (Remix) [feat. Daddy Yankee]",Ozuna,13180,https://open.spotify.com/track/4vlbjBSMqycZk6t4HVRpnC
59,"Las Fresas - Version Urban","Banda El Recodo",13133,https://open.spotify.com/track/6IGab4crwh7isfovdM1joQ
60,"La Gozadera","Gente De Zona",13123,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9
61,"Me Ignoras",Alkilados,13060,https://open.spotify.com/track/4AVZCNaah9O1jS55FepvUx
62,"El Perdón","Nicky Jam",12763,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
63,Ginza,"J Balvin",12392,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k
64,"Me Reclama","Mambo Kingz",12218,https://open.spotify.com/track/4ojwGTehgBRAg52jbFgzJg
65,Chandelier,Sia,12110,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
66,Close,"Nick Jonas",11805,https://open.spotify.com/track/2LbbLV26X7K1kLzI7xXFE2
67,"La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)","De La Ghetto",11600,https://open.spotify.com/track/498YWgZPJWIA4lphXtCNma
68,"Uptown Funk","Mark Ronson",11538,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
69,"Thinking Out Loud","Ed Sheeran",11490,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
70,Roses,"The Chainsmokers",11479,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
71,"Encantadora - Remix",Yandel,11377,https://open.spotify.com/track/0EpFfFZpCuqYFzHvxOtrZS
72,"Que Se Sienta el Deseo",Wisin,11307,https://open.spotify.com/track/3F6syPrYwMJ0V6S2JC1Hvq
73,"Tan Fácil",CNCO,11008,https://open.spotify.com/track/4VzTgFuvibkLxImiYIiG59
74,"Me, Myself & I",G-Eazy,10954,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
75,Sunset,Farruko,10674,https://open.spotify.com/track/2yDaWqECegHdiFOuez5gdO
76,"Waiting For Love",Avicii,10635,https://open.spotify.com/track/6nsLzJfvp5OLd4mgqUJkpq
77,"Ella y Yo (feat. Farruko, Tempo, Anuel Aa, Almighty & Bryant Myers)","Pepe Quintana",10458,https://open.spotify.com/track/2rEkxxDFjrbiNjZZvzZf5q
78,Stay,Kygo,10320,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
79,Curiosidad,Rombai,10299,https://open.spotify.com/track/4PCVVIrUDldF5r7RXtOB5W
80,"Pierdo la Cabeza - Official Remix","Zion & Lennox",10231,https://open.spotify.com/track/7tA7IQiLWAqTXahUQ9RvfN
81,"Nota de Amor",Wisin,10198,https://open.spotify.com/track/4YW2Fr25fHwUt6qgvM1iE1
82,"Want to Want Me","Jason Derulo",10135,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
83,NO,"Meghan Trainor",10072,https://open.spotify.com/track/0NmeI6UpRE27dxxgosD5n9
84,"How Deep Is Your Love","Calvin Harris",10067,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
85,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",9880,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
86,"El Perdedor",Maluma,9837,https://open.spotify.com/track/1iEwyiSLAunPR6uouANE0O
87,"Don't Worry (with Ray Dalton) - Radio Edit",Madcon,9761,https://open.spotify.com/track/63CSozvYUEudPp12679UVF
88,"Perdimos el control","Carlos Baute",9579,https://open.spotify.com/track/7Lq1un7HTW0AZBgxjckCBL
89,Panda,Desiigner,9402,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
90,"Shaky Shaky","Daddy Yankee",9341,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf
91,"Me Voy Enamorando - Remix","Chino & Nacho",9334,https://open.spotify.com/track/0nfBKG11Wv2bK8cPjMU5VB
92,"A Sky Full of Stars",Coldplay,9314,https://open.spotify.com/track/0FDzzruyVECATHXKHFs9eJ
93,"Ginza - Remix","J Balvin",9294,https://open.spotify.com/track/7AEPYcUqdNd2rVpIyQF3KG
94,"El Error",Reykon,9276,https://open.spotify.com/track/0GicYo0VzbYTvOlEv7JJ7N
95,"Una en un Millón","Alexis & Fido",9244,https://open.spotify.com/track/4SrcC7RYF496LSwl0XKdi1
96,"Runaway (U & I)",Galantis,8875,https://open.spotify.com/track/46lFttIf5hnUZMGvjK0Wxo
97,"Sígueme Y Te Sigo","Daddy Yankee",8753,https://open.spotify.com/track/1ClQpnPU9M6mQpXGvhGPvQ
98,"Cheap Thrills",Sia,8737,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
99,Animals,"Maroon 5",8718,https://open.spotify.com/track/7uolkTLavH97itenLjNmx9
100,"Needed Me",Rihanna,8695,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
101,"No Sales de Mi Mente",Yandel,8601,https://open.spotify.com/track/2suE76uvhA05ks3YbvwRGT
102,YOUTH,"Troye Sivan",8589,https://open.spotify.com/track/68fXn0TVggt7Gr0sPbBuI5
103,"Yo tambien",Rombai,8583,https://open.spotify.com/track/1EK5Sm4E09P1lcdyKsygoV
104,"My House","Flo Rida",8474,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
105,"Counting Stars",OneRepublic,8436,https://open.spotify.com/track/1QzFhzIOW7CyRJLpmq5CM0
106,"Worth It","Fifth Harmony",8282,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
107,"Yo te propongo",Rombai,8252,https://open.spotify.com/track/0YFoSD5VhoVrRbrnFERpVM
108,"Ya Me Enteré",Reik,8204,https://open.spotify.com/track/08wqZy2EOEicfC817stvel
109,"No Money",Galantis,8204,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
110,"Como Yo Le Doy - Spanglish Version",Pitbull,8191,https://open.spotify.com/track/2MRv991PzjY2ecCluXoRq9
111,"Voy a Olvidarte",Reik,8140,https://open.spotify.com/track/3xSVNEwa0NzkbBmJtquCpg
112,Blame,"Calvin Harris",8052,https://open.spotify.com/track/07nH4ifBxUB4lZcsf44Brn
113,"Quitate la Ropa (Remix) [feat. Juanka]","Sammy & Falsetto",7959,https://open.spotify.com/track/0uoOrCRbNOj0vVVEp18q16
114,"The Scientist",Coldplay,7949,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
115,Outside,"Calvin Harris",7918,https://open.spotify.com/track/7MmG8p0F9N3C4AXdK6o6Eb
116,"Cheerleader - Felix Jaehn Remix",OMI,7917,https://open.spotify.com/track/1mnPNAxWN8MvWYsjHWpnnc
117,"Locked Out Of Heaven","Bruno Mars",7889,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh
118,"Ecos de amor","Jesse & Joy",7882,https://open.spotify.com/track/3lI5dscCDez8cF6LF3Me7F
119,"She Will Be Loved","Maroon 5",7864,https://open.spotify.com/track/7sapKrjDij2fpDVj0GxP66
120,"Disparo al Corazón","Ricky Martin",7824,https://open.spotify.com/track/5828oiHxe6DSSAuIrPSeVT
121,"Amiga (feat. Ken Y)","Nova ""La Amenaza""",7805,https://open.spotify.com/track/09oshi7n6rcqNJI3frjrcX
122,"Si Te Dejas Llevar (feat. Juanka)",Ozuna,7734,https://open.spotify.com/track/7rDi4fIeHSM3KAUYAKYMMN
123,Adios,Rombai,7717,https://open.spotify.com/track/6cwrN0Go9VBDFj4n7riKPU
124,"Dónde está el amor - feat. Jesse & Joy","Pablo Alborán",7647,https://open.spotify.com/track/0CjaLvAqN97KPVWgOJ1vbD
125,"Ay Vamos","J Balvin",7600,https://open.spotify.com/track/6Ges5C2IE738iJh4HyQizQ
126,"50 Sombras de Austin",Arcangel,7584,https://open.spotify.com/track/7hWlUt8L0rNx1Q8RZnUVQz
127,"Rather Be (feat. Jess Glynne)","Clean Bandit",7482,https://open.spotify.com/track/0TVV2gFROJaB3kIZyCUvIY
128,Diamonds,Rihanna,7477,https://open.spotify.com/track/6O20JhBJPePEkBdrB5sqRx
129,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",7354,https://open.spotify.com/track/2l8w0zZVn4AZNuzrht7MRT
130,"On My Mind","Ellie Goulding",7295,https://open.spotify.com/track/5a7NdkF09AfD0H607eiOkX
131,"Segundas Intenciones",Rombai,7257,https://open.spotify.com/track/1y2jGfgALBBNZL6tXPI2Ke
132,"Rolling in the Deep",Adele,7245,https://open.spotify.com/track/1CkvWZme3pRgbzaxZnTl5X
133,"Desde Esa Noche",Thalía,7214,https://open.spotify.com/track/7cJaRc4y64x0YWBJmpRzO2
134,"Lejos De Aquí",Farruko,7095,https://open.spotify.com/track/2QBlGKAp4PquIGtA6iNAuJ
135,"Si Tú No Estás","Nicky Jam",7071,https://open.spotify.com/track/5BAmltzhQpFXtBddPN4sUf
136,"Never Forget You","Zara Larsson",7030,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
137,"Nunca Me Olvides",Yandel,6991,https://open.spotify.com/track/27ebni0DfbT5Owz6W42HP8
138,"Not a Crime - No Es Ilegal",Play-N-Skillz,6942,https://open.spotify.com/track/27bP0pI331DN68c70THzso
139,"The Hills","The Weeknd",6932,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
140,"Tumba La Casa (Remix) [feat. Daddy Yankee, Nicky Jam, Farruko, Arcangel, De La Ghetto, Zion & Ñengo Flow]",Alexio,6741,https://open.spotify.com/track/6n5hSi8Mdyee0XvsmIffeV
141,Magic,Coldplay,6735,https://open.spotify.com/track/23khhseCLQqVMCIT1WMAns
142,Maps,"Maroon 5",6704,https://open.spotify.com/track/71ywEs45ClmTNRiaJ7YEsr
143,"Elastic Heart",Sia,6674,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz
144,"Just the Way You Are","Bruno Mars",6629,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
145,"En Ésta No","Sin Bandera",6550,https://open.spotify.com/track/4hfRodALOf1cvYYxEf0dFo
146,"Fanática Sensual","Plan B",6532,https://open.spotify.com/track/1BygxKyZjq2xjQiFMkSFGp
147,"Stay With Me","Sam Smith",6490,https://open.spotify.com/track/7IHOIqZUUInxjVkko181PB
148,"Una Cita",Alkilados,6480,https://open.spotify.com/track/5yiG4odwEfH4x6kORHoC7j
149,"Imaginándote (feat. Daddy Yankee)",Reykon,6425,https://open.spotify.com/track/3AQ1zVx39FvB4yH0bjGgPm
150,"La Mordidita","Ricky Martin",6419,https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm
151,"Te Recordaré Bailando","Don Omar",6416,https://open.spotify.com/track/2jGVtXggR9aUlGFkMVvYhP
152,"Fix You",Coldplay,6414,https://open.spotify.com/track/7LVHVU3tWfcxj5aiPFEW4Q
