Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,21817,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
2,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",12753,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
3,"This Is What You Came For","Calvin Harris",11953,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
4,"Cheap Thrills",Sia,10813,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
5,"DUELE EL CORAZON","Enrique Iglesias",10456,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
6,Panda,Desiigner,10105,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
7,"Cheap Thrills",Sia,9885,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
8,Work,Rihanna,9406,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
9,"Don't Let Me Down","The Chainsmokers",9201,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
10,"Work from Home","Fifth Harmony",9054,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
11,"La Bicicleta","Carlos Vives",8693,https://open.spotify.com/track/43it4kot08akLzFIEMhXNN
12,"El Perdedor",Maluma,7721,https://open.spotify.com/track/1iEwyiSLAunPR6uouANE0O
13,Middle,"DJ Snake",7615,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
14,"Andas En Mi Cabeza","Chino & Nacho",7465,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF
15,"Borro Cassette",Maluma,7189,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
16,Bobo,"J Balvin",7157,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6
17,"Cake By The Ocean",DNCE,7150,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
18,Faded,"Alan Walker",7119,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
19,"7 Years","Lukas Graham",7110,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
20,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",6900,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
21,"Too Good",Drake,6858,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
22,Sorry,"Justin Bieber",6817,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
