Position,"Track Name",Artist,Streams,URL
1,"What Do You Mean?","Justin Bieber",6082,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
2,"Lean On (feat. MØ & DJ Snake)","Major Lazer",3580,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
3,"Can't Feel My Face","The Weeknd",3164,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
4,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,2950,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
5,Ginza,"J Balvin",2860,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k
6,"How Deep Is Your Love","Calvin Harris",2550,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
7,"Where Are Ü Now (with Justin Bieber)","Jack Ü",2319,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
8,"The Hills","The Weeknd",2299,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
9,"Drag Me Down","One Direction",1872,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
10,"Cool for the Summer","Demi Lovato",1824,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
11,"Good For You","Selena Gomez",1728,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
12,"Watch Me (Whip / Nae Nae)",Silentó,1704,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr
13,"El Perdón","Nicky Jam",1637,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
14,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",1614,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
15,Firestone,Kygo,1554,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
16,"Waiting For Love",Avicii,1510,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ
17,"See You Again (feat. Charlie Puth)","Wiz Khalifa",1486,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
18,"Trap Queen","Fetty Wap",1472,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
19,"Stole the Show",Kygo,1446,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
20,"Thinking Out Loud","Ed Sheeran",1426,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
21,"Lejos De Aquí",Farruko,1410,https://open.spotify.com/track/2QBlGKAp4PquIGtA6iNAuJ
22,Photograph,"Ed Sheeran",1402,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
23,"Locked Away","R. City",1389,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN
24,"Want to Want Me","Jason Derulo",1387,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
25,"Chapa de Callejon","El Mayor Clasico",1367,https://open.spotify.com/track/5fNQuoPYBr5tsmsxI3fZa2
26,Versace,"El Mayor Clasico",1365,https://open.spotify.com/track/0utbqrmJUFbh0SYu5A4Ew3
27,"Earned It (Fifty Shades Of Grey)","The Weeknd",1350,https://open.spotify.com/track/5UPwc30oJ4KhQYctNfv34x
28,"Pal de Velitas","Mark B.",1347,https://open.spotify.com/track/6IJyLHfGGkb7oQy3DlLAs5
29,Sugar,"Maroon 5",1318,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
30,"Uptown Funk","Mark Ronson",1289,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
31,"Worth It","Fifth Harmony",1285,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
32,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",1240,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
33,"Fanática Sensual","Plan B",1235,https://open.spotify.com/track/1BygxKyZjq2xjQiFMkSFGp
34,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",1211,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
35,"Tu Con El Yo Con Ella (feat. Mozart La Para)","Shadow Blow",1191,https://open.spotify.com/track/2nPZGG3BPoqE100zLzc5SS
36,"Hotline Bling",Drake,1172,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
37,"Five More Hours - Deorro x Chris Brown",Deorro,1156,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
38,"Chapi Chapi (feat. Messiah)",Farruko,1151,https://open.spotify.com/track/42W9QZ8bpJCq2M8DLERIL3
39,"You Know You Like It - DJ Snake Remix",AlunaGeorge,1149,https://open.spotify.com/track/4HfykP9fjZZJC3WBwFArb4
40,"Omen - Radio Edit",Disclosure,1125,https://open.spotify.com/track/3jEPu6FD1icy9cLllhB2XK
41,"Ain't Nobody (Loves Me Better)","Felix Jaehn",1121,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
42,"Tamo Lindo (feat. Tali)",Messiah,1103,https://open.spotify.com/track/37vsqriOYzywnOq7BU5uYg
43,"La Gozadera","Gente De Zona",1097,https://open.spotify.com/track/3ip2477VESffCtFkPFT0ov
44,"Tu Eres la Vaina","Mark B.",1067,https://open.spotify.com/track/5Vsg8ne8yktB1itHfYyNQN
45,"Are You with Me - Radio Edit","Lost Frequencies",1057,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
46,"Sígueme Y Te Sigo","Daddy Yankee",1042,https://open.spotify.com/track/1ClQpnPU9M6mQpXGvhGPvQ
47,"Tu No Me da Nota","El Super Nuevo",1015,https://open.spotify.com/track/7qDV5lt8Yx3eDk8xTc4ExL
48,"Como Lo Capo","El Mayor Clasico",1012,https://open.spotify.com/track/4ahfG4ZGyouw4nOhBujj2q
