Position,"Track Name",Artist,Streams,URL
1,Ginza,"J Balvin",10974,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k
2,"Lean On (feat. MØ & DJ Snake)","Major Lazer",7393,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
3,"Borro Cassette",Maluma,7259,https://open.spotify.com/track/2ocDZVhBiGCaaZRNW3fmSd
4,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,6961,https://open.spotify.com/track/6fQcqEcXfnY0L6VwS0c3gT
5,"La Gozadera","Gente De Zona",6882,https://open.spotify.com/track/3ip2477VESffCtFkPFT0ov
6,"What Do You Mean?","Justin Bieber",6633,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
7,"Can't Feel My Face","The Weeknd",5284,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
8,"How Deep Is Your Love","Calvin Harris",5264,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
9,"El Perdón","Nicky Jam",5194,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
10,"Me Voy Enamorando - Remix","Chino & Nacho",4824,https://open.spotify.com/track/0nfBKG11Wv2bK8cPjMU5VB
11,Picky,"Joey Montana",4718,https://open.spotify.com/track/0ZogPPD0uFaPXVhlZJOtSK
12,"Sígueme Y Te Sigo","Daddy Yankee",4580,https://open.spotify.com/track/1ClQpnPU9M6mQpXGvhGPvQ
13,"Fanática Sensual","Plan B",4243,https://open.spotify.com/track/1BygxKyZjq2xjQiFMkSFGp
14,"Waiting For Love",Avicii,4220,https://open.spotify.com/track/6nsLzJfvp5OLd4mgqUJkpq
15,Firestone,Kygo,4107,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
16,"Where Are Ü Now (with Justin Bieber)","Jack Ü",3921,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
17,"Por Fin Te Encontré","Cali Y El Dandee",3890,https://open.spotify.com/track/3GpvoKKWZyTwgbLEM9RmWM
18,"Stole the Show",Kygo,3855,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
19,"Nota de Amor",Wisin,3844,https://open.spotify.com/track/4YW2Fr25fHwUt6qgvM1iE1
20,Sugar,"Maroon 5",3837,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
21,"Te Busco",Cosculluela,3771,https://open.spotify.com/track/2M2WWJE863upPYUrzCRjN6
22,"Are You with Me - Radio Edit","Lost Frequencies",3544,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
23,"Five More Hours - Deorro x Chris Brown",Deorro,3518,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
24,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",3455,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
25,"Locked Away","R. City",3451,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN
26,"Ay Vamos","J Balvin",3447,https://open.spotify.com/track/6Ges5C2IE738iJh4HyQizQ
27,"Uptown Funk","Mark Ronson",3436,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
28,"Ain't Nobody (Loves Me Better)","Felix Jaehn",3396,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
29,"La Mordidita","Ricky Martin",3354,https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm
30,"Reality - Radio Edit","Lost Frequencies",3176,https://open.spotify.com/track/5kZRoc6Gz7u5eu4a0YM2LS
31,"Thinking Out Loud","Ed Sheeran",3109,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
32,"See You Again (feat. Charlie Puth)","Wiz Khalifa",3088,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
33,"He Llorado (Como Un Niño)","Juan Magán",3086,https://open.spotify.com/track/0T60IXa1r17UghrbuV03k0
