Position,"Track Name",Artist,Streams,URL
1,Sorry,"Justin Bieber",3245,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
2,Hello,Adele,3131,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
3,"What Do You Mean?","Justin Bieber",2066,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
4,"Love Yourself","Justin Bieber",1896,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
5,"Aga Siis","Jüri Pootsmann",1860,https://open.spotify.com/track/7ME79Wnl0N74NPVw4Nf2Wy
6,"Hotline Bling",Drake,1748,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
7,"Sugar (feat. Francesco Yates)","Robin Schulz",1645,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
8,Stitches,"Shawn Mendes",1606,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
9,"I'll Show You","Justin Bieber",1412,https://open.spotify.com/track/747eWJy8c3u09N30NSqSTp
10,"Can't Feel My Face","The Weeknd",1368,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
11,Perfect,"One Direction",1281,https://open.spotify.com/track/3NLnwwAQbbFKcEcV8hDItk
12,"On My Mind","Ellie Goulding",1277,https://open.spotify.com/track/5a7NdkF09AfD0H607eiOkX
13,"Adventure Of A Lifetime",Coldplay,1255,https://open.spotify.com/track/4MFCXniy7I8tj0GXtf3wgC
14,"How Deep Is Your Love","Calvin Harris",1154,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
15,"Lay It All On Me (feat. Ed Sheeran)",Rudimental,1142,https://open.spotify.com/track/33tC5va4jMyt2B5Z1varQh
16,"Locked Away","R. City",1115,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
17,"The Hills","The Weeknd",1114,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
18,"Lean On (feat. MØ & DJ Snake)","Major Lazer",1110,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
19,"Same Old Love","Selena Gomez",1088,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly
