Position,"Track Name",Artist,Streams,URL
1,Honey,Evelina,61911,https://open.spotify.com/track/6d0eTPJ3JZTwOAwLdl0hOJ
2,Faded,"Alan Walker",58868,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
3,"Russian Roulette","Tungevaag & Raaban",48191,https://open.spotify.com/track/1vu8zEpTfoxLtpRFyRMEFn
4,"Party (papiidipaadi) [feat. Nikke Ankara]","Antti Tuisku",46518,https://open.spotify.com/track/1CFk1Z0WqOEkbo8SBiZycf
5,"Juusto Katolle","Teflon Brothers",39183,https://open.spotify.com/track/5gOiQnr9vyVd7axBKWH0gy
6,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",37470,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
7,Rullaa,"Nikke Ankara",35928,https://open.spotify.com/track/5nXlZpgDJctufnZafoSlLU
8,"Lähtisitkö (Vain elämää kausi 4) [feat. SANNI]",VilleGalle,35518,https://open.spotify.com/track/2dRsorUvpCgLF2zu9q96pH
9,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",35099,https://open.spotify.com/track/7vfWgVGiLgnGbInU5lvSQg
10,Sorry,"Justin Bieber",34418,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
11,Hello,Adele,33503,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
12,"Petri Ruusunen","Anssi Kela",30061,https://open.spotify.com/track/7p0nvXdLOhpoLi5tlB7J2p
13,"Love Yourself","Justin Bieber",29952,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
14,Stay,Kygo,28275,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
15,"7 Years","Lukas Graham",27367,https://open.spotify.com/track/4dbV37qzkwZOnkGVpsR0Q7
16,"Nimet listalla - feat. Mikael Gabriel",Tuuli,26849,https://open.spotify.com/track/3P72xeQ3m6p6BsdSjqkVz5
17,"Sillat (feat. Ilta)",Cheek,25603,https://open.spotify.com/track/1y79Q5QoYX1POEfBqAwJB5
18,Carrie,Ellinoora,24847,https://open.spotify.com/track/7mP0ZazfXgc8BC55uXWiq4
19,"Me, Myself & I",G-Eazy,24824,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
20,Tequila,Vesala,24428,https://open.spotify.com/track/1s4bArqPAaQgy0yJK9lXhB
21,"Adventure Of A Lifetime",Coldplay,23613,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
22,Stitches,"Shawn Mendes",22776,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
23,"DADDY ft. CL of 2NE1",PSY,22719,https://open.spotify.com/track/4oHmgneU9dwYoqg0SJSOCf
24,Värifilmi,"Nikke Ankara",22577,https://open.spotify.com/track/6SHbtHO2BVG9JoGrtHkvgW
25,Keinu,Cheek,21910,https://open.spotify.com/track/7fY6vgPbOXJGzWR4ucuOnl
26,"Täydellisen epätäydellinen",Lucas,21201,https://open.spotify.com/track/6zfty1vDuk6Qr3dOCtRcAQ
27,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",20784,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
28,"What Do You Mean?","Justin Bieber",20767,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
29,"L'amour toujours - (Tiësto Edit) [Radio Edit]","Dzeko & Torres",20022,https://open.spotify.com/track/3Un6qQnI4xTcE3xePlBHlf
30,"Tähdet kohdallaan","Roope Salminen & Koirat",19405,https://open.spotify.com/track/6ZAHWtVDDFA0YRBD8rnPSX
31,"Sä hiffaat",Aurora,18709,https://open.spotify.com/track/1chORRm3DI5IPnlsErBWa3
32,"Hotline Bling",Drake,18581,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
33,"Milloin nään sut uudestaan?",Robin,18324,https://open.spotify.com/track/5F1nYAZxYNUTjtqs6WKXbQ
34,"Never Forget You","Zara Larsson",18146,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
35,"Sata salamaa (Vain elämää kausi 4)","Antti Tuisku",18068,https://open.spotify.com/track/2e7mE0ZJkWlxj7BuOqKdgd
36,"Jos Sä Oot Mun",YOUNGHEARTED,17923,https://open.spotify.com/track/6YWXPyYXoSQblQT4kuA3AO
