Position,"Track Name",Artist,Streams,URL
1,"What Do You Mean?","Justin Bieber",52860,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
2,"Lean On (feat. MØ & DJ Snake)","Major Lazer",46444,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
3,"El Perdón","Nicky Jam",46047,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
4,"Can't Feel My Face","The Weeknd",44562,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
5,"How Deep Is Your Love","Calvin Harris",42582,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
6,"Ain't Nobody (Loves Me Better)","Felix Jaehn",41898,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
7,"Sugar (feat. Francesco Yates)","Robin Schulz",40348,https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo
8,"Brisé - Pilule Bleue","Maître Gims",37303,https://open.spotify.com/track/6qM1ae1WZl7GFHN3qGurow
9,"Stole the Show",Kygo,37169,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
10,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,35343,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
11,"Reality - Radio Edit","Lost Frequencies",35282,https://open.spotify.com/track/5kZRoc6Gz7u5eu4a0YM2LS
12,"On verra",Nekfeu,35270,https://open.spotify.com/track/2yYfWku1ndnxenRK318Ihz
13,"Watch Me (Whip / Nae Nae)",Silentó,30829,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr
14,"Sapés comme jamais - Pilule Bleue","Maître Gims",29740,https://open.spotify.com/track/0CJ31BEjjl1tPIj0CKi9kH
15,"Drag Me Down","One Direction",28664,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
16,"Locked Away","R. City",28220,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN
17,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",28122,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
18,"Waiting For Love",Avicii,27860,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ
19,"The Hills","The Weeknd",26528,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
20,"Ma dope",Nekfeu,26463,https://open.spotify.com/track/7xyyjOyiYVJCT3CmJl7HwW
21,"Le chant des sirènes","Fréro Delavega",24827,https://open.spotify.com/track/0gSvEcIBXqiYqomjp6hKHj
22,"Trap Queen","Fetty Wap",24261,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
23,"See You Again (feat. Charlie Puth)","Wiz Khalifa",23813,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
24,"Shut Up and Dance","WALK THE MOON",23554,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
25,"Where Are Ü Now (with Justin Bieber)","Jack Ü",22986,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
26,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",22693,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
27,Validée,Booba,22629,https://open.spotify.com/track/7FE50ZIJUNpEl4BX9wa83B
28,"Laissez passer - Pilule Bleue","Maître Gims",21884,https://open.spotify.com/track/3KkFys2NArw8UKYZsSLqDp
29,"Worth It","Fifth Harmony",21707,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
30,"Bitch Better Have My Money",Rihanna,21081,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
31,"Good For You","Selena Gomez",20667,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
32,"Goodbye (feat. Lyse) - Radio Edit",Feder,20642,https://open.spotify.com/track/3PnOOmkxruDDAiMYZZTgO7
33,Firestone,Kygo,19882,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
34,"Est-ce que tu m'aimes ? - Pilule Bleue","Maître Gims",19520,https://open.spotify.com/track/3a9TMd2Yrza6HXqqlfMtfy
35,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",19021,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
36,"Nique les clones, Pt. II",Nekfeu,18674,https://open.spotify.com/track/4TCIAfhhzPXOBq7ujbJTxw
37,"Are You with Me - Radio Edit","Lost Frequencies",18591,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
38,"Want to Want Me","Jason Derulo",18346,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
39,"Earned It (Fifty Shades Of Grey)","The Weeknd",18267,https://open.spotify.com/track/5UPwc30oJ4KhQYctNfv34x
40,"Le prince Aladin","Black M",17635,https://open.spotify.com/track/6ZS3WTqzdyff3cAUfjQaRV
41,"Uptown Funk","Mark Ronson",17359,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
42,Sugar,"Maroon 5",17180,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
43,"One Last Time","Ariana Grande",16902,https://open.spotify.com/track/2OlWBmSjf1aUPGLNf0UI5A
44,Señorita,Amine,16755,https://open.spotify.com/track/7C9oofAfVRvMVkke6e8S2O
45,Millionnaire,Soprano,16719,https://open.spotify.com/track/27KAjnfZpydekdYZDWp2PA
46,"You Know You Like It","DJ Snake",16474,https://open.spotify.com/track/1sNSG13fsK6KPKKNIQXXrh
47,"Elastic Heart",Sia,15944,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz
48,"Thinking Out Loud","Ed Sheeran",14951,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
49,Tempête,Nekfeu,13768,https://open.spotify.com/track/7xheB0Gk9Dw08bcH5ozBUa
50,Egérie,Nekfeu,13526,https://open.spotify.com/track/4HiqVUuoviBjxLTnFkbFG3
51,King,"Years & Years",13368,https://open.spotify.com/track/4SNtBMJa7Wpk1tJzMSUv9B
52,"Prayer in C - Robin Schulz Radio Edit","Lilly Wood and The Prick",12884,https://open.spotify.com/track/0uVyZywUNOp6S0dU5r8TS8
53,Photograph,"Ed Sheeran",12869,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
54,"Hotline Bling",Drake,12604,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
55,Cheyenne,"Jason Derulo",12597,https://open.spotify.com/track/3EofjRgUI1WrzqqtLb8NoF
56,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",12069,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
57,Homeless,"Marina Kaye",11305,https://open.spotify.com/track/47IcfW83MnhrIsZWEVSmDs
58,"Our Own House",MisterWives,11246,https://open.spotify.com/track/4LiTVwc9MU5HJLNLgnSW6Y
59,"For A Better Day",Avicii,10970,https://open.spotify.com/track/2u5B53qh8UGDnPcdJATcDl
60,"Cool for the Summer","Demi Lovato",10835,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
61,"Can You Blame Me","Matt and Kim",10795,https://open.spotify.com/track/0oIXVYGXjlKIxu0ns0C0A0
62,"Five More Hours - Deorro x Chris Brown",Deorro,10774,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
63,Smile,Youssoupha,10737,https://open.spotify.com/track/0WqNbhOwWTIGI46F7CuayF
64,"Here for You",Kygo,10687,https://open.spotify.com/track/7vqUr6K2Js9Paq4kdNSOm6
