Position,"Track Name",Artist,Streams,URL
1,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",31610,https://open.spotify.com/track/7vfWgVGiLgnGbInU5lvSQg
2,"Work from Home","Joshua Coleman",27775,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
3,"7 Years","Lukas Graham",26368,https://open.spotify.com/track/4dbV37qzkwZOnkGVpsR0Q7
4,"Lush Life","Zara Larsson",26310,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
5,"Fast Car - Radio Edit","Jonas Blue",25653,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
6,"Stressed Out","Twenty One Pilots",23018,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
7,Faded,"Alan Walker",22830,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
8,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",22654,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
9,Work,Rihanna,21533,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
10,PILLOWTALK,ZAYN,19807,https://open.spotify.com/track/0IKK48xF4eEdfofyaeKWWO
11,"Love Yourself","Justin Bieber",19669,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
12,"Cheap Thrills",Sia,18758,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
13,Sorry,"Justin Bieber",18169,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
14,"Hymn For The Weekend",Coldplay,18100,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
15,"Me, Myself & I",G-Eazy,18053,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
16,Stitches,"Shawn Mendes",16761,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
17,Stay,Kygo,15701,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
18,"Cake By The Ocean",DNCE,15344,https://open.spotify.com/track/42ftjU4cTN5UTRksyqBKZJ
19,Roses,"The Chainsmokers",15289,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
20,"Cheap Thrills",Sia,14872,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
21,"All My Friends",Snakehips,14684,https://open.spotify.com/track/6TaqooOXAEcijL6G1AWS2K
22,"What Do You Mean?","Justin Bieber",14618,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
23,"Girls Like (feat. Zara Larsson)","Tinie Tempah",13856,https://open.spotify.com/track/0rHVd8h0cFwgLgPFem6S60
24,"When We Were Young",Adele,13758,https://open.spotify.com/track/7A2eDNBgJrEVE87C8pOMqN
25,"LIKE I WOULD",ZAYN,13455,https://open.spotify.com/track/0WEVf4RhIrcr3S3ULBrt0T
26,"The Sound","The 1975",13187,https://open.spotify.com/track/316r1KLN0bcmpr7TZcMCXT
27,"Never Forget You","Zara Larsson",12624,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
28,"The Girl Is Mine featuring Destiny's Child & Brandy","99 Souls",12612,https://open.spotify.com/track/1zbTIdIbLYlXjtOqlHALh4
29,"Dangerous Woman","Ariana Grande",12483,https://open.spotify.com/track/6T506SFlFUVVNvnmCiVZR0
30,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",11795,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
31,"Hands To Myself","Selena Gomez",11753,https://open.spotify.com/track/3CJvmtWw2bJsudbAC5uCQk
32,"Adventure Of A Lifetime",Coldplay,11670,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
33,"Secret Love Song","Little Mix",11658,https://open.spotify.com/track/4JIo8RztBbELr2gWJ5OGK6
34,"How Deep Is Your Love","Calvin Harris",11648,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
35,"Say You Do - Radio Edit",Sigala,11550,https://open.spotify.com/track/1unYSjYcxIVlW68CSdXWy2
36,"Lay It All On Me (feat. Ed Sheeran)",Rudimental,11258,https://open.spotify.com/track/6splO3UF8hSmK33y5fJTNk
37,"My House","Flo Rida",11041,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
38,History,"One Direction",10856,https://open.spotify.com/track/0HMjXBAZmSYOTTi33WpMso
39,"Sugar (feat. Francesco Yates)","Robin Schulz",10471,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
40,"Can't Feel My Face","The Weeknd",10300,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
41,NO,"Meghan Trainor",10215,https://open.spotify.com/track/0NmeI6UpRE27dxxgosD5n9
42,"Be Right There",Diplo,10056,https://open.spotify.com/track/71EnloViXmSKrQkrkaYFxF
43,Hello,Adele,9864,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
44,"Get Ugly","Jason Derulo",9687,https://open.spotify.com/track/1dl3vuXJS9anUXE7XnNP75
45,"I Know What You Did Last Summer","Shawn Mendes",9443,https://open.spotify.com/track/7crplFzt7spG80NCbpmuCp
46,"Lean On (feat. MØ & DJ Snake)","Major Lazer",9413,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
47,"Speeding Cars","Walking On Cars",9293,https://open.spotify.com/track/4GylZDT7adqIfVoPHyFb5X
48,"Sweet Lovin' - Radio Edit",Sigala,8212,https://open.spotify.com/track/614TxLN6BP9nN8pFcPdLVE
49,"Eyes Shut","Years & Years",8003,https://open.spotify.com/track/5XxoHuEqz6PEaaIjM5mTgP
50,"Where Are Ü Now (with Justin Bieber)","Jack Ü",7861,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
51,"Don't Let Me Down","The Chainsmokers",6494,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
52,"Rinse & Repeat",Riton,6453,https://open.spotify.com/track/5GGqtZRxGpMre6RQO5LQqC
53,Middle,"DJ Snake",6248,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
54,"One Call Away","Charlie Puth",5307,https://open.spotify.com/track/37R0bQOQj5a7DOqh1TGzvB
55,"Hide Away",Daya,5297,https://open.spotify.com/track/2hsza71y54ABzmabyNDtM4
56,"The Right Song",Tiësto,5117,https://open.spotify.com/track/68vezH3cT6dVOABipmGZ9R
57,"The Hills","The Weeknd",4965,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
58,"When the Bassline Drops","Craig David",4636,https://open.spotify.com/track/1XwZkY5i6ZJ8fGk96jbgwh
59,"Hotline Bling",Drake,4578,https://open.spotify.com/track/1UfBAJfmofTffrae5ls6DA
60,YOUTH,"Troye Sivan",4486,https://open.spotify.com/track/1cOyWWUr3oXJIxY0AjJEx9
61,"Nothing Like This",Blonde,4485,https://open.spotify.com/track/4PFQ4EQBtJUp2jQjpmYkVA
62,Sax,"Fleur East",4261,https://open.spotify.com/track/2lqgZDZnlXmVZgToWuoC0l
63,Dessert,Dawin,4239,https://open.spotify.com/track/1tYt8PbpbeTuqsNmprAZYY
64,Army,"Ellie Goulding",4214,https://open.spotify.com/track/1PzKBUHhyD035EQM9GNMfV
65,In2,WSTRN,4210,https://open.spotify.com/track/1hu2dRGo6kxbvc7NuNGD4v
66,"Wild Things","Alessia Cara",4188,https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE
67,,,4085,
68,"Catch & Release - Deepend Remix","Matt Simons",4078,https://open.spotify.com/track/3MSZpokwCtkv9BV0vS3uGr
69,Photograph,"Ed Sheeran",4065,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
70,"Ex's & Oh's","Elle King",3828,https://open.spotify.com/track/70eDxAyAraNTiD6lx2ZEnH
71,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,3826,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
72,"Keeping Your Head Up",Birdy,3768,https://open.spotify.com/track/4gDcrTB7sm4gDJZ0hRjRtN
73,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","Macklemore & Ryan Lewis",3754,https://open.spotify.com/track/5pfJsMwoRYKampPay8amX0
74,"Somebody Else","The 1975",3731,https://open.spotify.com/track/5hc71nKsUgtwQ3z52KEKQk
75,"Mr. Brightside","The Killers",3651,https://open.spotify.com/track/0eGsygTp906u18L0Oimnem
76,"Thinking Out Loud","Ed Sheeran",3613,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
77,"In The Night","The Weeknd",3536,https://open.spotify.com/track/7fPHfBCyKE3aVCBjE4DAvl
78,"Shut Up and Dance","WALK THE MOON",3535,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
79,"Trap Queen","Fetty Wap",3449,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ
80,"If I Were Sorry",Frans,3399,https://open.spotify.com/track/6oDkCmfVcSd9NXAKk1b4Ll
81,"Let It Go","James Bay",3257,https://open.spotify.com/track/40EB7ABUO6MoWMUwPKptJ7
82,"Uptown Funk","Mark Ronson",3255,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
83,"Easy Love - Original Mix",Sigala,3203,https://open.spotify.com/track/5MMp4HNtX6T2xT9w6Xmaxn
84,Jumpman,Drake,3106,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
85,"Love Myself","Hailee Steinfeld",3049,https://open.spotify.com/track/52izjvF7wwveRG1rDJsGWe
86,Gold,Kiiara,3016,https://open.spotify.com/track/6WhzFzROw3aq3rPWjgYlxr
87,"Stole the Show",Kygo,3002,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
88,"Take Me To Church",Hozier,2986,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
89,"Don't Be So Hard On Yourself","Jess Glynne",2975,https://open.spotify.com/track/1KtVVUM6OkpyOsbVfbMybX
90,BeFoUr,ZAYN,2974,https://open.spotify.com/track/1yjrikPgranwjVMbVDsRcF
91,"Running Out",Matoma,2953,https://open.spotify.com/track/2H8LPaY3NSjmOFMH2Rygnz
92,Budapest,"George Ezra",2936,https://open.spotify.com/track/7GJClzimvMSghjcrKxuf1M
93,Firestone,Kygo,2905,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
94,"Black Magic","Little Mix",2876,https://open.spotify.com/track/5y6pj7OeBFF0CVgZKhRbOG
95,Chandelier,Sia,2853,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
96,"Kiss Me","Olly Murs",2852,https://open.spotify.com/track/3BAo1tqi1FF9uj4O41X2Sf
97,"You Don't Own Me",Grace,2762,https://open.spotify.com/track/2CpH1L4CUR47RARB3PgY1l
98,"Are You with Me - Radio Edit","Lost Frequencies",2697,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
99,"Hold Back The River","James Bay",2674,https://open.spotify.com/track/1KZyVnyptQcPzkx7ELCnZC
100,"Intoxicated - Radio Edit","Martin Solveig",2659,https://open.spotify.com/track/49aLCvvEKM5EA8IYwDmtaE
101,King,"Years & Years",2653,https://open.spotify.com/track/4SNtBMJa7Wpk1tJzMSUv9B
102,"Ocean Drive","Duke Dumont",2610,https://open.spotify.com/track/0k93MXOj0kSXo84SvSDeUz
103,"I'm In Control",AlunaGeorge,2597,https://open.spotify.com/track/16NOHRm0OEjmg55OZAxVmV
104,Don't,"Bryson Tiller",2526,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
105,"All Star","Smash Mouth",2518,https://open.spotify.com/track/22c2pt75xtnDddA5Zlm0yy
106,"Take Me Home","Jess Glynne",2498,https://open.spotify.com/track/6oO10y1h2VyxJQfomG4CtH
107,Chocolate,"The 1975",2493,https://open.spotify.com/track/4WiiRw2PHMNQE0ad6y6GdD
108,"Want to Want Me","Jason Derulo",2458,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
109,"On My Mind","Ellie Goulding",2454,https://open.spotify.com/track/5a7NdkF09AfD0H607eiOkX
110,Desire,"Years & Years",2415,https://open.spotify.com/track/4ZH03VC3uJk7uKk7CwsBqH
111,"Rumour Mill (feat. Anne-Marie & Will Heard)",Rudimental,2413,https://open.spotify.com/track/6vV9NyQIsWMQ08KOWMSp3a
112,Renegades,"X Ambassadors",2388,https://open.spotify.com/track/0fYVliAYKHuPmECRs1pbRf
113,"iT's YoU",ZAYN,2369,https://open.spotify.com/track/1dB3Hsi3LfViWtqE8Sj8pr
114,Here,"Alessia Cara",2359,https://open.spotify.com/track/1wYZZtamWTQAoj8B812uKQ
115,"679 (feat. Remy Boyz)","Fetty Wap",2342,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
116,"Bang Bang","Jessie J",2320,https://open.spotify.com/track/3SaIsrEzrQGDcG1jCeaK8q
117,"Shut Up",Stormzy,2305,https://open.spotify.com/track/0VHlmcunGI26P6jJifd3WC
118,UGH!,"The 1975",2297,https://open.spotify.com/track/5vgdeMt4uKUN2BeltZjoDh
119,"Peanut Butter Jelly",Galantis,2286,https://open.spotify.com/track/3aIhJDHxr1kgTSnutJxPTH
120,"See You Again (feat. Charlie Puth) - From ""Furious 7""","Wiz Khalifa",2264,https://open.spotify.com/track/66CFbqJScx6zRieGllITcs
121,"Runnin' (Lose It All)","Naughty Boy",2240,https://open.spotify.com/track/0H2BuFu2MuJfnF1yHKjBcp
122,"Dancing in the Moonlight - 2001 Remix",Toploader,2232,https://open.spotify.com/track/1OzY7RRZh3EcIKn7VKZUTx
123,Home,"Edward Sharpe & The Magnetic Zeros",2223,https://open.spotify.com/track/0R4vpVecKzG3QNjB5rj4TQ
124,"Be Alright","Ariana Grande",2218,https://open.spotify.com/track/2YA7l0SaNtNtazsQg7KM8t
125,Perfect,"One Direction",2206,https://open.spotify.com/track/3NLnwwAQbbFKcEcV8hDItk
126,"Waiting For Love",Avicii,2196,https://open.spotify.com/track/6nsLzJfvp5OLd4mgqUJkpq
127,"Drag Me Down","One Direction",2192,https://open.spotify.com/track/2K87XMYnUMqLcX3zvtAF4G
128,"Fight Song","Rachel Platten",2187,https://open.spotify.com/track/37f4ITSlgPX81ad2EvmVQr
129,Naive,"The Kooks",2179,https://open.spotify.com/track/7BHPGtpuuWWsvE7cCaMuEU
130,dRuNk,ZAYN,2178,https://open.spotify.com/track/0TC3wZupelwzKhuueGSGZu
131,"Nobody Does It Better","Michael Calfan",2166,https://open.spotify.com/track/1BMwsK4pa9KhiFmOp1oCjf
132,Riptide,"Vance Joy",2166,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
133,"Hey Ya! - Radio Mix / Club Mix",OutKast,2145,https://open.spotify.com/track/5WQ1hIc5d2EVbRQ8qsj8Uh
134,Sex,"Cheat Codes",2122,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
135,"Gold Digger","Kanye West",2104,https://open.spotify.com/track/1PS1QMdUqOal0ai3Gt7sDQ
136,Breathe,Seeb,2103,https://open.spotify.com/track/6s5smacBOoWoI08Vi6EX5T
137,Company,"Justin Bieber",2096,https://open.spotify.com/track/09mhA1SJjMHniZPF4Hcihn
138,"Let Her Go",Passenger,2090,https://open.spotify.com/track/7DFNE7NO0raLIUbgzY2rzm
139,"Cherry Wine - Live",Hozier,2090,https://open.spotify.com/track/0bZ52QzCCKfrfOqs7za6lI
140,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",2088,https://open.spotify.com/track/2l8w0zZVn4AZNuzrht7MRT
141,"I'm Yours","Jason Mraz",2086,https://open.spotify.com/track/1EzrEOXmMH3G43AXT1y7pA
142,Alive,Sia,2086,https://open.spotify.com/track/4E3afPSY5fUEelQS9ppL0e
143,"Hold My Hand","Jess Glynne",2079,https://open.spotify.com/track/1eOJAiCKFuMda0fPRvjcuc
144,,,2078,
145,"Dance Off (feat. Idris Elba & Anderson .Paak)","Macklemore & Ryan Lewis",2039,https://open.spotify.com/track/7pDxNYVQLKzrbkCe8OCag3
146,"She's American","The 1975",2028,https://open.spotify.com/track/51cd3bzVmLAjlnsSZn4ecW
147,Everywhere,"Fleetwood Mac",2026,https://open.spotify.com/track/6i8ecOsx4J2Px1maiqzqoG
148,"Ain't Nobody (Loves Me Better)","Felix Jaehn",2025,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
149,"Old Thing Back (feat. Ja Rule and Ralph Tresvant)",Matoma,2023,https://open.spotify.com/track/6HTJZ0TQJVMSKkUGzAOe2h
150,"Ho Hey","The Lumineers",2022,https://open.spotify.com/track/1jdNcAD8Ir58RlsdGjJJdx
151,"Ignition (Remix)","R. Kelly",2013,https://open.spotify.com/track/3zSCNTXI7Ed0PiidZVmzIe
152,"Elastic Heart",Sia,2012,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz
153,"Ni**as In Paris","JAY Z",1990,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007
154,"+ 1 - Radio Edit","Martin Solveig",1987,https://open.spotify.com/track/45GncesVxjHy0b2js9ylgD
155,"You Make My Dreams - Remastered","Daryl Hall & John Oates",1976,https://open.spotify.com/track/4o6BgsqLIBViaGVbx5rbRk
