Position,"Track Name",Artist,Streams,URL
1,"Cheap Thrills",Sia,123539,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
2,"DUELE EL CORAZON","Enrique Iglesias",94861,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
3,Sofia,"Alvaro Soler",93527,https://open.spotify.com/track/0urDLEnHddaaQ6pJavi6bR
4,"One Dance",Drake,93084,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
5,"Vorrei ma non posto",J-AX,92632,https://open.spotify.com/track/3RokoLDR9CAiaXZX9dtJe0
6,"This Is What You Came For","Calvin Harris",81616,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
7,"This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016","David Guetta",75172,https://open.spotify.com/track/46NBoIAHrmR7qcUGCIFEjR
8,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",74218,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
9,"Don't Let Me Down","The Chainsmokers",70890,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
10,"Andiamo A Comandare","Fabio Rovazzi",67728,https://open.spotify.com/track/2FSEIUUQCopkIyBKps8A0E
11,Faded,"Alan Walker",67393,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
12,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",66789,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
13,"This Girl (Kungs Vs. Cookin' On 3 Burners)",Kungs,66446,https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7
14,"No Money",Galantis,65475,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
15,"Work from Home","Fifth Harmony",59684,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
16,"Cake By The Ocean",DNCE,58494,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
17,"Fast Car - Radio Edit","Jonas Blue",57951,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
18,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",57050,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
19,Panda,Desiigner,51201,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
20,"Hymn For The Weekend",Coldplay,48658,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
21,"Nulla Accade",Marracash,48395,https://open.spotify.com/track/5Rlcx4jMCAiiWd56e7VEZ5
22,Spirits,"The Strumbellas",48207,https://open.spotify.com/track/5U1eDhGNl6uUQThJ4nBm7z
23,"7 Years","Lukas Graham",45612,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
24,"Too Good",Drake,45322,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
25,Sex,"Cheat Codes",45115,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
26,"Salvador Dalì",Marracash,44754,https://open.spotify.com/track/00ZvHVUdHcZNAwxGSKTGCk
27,"Into You","Ariana Grande",43388,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
28,"Treat You Better","Shawn Mendes",42699,https://open.spotify.com/track/53B2XmmjJ9rriW1qciMBeX
29,"Love Yourself","Justin Bieber",41152,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
30,"i hate u, i love u (feat. olivia o'brien)",gnash,40763,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
31,"Stressed Out","Twenty One Pilots",40241,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
32,"Lush Life","Zara Larsson",39018,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
33,"Hasta el Amanecer","Nicky Jam",38654,https://open.spotify.com/track/4wFHfY9IILHLNwakPuFogD
34,Ride,"Twenty One Pilots",38407,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
35,"Needed Me",Rihanna,37593,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
36,Middle,"DJ Snake",37369,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
37,"Comunque andare","Alessandra Amoroso",35916,https://open.spotify.com/track/4vlmiFfNIgdfuQJcIgIYhk
38,Work,Rihanna,35577,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
39,"Me, Myself & I",G-Eazy,34507,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
40,Come,Jain,34470,https://open.spotify.com/track/1YrC8s6yZWw23QxW6rfM9f
41,Gold,Kiiara,33710,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
42,Sorry,"Justin Bieber",33542,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
43,Stay,Kygo,31972,https://open.spotify.com/track/2FiSTH0GYpIioUgjfzMIja
44,"Never Forget You","Zara Larsson",31267,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
45,"Eres mía - Remix","Benji & Fede",30637,https://open.spotify.com/track/0rlNuWABbOwVV9xUjdM7v3
46,Ginza,"J Balvin",30209,https://open.spotify.com/track/2C2TGgFzrTRIOdQS1vUN5h
47,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",29901,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
48,"Cosa Mia",Marracash,29331,https://open.spotify.com/track/16PSbkwu9IEeEGrzgzDpWe
49,Stitches,"Shawn Mendes",28213,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
50,"The Ocean","Mike Perry",27397,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
51,PILLOWTALK,ZAYN,27353,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
52,"Send My Love (To Your New Lover)",Adele,26273,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb
53,"Wherever I Go",OneRepublic,26015,https://open.spotify.com/track/7kUtJKGZzLNgIkq1Galkt0
54,"If It Ain't Love","Jason Derulo",24292,https://open.spotify.com/track/5YHR8wBR5jXfGtP766NiAT
55,"Once In a While",Timeflies,22814,https://open.spotify.com/track/6cREm4bV7V79Yxdilx9HDo
56,"Don't Mind","Kent Jones",22448,https://open.spotify.com/track/27PmvZoffODNFW2p7ehZTQ
57,"Insta Lova",Marracash,21520,https://open.spotify.com/track/7xQzdIWt6yhNW9TtIF7yZl
58,"Kill Em With Kindness","Selena Gomez",21131,https://open.spotify.com/track/1QNoKVgA758HFLu3TW2q7R
59,"Never Be Like You",Flume,20799,https://open.spotify.com/track/12REd1n8PeiHHWOh066tpr
60,Scooteroni,Marracash,20359,https://open.spotify.com/track/4SSh40WXbvZPgktXS9PrDH
61,"Cantante Italiana",Marracash,20057,https://open.spotify.com/track/6fAh02fN5Q2YuPtO1HYCmI
62,"Ain't Your Mama","Jennifer Lopez",19847,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72
63,Money,Marracash,19469,https://open.spotify.com/track/21X8KtZzRTEQvHt2nDGIAH
64,Capsize,FRENSHIP,19139,https://open.spotify.com/track/3GBlLqIYgB8zWaeWDNJzdh
65,"Maledetto Me",Marracash,19041,https://open.spotify.com/track/5u9RMMhGnOSX7QX6rKWn01
66,"Senza Dio",Marracash,18968,https://open.spotify.com/track/7xC7PwkfVJPqGYK2HzKeC9
67,"Please Don't Go","Joel Adams",18861,https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy
68,Heathens,"Twenty One Pilots",18077,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
69,"Don't Be So Shy - Filatov & Karas Remix",Imany,17779,https://open.spotify.com/track/5Sod5qQTp8Nj4n5dTjttQG
70,"Baciami (Hasta Luego)",Briga,17370,https://open.spotify.com/track/3R1sSj96zhzNsz8TEimG17
71,Tony,Marracash,17363,https://open.spotify.com/track/4aE3i2P20eZEEIWbepfRcI
72,Purdi,Marracash,16791,https://open.spotify.com/track/3CDnW00Wo43tNxcaTWFExl
73,"Quasi Amici",Marracash,16783,https://open.spotify.com/track/2SQIqTvMRuE0kjdcz61mYc
74,"Big Boy","Sergio Sylvestre",16780,https://open.spotify.com/track/1S6c16eNdXQv0UeONxRhKC
75,Close,"Nick Jonas",16631,https://open.spotify.com/track/3lSDIJ2abCrOdDJ6pshUap
76,Roses,"The Chainsmokers",16593,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
77,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",15800,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
78,"Roma - Bangkok","Baby K",15742,https://open.spotify.com/track/3KoUTYSRCUgleIybRyoC8C
79,Controlla,Drake,15666,https://open.spotify.com/track/4CpKEkdGbOJV51cSvx7SoG
80,"Film Senza Volume",Marracash,15360,https://open.spotify.com/track/4wz53i03WAj9xpI6V7crVS
81,"Est-ce que tu m'aimes ? - Pilule Bleue","Maître Gims",15040,https://open.spotify.com/track/3a9TMd2Yrza6HXqqlfMtfy
82,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,14611,https://open.spotify.com/track/7K5dzhGda2vRTaAWYI3hrb
83,Bomber,"Il Pagante",14423,https://open.spotify.com/track/2hqh9H44IBcSCAZ8qw8rHi
84,"My House","Flo Rida",14261,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
85,"Girls Like (feat. Zara Larsson)","Tinie Tempah",13667,https://open.spotify.com/track/0rHVd8h0cFwgLgPFem6S60
86,"Erba & WiFi",Marracash,13655,https://open.spotify.com/track/5wu6bevAKq7hmtjBbNGHj8
87,"Adventure Of A Lifetime",Coldplay,13613,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
88,"Dangerous Woman","Ariana Grande",13543,https://open.spotify.com/track/2h1IPjP471JJRSShTHRUhi
89,Oroscopo,"Calcutta ",13468,https://open.spotify.com/track/2eGCc9zvaUKzd3oKwQNwXW
90,"Lean On (feat. MØ & DJ Snake)","Major Lazer",13134,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
91,"Sugar (feat. Francesco Yates)","Robin Schulz",12943,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
92,"All In My Head (Flex)","Fifth Harmony",12900,https://open.spotify.com/track/7nD9nN3jord9wWcfW3Gkcm
93,Raging,Kygo,12828,https://open.spotify.com/track/2Vhd5uZB4brKHmM0MNxkZo
94,Bonbon,"Era Istrefi",12740,https://open.spotify.com/track/3Uz8ZcQdlOF2qE6q1rcVpw
95,"Reality - Radio Edit","Lost Frequencies",12737,https://open.spotify.com/track/5kZRoc6Gz7u5eu4a0YM2LS
96,"What Do You Mean?","Justin Bieber",12602,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
97,"Hymn For The Weekend - Seeb Remix",Coldplay,12524,https://open.spotify.com/track/6s3GEN8wK0OMzzzZbXj0fu
98,"Be The One","Dua Lipa",12421,https://open.spotify.com/track/1ixphys4A3NEXp6MDScfih
99,"El Perdón","Nicky Jam",12337,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
100,"No Broken Hearts (feat. Nicki Minaj)","Bebe Rexha",12328,https://open.spotify.com/track/4qULqxfCRhJAXVc75UupQB
