Position,"Track Name",Artist,Streams,URL
1,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",3112,https://open.spotify.com/track/7vfWgVGiLgnGbInU5lvSQg
2,"Fast Car - Radio Edit","Jonas Blue",3014,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
3,Faded,"Alan Walker",2745,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
4,"7 Years","Lukas Graham",2555,https://open.spotify.com/track/4dbV37qzkwZOnkGVpsR0Q7
5,"Cheap Thrills",Sia,2476,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
6,"Work from Home","Joshua Coleman",2404,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
7,PILLOWTALK,ZAYN,2396,https://open.spotify.com/track/0IKK48xF4eEdfofyaeKWWO
8,"Me, Myself & I",G-Eazy,2297,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
9,"Stressed Out","Twenty One Pilots",2269,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
10,Work,Rihanna,2179,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
11,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",2154,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
12,"Dangerous Woman","Ariana Grande",2025,https://open.spotify.com/track/6T506SFlFUVVNvnmCiVZR0
13,"LIKE I WOULD",ZAYN,1923,https://open.spotify.com/track/0WEVf4RhIrcr3S3ULBrt0T
14,"Don't Let Me Down","The Chainsmokers",1856,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
15,"Lush Life","Zara Larsson",1828,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
16,"Cake By The Ocean",DNCE,1782,https://open.spotify.com/track/42ftjU4cTN5UTRksyqBKZJ
17,Roses,"The Chainsmokers",1777,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
18,"Love Yourself","Justin Bieber",1696,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
19,"Hymn For The Weekend",Coldplay,1634,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
20,Stay,Kygo,1630,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
21,"Hands To Myself","Selena Gomez",1574,https://open.spotify.com/track/3CJvmtWw2bJsudbAC5uCQk
22,"Wild Things","Alessia Cara",1567,https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE
23,"Never Forget You","Zara Larsson",1564,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
24,YOUTH,"Troye Sivan",1558,https://open.spotify.com/track/1cOyWWUr3oXJIxY0AjJEx9
25,"Sugar (feat. Francesco Yates)","Robin Schulz",1497,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
26,NO,"Meghan Trainor",1477,https://open.spotify.com/track/0NmeI6UpRE27dxxgosD5n9
27,"My House","Flo Rida",1430,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
28,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",1380,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
29,Middle,"DJ Snake",1335,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
30,"Hide Away",Daya,1252,https://open.spotify.com/track/2hsza71y54ABzmabyNDtM4
31,"All My Friends",Snakehips,1236,https://open.spotify.com/track/6TaqooOXAEcijL6G1AWS2K
32,"Running Out",Matoma,1176,https://open.spotify.com/track/2H8LPaY3NSjmOFMH2Rygnz
33,"Working For It - Bonus Track",ZHU,1156,https://open.spotify.com/track/0P6RjFd2HgG2AXJadQuGfE
34,Sorry,"Justin Bieber",1111,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
35,"I Know What You Did Last Summer","Shawn Mendes",1073,https://open.spotify.com/track/7crplFzt7spG80NCbpmuCp
36,"Lay It All On Me (feat. Ed Sheeran)",Rudimental,1064,https://open.spotify.com/track/6splO3UF8hSmK33y5fJTNk
37,Stitches,"Shawn Mendes",1036,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
