Position,"Track Name",Artist,Streams,URL
1,Heathens,"Twenty One Pilots",3426,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
2,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",3073,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
3,"One Dance",Drake,2425,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
4,"Let Me Love You","DJ Snake",2195,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
5,Ride,"Twenty One Pilots",2189,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
6,"Too Good",Drake,2157,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
7,Closer,"The Chainsmokers",2105,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
8,"The Ocean","Mike Perry",2092,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
9,"This Girl (Kungs Vs. Cookin' On 3 Burners)",Kungs,2025,https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7
10,"Treat You Better","Shawn Mendes",2018,https://open.spotify.com/track/53B2XmmjJ9rriW1qciMBeX
11,"This Is What You Came For","Calvin Harris",1892,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
12,"Perfect Strangers","Jonas Blue",1874,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
13,"Don't Let Me Down","The Chainsmokers",1820,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
14,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",1686,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
15,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",1605,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
16,"Final Song",MØ,1605,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7
17,"Cheap Thrills",Sia,1595,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
18,"Into You","Ariana Grande",1584,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
19,"Send My Love (To Your New Lover)",Adele,1549,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb
20,"Kill Em With Kindness","Selena Gomez",1517,https://open.spotify.com/track/7KxhSJOYiqCDclXDBNlFSZ
21,Capsize,FRENSHIP,1517,https://open.spotify.com/track/3GBlLqIYgB8zWaeWDNJzdh
22,"Wherever I Go",OneRepublic,1504,https://open.spotify.com/track/7kUtJKGZzLNgIkq1Galkt0
23,"Cool Girl","Tove Lo",1498,https://open.spotify.com/track/5LWVXN39UpNyhkYnBvDfyq
24,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",1489,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
25,"Hymn For The Weekend - Seeb Remix",Coldplay,1459,https://open.spotify.com/track/6s3GEN8wK0OMzzzZbXj0fu
26,Sex,"Cheat Codes",1422,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
27,Gold,Kiiara,1414,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
28,"This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016","David Guetta",1403,https://open.spotify.com/track/46NBoIAHrmR7qcUGCIFEjR
29,"Please Don't Go","Joel Adams",1354,https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy
30,"i hate u, i love u (feat. olivia o'brien)",gnash,1342,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
31,"Debesis iekrita tevī","Prāta Vētra",1330,https://open.spotify.com/track/0lNWDFt02EXYm86vH9BBRE
32,"Needed Me",Rihanna,1318,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
33,"No Money",Galantis,1310,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
34,"Let Me Hold You (Turn Me On)","Dante Klein",1270,https://open.spotify.com/track/0lmdsH1MIoLsMymnNpd6HU
35,Panda,Desiigner,1247,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
36,"Never Be Like You",Flume,1186,https://open.spotify.com/track/12REd1n8PeiHHWOh066tpr
37,"In the Name of Love","Martin Garrix",1138,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
38,"Purple Lamborghini (with Rick Ross)",Skrillex,1109,https://open.spotify.com/track/6JyuJFedEvPmdWQW0PkbGJ
39,"Fast Car - Radio Edit","Jonas Blue",1096,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
40,"Once In a While",Timeflies,1087,https://open.spotify.com/track/6cREm4bV7V79Yxdilx9HDo
41,"Work from Home","Fifth Harmony",1070,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
42,"Say It (feat. Tove Lo)",Flume,1047,https://open.spotify.com/track/4sQMalN597HdggTu196aL0
43,"Stressed Out","Twenty One Pilots",1039,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
