Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,271421,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
2,Heathens,"Twenty One Pilots",223524,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
3,"This Is What You Came For","Calvin Harris",201494,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
4,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",196597,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
5,"DUELE EL CORAZON","Enrique Iglesias",184923,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
6,"La Bicicleta","Carlos Vives",183427,https://open.spotify.com/track/43it4kot08akLzFIEMhXNN
7,"Let Me Love You","DJ Snake",177652,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
8,"This Girl (Kungs Vs. Cookin' On 3 Burners)",Kungs,166925,https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7
9,Bobo,"J Balvin",166259,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6
10,Ride,"Twenty One Pilots",158956,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
11,"Cheap Thrills",Sia,155645,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
12,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",153283,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
13,Middle,"DJ Snake",149103,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n
14,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",146859,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
15,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",144006,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
16,"El Perdedor",Maluma,143491,https://open.spotify.com/track/1iEwyiSLAunPR6uouANE0O
17,"Don't Let Me Down","The Chainsmokers",143158,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
18,Closer,"The Chainsmokers",135243,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
19,"Desde Esa Noche",Thalía,132960,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E
20,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",131146,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
