Position,"Track Name",Artist,Streams,URL
1,"What Do You Mean?","Justin Bieber",24732,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
2,"Locked Away","R. City",17817,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN
3,Photograph,"Ed Sheeran",14521,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
4,"Drag Me Down","One Direction",14382,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
5,"Can't Feel My Face","The Weeknd",12583,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
6,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",12524,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
7,"Lean On (feat. MØ & DJ Snake)","Major Lazer",10820,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
8,"How Deep Is Your Love","Calvin Harris",10778,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
9,"Good For You","Selena Gomez",10349,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
10,Stitches,"Shawn Mendes",10155,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
11,"Cool for the Summer","Demi Lovato",9624,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
12,"Where Are Ü Now (with Justin Bieber)","Jack Ü",9573,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
13,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,8984,https://open.spotify.com/track/6fQcqEcXfnY0L6VwS0c3gT
14,"Fight Song","Rachel Platten",8920,https://open.spotify.com/track/6bRbeEgg8v8BQ0HuVuPE7v
15,"The Hills","The Weeknd",8739,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
16,"Like I'm Gonna Lose You","Meghan Trainor",8689,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW
17,"Love Myself","Hailee Steinfeld",8070,https://open.spotify.com/track/0xCmwofyCiXdhoBsMSNj2w
18,"See You Again (feat. Charlie Puth)","Wiz Khalifa",7438,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
19,"Thinking Out Loud","Ed Sheeran",7434,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
20,"Flashlight - From ""Pitch Perfect 2"" Soundtrack","Jessie J",7430,https://open.spotify.com/track/6qC8Jj1XOxknPm8N7EbzKX
21,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","Macklemore & Ryan Lewis",7213,https://open.spotify.com/track/0lLDaAdXcjOQ7Mf2NXzXay
22,"Setia (feat. Faizal Tahir)","Elizabeth Tan",7131,https://open.spotify.com/track/23pbkFDEBcmsaGkDqW2iDC
23,"Ghost Town","Adam Lambert",7001,https://open.spotify.com/track/44aN5xKL3kGHvQ5bXVk6B8
24,"Black Magic","Little Mix",6764,https://open.spotify.com/track/33NHr7lu7tCMjK05jUj1v0
