Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,176651,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
2,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",142109,https://open.spotify.com/track/3Si8y5xSh5wcn26l2yqV84
3,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",142094,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
4,Jungle,Broederliefde,140063,https://open.spotify.com/track/2Ro1i5jA2krJYkFJOrRrFa
5,"Bailar - Radio Edit",Deorro,131034,https://open.spotify.com/track/45sGyAtAxD6efaN0bJAFgh
6,"Too Good",Drake,127809,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
7,"This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016","David Guetta",124169,https://open.spotify.com/track/46NBoIAHrmR7qcUGCIFEjR
8,"Perfect Strangers","Jonas Blue",122529,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
9,"This Girl (Kungs Vs. Cookin' On 3 Burners)",Kungs,122076,https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7
10,"No Money",Galantis,113387,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
11,"Don't Let Me Down","The Chainsmokers",111182,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
12,"This Is What You Came For","Calvin Harris",111130,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
13,"Treat You Better","Shawn Mendes",101865,https://open.spotify.com/track/53B2XmmjJ9rriW1qciMBeX
14,"One Night Stand",B-Brave,101728,https://open.spotify.com/track/2no9x9FRytP9PnB3CQPYSs
15,"Do Or Die","Jonna Fraser",96875,https://open.spotify.com/track/2Y63yg1Lgdp96IoiZIvjKz
16,"Mi No Lob",Broederliefde,94472,https://open.spotify.com/track/2LWH17bsVlVNm9K3emk8Gb
17,"The Ocean","Mike Perry",94125,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
18,Sex,"Cheat Codes",91924,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
19,"Cheap Thrills",Sia,87109,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
20,"DUELE EL CORAZON","Enrique Iglesias",85153,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
21,Sofia,"Alvaro Soler",84020,https://open.spotify.com/track/0urDLEnHddaaQ6pJavi6bR
22,Gass,"Sevn Alias",82447,https://open.spotify.com/track/4mBNcduSWagbQJk8I14pGW
23,"Final Song",MØ,81883,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7
24,"Work from Home","Fifth Harmony",80478,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
25,"Hymn For The Weekend - Seeb Remix",Coldplay,79589,https://open.spotify.com/track/6s3GEN8wK0OMzzzZbXj0fu
26,"Once In a While",Timeflies,76477,https://open.spotify.com/track/6cREm4bV7V79Yxdilx9HDo
27,"Summer On You","Sam Feldt",74065,https://open.spotify.com/track/2qWqrdf9wYCHJVqUF6qUgp
28,"Into You","Ariana Grande",72885,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
29,Hey,Fais,72697,https://open.spotify.com/track/3jpViAo0HZOdT7Flyfne6j
30,Panda,Desiigner,67941,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
31,"Don't Mind","Kent Jones",67607,https://open.spotify.com/track/27PmvZoffODNFW2p7ehZTQ
32,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",67377,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
33,"i hate u, i love u (feat. olivia o'brien)",gnash,65544,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
34,"Kill Em With Kindness","Selena Gomez",64171,https://open.spotify.com/track/7KxhSJOYiqCDclXDBNlFSZ
35,"Hotter Than Hell","Dua Lipa",61234,https://open.spotify.com/track/1z5jOmNswvnzjC5gFLu5Dv
36,Capsize,FRENSHIP,60831,https://open.spotify.com/track/3GBlLqIYgB8zWaeWDNJzdh
37,"Thinking About It (Let It Go) - KVR Remix","Nathan Goshen",60218,https://open.spotify.com/track/0yJv0G7r1PZIl1CY5XhvkR
38,"Ik Was Al Binnen",Broederliefde,59652,https://open.spotify.com/track/3fsG2UErJoICD34tS10Cie
39,"Ego - Radio Edit","Willy William",58908,https://open.spotify.com/track/2dvTTBkl5xW3fNFz9mRFw5
40,Ride,"Twenty One Pilots",58736,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
