Position,"Track Name",Artist,Streams,URL
1,"7 Years","Lukas Graham",40165,https://open.spotify.com/track/4dbV37qzkwZOnkGVpsR0Q7
2,Work,Rihanna,38815,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
3,PILLOWTALK,ZAYN,33807,https://open.spotify.com/track/0IKK48xF4eEdfofyaeKWWO
4,"Never Be Like You",Flume,31601,https://open.spotify.com/track/3aOOdPuYGCRzrFEiTXABEd
5,"Fast Car - Radio Edit","Jonas Blue",29700,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
6,"Stressed Out","Twenty One Pilots",28462,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
7,"Me, Myself & I",G-Eazy,28072,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
8,"All My Friends",Snakehips,26619,https://open.spotify.com/track/6TaqooOXAEcijL6G1AWS2K
9,Roses,"The Chainsmokers",26313,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
10,"Love Yourself","Justin Bieber",26116,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
11,Sorry,"Justin Bieber",24680,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
12,"Lush Life","Zara Larsson",24611,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
13,Faded,"Alan Walker",23192,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
14,Middle,"DJ Snake",21489,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
15,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",20525,https://open.spotify.com/track/7vfWgVGiLgnGbInU5lvSQg
16,"Hands To Myself","Selena Gomez",20458,https://open.spotify.com/track/3CJvmtWw2bJsudbAC5uCQk
17,"Hide Away",Daya,19278,https://open.spotify.com/track/2hsza71y54ABzmabyNDtM4
18,YOUTH,"Troye Sivan",17899,https://open.spotify.com/track/1cOyWWUr3oXJIxY0AjJEx9
19,"Never Forget You","Zara Larsson",17856,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
20,"Cheap Thrills",Sia,16806,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
21,"My House","Flo Rida",16538,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
22,"What Do You Mean?","Justin Bieber",16317,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
23,"Cake By The Ocean",DNCE,15886,https://open.spotify.com/track/42ftjU4cTN5UTRksyqBKZJ
24,"Sugar (feat. Francesco Yates)","Robin Schulz",15750,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
25,History,"One Direction",15578,https://open.spotify.com/track/0HMjXBAZmSYOTTi33WpMso
26,"Ocean Drive","Duke Dumont",15575,https://open.spotify.com/track/0k93MXOj0kSXo84SvSDeUz
27,Stitches,"Shawn Mendes",15532,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
28,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",15146,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
29,Gold,Kiiara,14709,https://open.spotify.com/track/6WhzFzROw3aq3rPWjgYlxr
30,"Work from Home","Joshua Coleman",13982,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
31,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",13580,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
32,"Lay It All On Me (feat. Ed Sheeran)",Rudimental,13491,https://open.spotify.com/track/6splO3UF8hSmK33y5fJTNk
33,Stay,Kygo,13105,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
34,"One Call Away","Charlie Puth",13044,https://open.spotify.com/track/7soJgKhQTO8hLP2JPRkL5O
35,Hello,Adele,12922,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
36,"When We Were Young",Adele,12922,https://open.spotify.com/track/7A2eDNBgJrEVE87C8pOMqN
37,"Lean On (feat. MØ & DJ Snake)","Major Lazer",12551,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
38,"Working For It - Bonus Track",ZHU,12040,https://open.spotify.com/track/0P6RjFd2HgG2AXJadQuGfE
39,"Be Right There",Diplo,11859,https://open.spotify.com/track/71EnloViXmSKrQkrkaYFxF
40,"I Know What You Did Last Summer","Shawn Mendes",11613,https://open.spotify.com/track/7crplFzt7spG80NCbpmuCp
41,"Can't Feel My Face","The Weeknd",11122,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
42,"Adventure Of A Lifetime",Coldplay,11061,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
43,"Where Are Ü Now (with Justin Bieber)","Jack Ü",10836,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
44,"The Hills","The Weeknd",9813,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
45,"In The Night","The Weeknd",9204,https://open.spotify.com/track/7fPHfBCyKE3aVCBjE4DAvl
46,"Hotline Bling",Drake,9191,https://open.spotify.com/track/1UfBAJfmofTffrae5ls6DA
47,"Easy Love - Original Mix",Sigala,9018,https://open.spotify.com/track/5MMp4HNtX6T2xT9w6Xmaxn
48,"On My Mind","Ellie Goulding",8604,https://open.spotify.com/track/5a7NdkF09AfD0H607eiOkX
49,"How Deep Is Your Love","Calvin Harris",8505,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
50,"Don't Let Me Down","The Chainsmokers",8457,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
51,"The Trouble with Us","Marcus Marr",8396,https://open.spotify.com/track/2gkyOTZQJ7mWf32KK0zEXc
52,In2,WSTRN,7767,https://open.spotify.com/track/1hu2dRGo6kxbvc7NuNGD4v
53,"Hymn For The Weekend",Coldplay,7199,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
54,Jumpman,Drake,7036,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
55,"New Americana",Halsey,7027,https://open.spotify.com/track/6Xs7OKt6i0Ddq8B4M5Dgvr
56,1955,"Hilltop Hoods",6951,https://open.spotify.com/track/6oSmp7qnvAxUXeUKhl67a6
57,"Summer Sixteen",Drake,6649,https://open.spotify.com/track/17Q87zeXgsAi9iQQbMu9v0
58,"Thinking Out Loud","Ed Sheeran",6595,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
59,Photograph,"Ed Sheeran",6539,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
60,"Please Don't Go","Joel Adams",6356,https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy
61,"Sweet Lovin' - Radio Edit",Sigala,6343,https://open.spotify.com/track/614TxLN6BP9nN8pFcPdLVE
62,"Wild Things","Alessia Cara",6248,https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE
63,Company,"Justin Bieber",6122,https://open.spotify.com/track/09mhA1SJjMHniZPF4Hcihn
64,Here,"Alessia Cara",6121,https://open.spotify.com/track/1wYZZtamWTQAoj8B812uKQ
65,"Get Ugly","Jason Derulo",6050,https://open.spotify.com/track/1dl3vuXJS9anUXE7XnNP75
66,"Same Old Love","Selena Gomez",6002,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly
67,"Back To Sleep","Chris Brown",5783,https://open.spotify.com/track/6dlpABcXrQKRU9G00i6Zba
68,"King Kunta","Kendrick Lamar",5706,https://open.spotify.com/track/0N3W5peJUQtI4eyR6GJT5O
69,Don't,"Bryson Tiller",5630,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
70,"Ex's & Oh's","Elle King",5626,https://open.spotify.com/track/70eDxAyAraNTiD6lx2ZEnH
71,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","Macklemore & Ryan Lewis",5521,https://open.spotify.com/track/5pfJsMwoRYKampPay8amX0
72,"Boys Like You","Who Is Fancy",5312,https://open.spotify.com/track/07rJ9xLSbBKLwJHW73CApr
73,"679 (feat. Remy Boyz)","Fetty Wap",5224,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
74,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,5120,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
75,"No Role Modelz","J. Cole",5116,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
76,"iT's YoU",ZAYN,5083,https://open.spotify.com/track/1dB3Hsi3LfViWtqE8Sj8pr
77,"Locked Away","R. City",5075,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
78,"I'll Show You","Justin Bieber",5070,https://open.spotify.com/track/747eWJy8c3u09N30NSqSTp
79,"The Fix",Nelly,5021,https://open.spotify.com/track/33QRsLBBdWDYgCZfWEZqR6
80,"Keeping Score","L D R U",5002,https://open.spotify.com/track/1SqvnNuECvid6XdiJ9OCH5
81,"Trap Queen","Fetty Wap",4895,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ
82,"Like I'm Gonna Lose You","Meghan Trainor",4867,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW
83,Perfect,"One Direction",4836,https://open.spotify.com/track/3NLnwwAQbbFKcEcV8hDItk
84,"Dance Off (feat. Idris Elba & Anderson .Paak)","Macklemore & Ryan Lewis",4811,https://open.spotify.com/track/7pDxNYVQLKzrbkCe8OCag3
85,"Love Myself","Hailee Steinfeld",4758,https://open.spotify.com/track/52izjvF7wwveRG1rDJsGWe
86,"Reality - Radio Edit","Lost Frequencies",4738,https://open.spotify.com/track/5kZRoc6Gz7u5eu4a0YM2LS
87,oui,Jeremih,4729,https://open.spotify.com/track/0PJIbOdMs3bd5AT8liULMQ
88,"Secret Love Song","Little Mix",4707,https://open.spotify.com/track/4JIo8RztBbELr2gWJ5OGK6
89,"Stole the Show",Kygo,4682,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
90,"See You Again (feat. Charlie Puth) - From ""Furious 7""","Wiz Khalifa",4592,https://open.spotify.com/track/66CFbqJScx6zRieGllITcs
91,Magnets,Disclosure,4515,https://open.spotify.com/track/43Ei9NSyEjgFYXoKLISyz4
92,"Uptown Funk","Mark Ronson",4512,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
93,"White Lines",Six60,4287,https://open.spotify.com/track/16hs4cX1Ad5mbmm3UhhrJV
