Position,"Track Name",Artist,Streams,URL
1,Sorry,"Justin Bieber",4963,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
2,"What Do You Mean?","Justin Bieber",3351,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
3,"Love Yourself","Justin Bieber",3253,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
4,Hello,Adele,3138,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
5,"Hotline Bling",Drake,2775,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
6,"Lean On (feat. MØ & DJ Snake)","Major Lazer",2605,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
7,"Locked Away","R. City",2381,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
8,"Where Are Ü Now (with Justin Bieber)","Jack Ü",2326,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
9,"Can't Feel My Face","The Weeknd",2322,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
10,Stitches,"Shawn Mendes",2228,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
11,"Sorry - Latino Remix","Justin Bieber",2227,https://open.spotify.com/track/0XXLwO7YHHTAK3OJkWQ37b
12,"How Deep Is Your Love","Calvin Harris",2084,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
13,Picky,"Joey Montana",2039,https://open.spotify.com/track/0ZogPPD0uFaPXVhlZJOtSK
14,Ginza,"J Balvin",2033,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k
15,"Por Fin Te Encontré","Cali Y El Dandee",1975,https://open.spotify.com/track/3GpvoKKWZyTwgbLEM9RmWM
16,"Gyal You a Party Animal","Charly Black",1848,https://open.spotify.com/track/2tVuoWRu7DmMXAuqtZ4UCp
17,"Adventure Of A Lifetime",Coldplay,1757,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
18,"La Gozadera","Gente De Zona",1627,https://open.spotify.com/track/3ip2477VESffCtFkPFT0ov
19,"On My Mind","Ellie Goulding",1618,https://open.spotify.com/track/5a7NdkF09AfD0H607eiOkX
20,"Stole the Show",Kygo,1522,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
21,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,1497,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
22,"Te Busco",Cosculluela,1489,https://open.spotify.com/track/2M2WWJE863upPYUrzCRjN6
23,"Me Voy Enamorando - Remix","Chino & Nacho",1458,https://open.spotify.com/track/0nfBKG11Wv2bK8cPjMU5VB
24,"Good For You","Selena Gomez",1455,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
25,Firestone,Kygo,1433,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
26,"Sugar (feat. Francesco Yates)","Robin Schulz",1429,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
27,"Borro Cassette",Maluma,1401,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
28,"Thinking Out Loud","Ed Sheeran",1390,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
29,"Waiting For Love",Avicii,1357,https://open.spotify.com/track/6nsLzJfvp5OLd4mgqUJkpq
30,"El Perdón","Nicky Jam",1353,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
31,"Want to Want Me","Jason Derulo",1341,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
32,Focus,"Ariana Grande",1336,https://open.spotify.com/track/3IyeQMpMEqNcEvFQGJ2eps
33,"Uptown Funk","Mark Ronson",1325,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
34,"Ain't Nobody (Loves Me Better)","Felix Jaehn",1314,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
35,"The Hills","The Weeknd",1257,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
36,Photograph,"Ed Sheeran",1204,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
37,"I'll Show You","Justin Bieber",1190,https://open.spotify.com/track/747eWJy8c3u09N30NSqSTp
38,"Sígueme Y Te Sigo","Daddy Yankee",1139,https://open.spotify.com/track/1ClQpnPU9M6mQpXGvhGPvQ
39,Vuelve,"Juan Magán",1139,https://open.spotify.com/track/1mNJT19BzMjOoUrxSUp0xi
40,Stay,Kygo,1099,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
41,"Are You with Me - Radio Edit","Lost Frequencies",1063,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
42,"Same Old Love","Selena Gomez",1006,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly
