Position,"Track Name",Artist,Streams,URL
1,Roses,"The Chainsmokers",139798,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
2,"One Call Away","Charlie Puth",130172,https://open.spotify.com/track/7soJgKhQTO8hLP2JPRkL5O
3,"Love Yourself","Justin Bieber",128809,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
4,PILLOWTALK,ZAYN,120308,https://open.spotify.com/track/0IKK48xF4eEdfofyaeKWWO
5,Work,Rihanna,112244,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
6,YOUTH,"Troye Sivan",95621,https://open.spotify.com/track/1cOyWWUr3oXJIxY0AjJEx9
7,"Don't Let Me Down","The Chainsmokers",90552,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
8,Sorry,"Justin Bieber",89085,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
9,"Hands To Myself","Selena Gomez",71886,https://open.spotify.com/track/3CJvmtWw2bJsudbAC5uCQk
10,"Work from Home","Joshua Coleman",71351,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
11,Stitches,"Shawn Mendes",68324,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
12,Middle,"DJ Snake",67728,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
13,"Me, Myself & I",G-Eazy,66487,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
14,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",59757,https://open.spotify.com/track/3rKYiySCDMUKTw5kGVVhaa
15,"What Do You Mean?","Justin Bieber",59307,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
16,"Like I'm Gonna Lose You","Meghan Trainor",58944,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW
17,"Hide Away",Daya,58769,https://open.spotify.com/track/2hsza71y54ABzmabyNDtM4
18,"Lush Life","Zara Larsson",58466,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
19,Stay,Kygo,56735,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
20,"7 Years","Lukas Graham",56608,https://open.spotify.com/track/4dbV37qzkwZOnkGVpsR0Q7
21,"Fast Car - Radio Edit","Jonas Blue",56480,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
22,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",56171,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
23,"Cake By The Ocean",DNCE,55421,https://open.spotify.com/track/42ftjU4cTN5UTRksyqBKZJ
24,"Stay (On the Wings of Love Teleserye Theme)","Daryl Ong",55208,https://open.spotify.com/track/2ihUXb4jayaUoxmID8pgB8
25,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",54564,https://open.spotify.com/track/7vfWgVGiLgnGbInU5lvSQg
26,History,"One Direction",52047,https://open.spotify.com/track/0HMjXBAZmSYOTTi33WpMso
27,Faded,"Alan Walker",51142,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
28,"Stressed Out","Twenty One Pilots",50741,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
29,Perfect,"One Direction",50568,https://open.spotify.com/track/3NLnwwAQbbFKcEcV8hDItk
30,"I Know What You Did Last Summer","Shawn Mendes",49218,https://open.spotify.com/track/7crplFzt7spG80NCbpmuCp
31,Tadhana,"Up Dharma Down",47486,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
32,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",47077,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
33,"Never Forget You","Zara Larsson",46988,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
34,"Cheap Thrills",Sia,44803,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
35,Photograph,"Ed Sheeran",44726,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
36,"My House","Flo Rida",43865,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
37,"Lay It All On Me (feat. Ed Sheeran)",Rudimental,41492,https://open.spotify.com/track/6splO3UF8hSmK33y5fJTNk
38,"All My Friends",Snakehips,40888,https://open.spotify.com/track/6TaqooOXAEcijL6G1AWS2K
39,"Locked Away","R. City",40564,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
40,"When We Were Young",Adele,38947,https://open.spotify.com/track/7A2eDNBgJrEVE87C8pOMqN
41,"Pasensya Ka Na","Silent Sanctuary",38329,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
42,"Boys Like You","Who Is Fancy",37573,https://open.spotify.com/track/07rJ9xLSbBKLwJHW73CApr
43,Hanap-Hanap,"James Reid",36380,https://open.spotify.com/track/4ZgZPrrSLi4sIiFkiahuxq
44,Hello,Adele,35933,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
