Position,"Track Name",Artist,Streams,URL
1,"What Do You Mean?","Justin Bieber",2473,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
2,"Lean On (feat. MØ & DJ Snake)","Major Lazer",1728,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
3,"Can't Feel My Face","The Weeknd",1572,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
4,"How Deep Is Your Love","Calvin Harris",1509,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
5,"Good For You","Selena Gomez",1338,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
6,"The Hills","The Weeknd",1269,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
7,"Drag Me Down","One Direction",1197,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
8,"For A Better Day",Avicii,1175,https://open.spotify.com/track/2u5B53qh8UGDnPcdJATcDl
9,"Locked Away","R. City",1165,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN
10,"Sugar (feat. Francesco Yates)","Robin Schulz",1153,https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo
11,"Ain't Nobody (Loves Me Better)","Felix Jaehn",1102,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
12,"Where Are Ü Now (with Justin Bieber)","Jack Ü",1008,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
