Position,"Track Name",Artist,Streams,URL
1,"Cheap Thrills",Sia,38903,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
2,"Günah Benim",Eypio,37924,https://open.spotify.com/track/682LxUaiINLL1cuthv1nhP
3,"One Dance",Drake,35218,https://open.spotify.com/track/12VWzyPDBCc8fqeWCAfNwR
4,"This Is What You Came For","Calvin Harris",27401,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
5,"Don't Let Me Down","The Chainsmokers",24182,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
6,Bağdat,"Ayla Çelik",23679,https://open.spotify.com/track/16a0QZ5d6gSoiGM1qJnyTw
7,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",21914,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
8,Mey,Model,21868,https://open.spotify.com/track/6mWCTk8obPLq3rRkzpII4q
9,Faded,"Alan Walker",21769,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
10,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",21196,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
11,"Hymn For The Weekend",Coldplay,21083,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
12,Panda,Desiigner,19781,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
13,Janti,"Murat Boz",19117,https://open.spotify.com/track/20NWw4dRWT67e82Jrj6x85
14,"Lush Life","Zara Larsson",18945,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
15,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",18381,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
16,Yankı,Simge,18115,https://open.spotify.com/track/5c4IttlHETAUnlJlwJ3GpG
17,Work,Rihanna,17516,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
18,"Work from Home","Joshua Coleman",16604,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
19,"Cake By The Ocean",DNCE,15961,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
20,"Me, Myself & I",G-Eazy,15882,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
21,"İçimdeki Duman","İlyas Yalçıntaş",15690,https://open.spotify.com/track/6omqxqWZX4sCmQ7Iz4BxvM
22,"Fast Car - Radio Edit","Jonas Blue",15228,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
23,"No Money",Galantis,14042,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
24,Sex,"Cheat Codes",13940,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
25,"Stressed Out","Twenty One Pilots",13898,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
26,Afitap,Sıla,13456,https://open.spotify.com/track/7efq7pWZbZxKpYR7swpA6e
27,"Dangerous Woman","Ariana Grande",13324,https://open.spotify.com/track/2h1IPjP471JJRSShTHRUhi
28,NO,"Meghan Trainor",13209,https://open.spotify.com/track/3ge54HUrk1ht3EX5SMhIzZ
29,Close,"Nick Jonas",12749,https://open.spotify.com/track/4Zpe9VME8DiFjLdqSqPRoZ
30,"Needed Me",Rihanna,12343,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
31,"7 Years","Lukas Graham",11962,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
32,"i hate u, i love u (feat. olivia o'brien)",gnash,11580,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
33,Middle,"DJ Snake",11511,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
34,"Ocean Drive","Duke Dumont",11108,https://open.spotify.com/track/0k93MXOj0kSXo84SvSDeUz
35,"Uzun Lafın Kısası","Ozan Doğulu",11107,https://open.spotify.com/track/5Z1NgIkltVsj5flGdsPmNc
36,Stay,Kygo,10955,https://open.spotify.com/track/2FiSTH0GYpIioUgjfzMIja
37,"Afterhours feat. Diplo & Nina Sky",TroyBoi,10893,https://open.spotify.com/track/0wcbltC75nBbE4eFPOynEx
38,Gold,Kiiara,10840,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
39,"Saçma Sapan","Emir Şamur",10619,https://open.spotify.com/track/2eHEyGtsveVubU7SiinLuT
40,PILLOWTALK,ZAYN,10516,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
41,"Never Forget You","Zara Larsson",10458,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
42,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",10217,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
43,Roses,"The Chainsmokers",9900,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
44,"Muhtemel Aşk",27,9723,https://open.spotify.com/track/6js8vMX37CO2JijO6wAfdN
45,"Wild Things","Alessia Cara",9517,https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE
46,"Lean On (feat. MØ & DJ Snake)","Major Lazer",9312,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
47,Sorry,"Justin Bieber",9224,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
48,Leyla,"Murat Dalkılıç",9158,https://open.spotify.com/track/6EdvaIGiRctdrjdjwSXah7
49,"Ego - Radio Edit","Willy William",8948,https://open.spotify.com/track/2dvTTBkl5xW3fNFz9mRFw5
50,Bludfire,"Eva Simons",8608,https://open.spotify.com/track/5BFVePUnguVobp0pUD3SSL
51,"Cheap Thrills",Sia,8009,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
52,"Ain't Your Mama","Jennifer Lopez",7389,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72
53,"Once In a While",Timeflies,7250,https://open.spotify.com/track/6cREm4bV7V79Yxdilx9HDo
54,Bonbon,"Era Istrefi",7105,https://open.spotify.com/track/3Uz8ZcQdlOF2qE6q1rcVpw
55,"Girls Like (feat. Zara Larsson)","Tinie Tempah",6971,https://open.spotify.com/track/0rHVd8h0cFwgLgPFem6S60
56,"Sugar (feat. Francesco Yates)","Robin Schulz",6950,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
57,Drinkee,"Sofi Tukker",6947,https://open.spotify.com/track/5TBsLU9TSxjDLzMpsEgJsv
58,"My House","Flo Rida",6920,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
59,"If It Ain't Love","Jason Derulo",6884,https://open.spotify.com/track/5YHR8wBR5jXfGtP766NiAT
60,"Never Be Like You (feat. Kai)",Flume,6788,https://open.spotify.com/track/6y0igZArWVi6Iz0rj35c1Y
61,"No Broken Hearts (feat. Nicki Minaj)","Bebe Rexha",6779,https://open.spotify.com/track/4qULqxfCRhJAXVc75UupQB
62,"Too Good",Drake,6684,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
63,"Bağdat - Beyazit Ozturk Duet Versiyon","Ayla Çelik",6222,https://open.spotify.com/track/5Ll1xRnmYrxQVS7wmGG8Bc
64,"Adventure Of A Lifetime",Coldplay,6058,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
65,"Hotline Bling",Drake,5841,https://open.spotify.com/track/1OAYKfE0YdrN7C1yLWaLJo
66,Capsize,FRENSHIP,5750,https://open.spotify.com/track/4qH3RkbFgzxYyXUD8YC8kr
67,"Don't Be So Shy - Filatov & Karas Remix",Imany,5749,https://open.spotify.com/track/5Sod5qQTp8Nj4n5dTjttQG
68,Chandelier,Sia,5704,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
69,Ride,"Twenty One Pilots",5678,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
70,"Bi Dakika","Aynur Aydın",5559,https://open.spotify.com/track/5KcGGKgxq04FePi64RPljt
71,Dantel,"İrem Derici",5558,https://open.spotify.com/track/62QGNJveZfFHO5VbtSWvYB
72,"Olmazsan Olmaz","Güliz Ayla",5506,https://open.spotify.com/track/5Xs9ausy71jYfKSBHjO3t0
73,"Take Me To Church",Hozier,5495,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
74,"Love Yourself","Justin Bieber",5432,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
75,"This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016","David Guetta",5388,https://open.spotify.com/track/46NBoIAHrmR7qcUGCIFEjR
