Position,"Track Name",Artist,Streams,URL
1,Closer,"The Chainsmokers",484629,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
2,"Say You Won't Let Go","James Arthur",391457,https://open.spotify.com/track/1Pw5C4N6Fn5E4mGCxmbbVa
3,Starboy,"The Weeknd",375285,https://open.spotify.com/track/2IY7eOUDjw2ArKYxKa2jXc
4,"Let Me Love You","DJ Snake",352087,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
5,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",351930,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
6,"Side To Side","Ariana Grande",316370,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
7,"The Greatest",Sia,289233,https://open.spotify.com/track/3XIIOCu6B8PuGq5j61asEM
8,"My Way","Calvin Harris",277340,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
9,"In the Name of Love","Martin Garrix",265425,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
10,"Treat You Better","Shawn Mendes",260784,https://open.spotify.com/track/53B2XmmjJ9rriW1qciMBeX
11,Heathens,"Twenty One Pilots",243693,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
12,"One Dance",Drake,221436,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
13,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",213044,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
14,"Perfect Strangers","Jonas Blue",207669,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
15,"Too Good",Drake,206109,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
16,"Don't Let Me Down","The Chainsmokers",194771,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
17,"Dancing On My Own","Calum Scott",186370,https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ
18,Alarm,Anne-Marie,183213,https://open.spotify.com/track/0OwX5aROoW1Iip8FV51Efg
19,"This Is What You Came For","Calvin Harris",176969,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
20,"This Girl (Kungs Vs. Cookin' On 3 Burners)",Kungs,173575,https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7
21,Starving,"Hailee Steinfeld",169281,https://open.spotify.com/track/6DG2g1UhROp5pnM8fx7zH2
22,"Ain't My Fault","Zara Larsson",160076,https://open.spotify.com/track/4nA0biSjtvOL41Hd9MBXqR
23,"Still Falling For You - From ""Bridget Jones's Baby"" Original Motion Picture Soundtrack","Ellie Goulding",158293,https://open.spotify.com/track/638fKB27P7UAmu3Aq0vEJ3
24,"Final Song",MØ,157328,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7
25,"Let Me Hold You (Turn Me On)","Dante Klein",154745,https://open.spotify.com/track/0lmdsH1MIoLsMymnNpd6HU
26,"Millionaire (feat. Nelly)","Cash Cash",141875,https://open.spotify.com/track/3UDXkdQquqCEAJdNAsA1wO
27,Sexual,NEIKED,140314,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
