Position,"Track Name",Artist,Streams,URL
1,Sorry,"Justin Bieber",4027677,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
2,"Love Yourself","Justin Bieber",3606742,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
3,Hello,Adele,3010148,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
4,"What Do You Mean?","Justin Bieber",2816308,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
5,"Hotline Bling",Drake,2201020,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
6,Stitches,"Shawn Mendes",1822930,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
7,"All I Want for Christmas Is You","Mariah Carey",1656338,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
8,"Lean On (feat. MØ & DJ Snake)","Major Lazer",1654829,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
9,"Can't Feel My Face","The Weeknd",1585241,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
10,"Adventure Of A Lifetime",Coldplay,1421612,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
11,"The Hills","The Weeknd",1403827,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
12,"Sugar (feat. Francesco Yates)","Robin Schulz",1393218,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
13,"Where Are Ü Now (with Justin Bieber)","Jack Ü",1384482,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
14,Stay,Kygo,1324553,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
15,"On My Mind","Ellie Goulding",1321133,https://open.spotify.com/track/5a7NdkF09AfD0H607eiOkX
16,Focus,"Ariana Grande",1271678,https://open.spotify.com/track/3IyeQMpMEqNcEvFQGJ2eps
17,"How Deep Is Your Love","Calvin Harris",1270082,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
18,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",1240488,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
19,"Locked Away","R. City",1174359,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
20,"I'll Show You","Justin Bieber",1164877,https://open.spotify.com/track/747eWJy8c3u09N30NSqSTp
21,"Same Old Love","Selena Gomez",1159253,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly
22,"Lay It All On Me (feat. Ed Sheeran)",Rudimental,1129158,https://open.spotify.com/track/6splO3UF8hSmK33y5fJTNk
23,Perfect,"One Direction",1048029,https://open.spotify.com/track/3NLnwwAQbbFKcEcV8hDItk
24,"Last Christmas",Wham!,1016626,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
25,"It's Beginning To Look A Lot Like Christmas","Michael Bublé",1009713,https://open.spotify.com/track/5a1iz510sv2W9Dt1MvFd5R
26,Jumpman,Drake,989524,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
27,Here,"Alessia Cara",976816,https://open.spotify.com/track/1wYZZtamWTQAoj8B812uKQ
28,Roses,"The Chainsmokers",952194,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
29,Photograph,"Ed Sheeran",947213,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
30,"Me, Myself & I",G-Eazy,930171,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
31,"Drag Me Down","One Direction",904063,https://open.spotify.com/track/2K87XMYnUMqLcX3zvtAF4G
32,"Lush Life","Zara Larsson",892448,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
33,"Trap Queen","Fetty Wap",890672,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ
34,"Never Forget You","Zara Larsson",878616,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
35,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,869488,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
36,"Good For You","Selena Gomez",846653,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
37,"7 Years","Lukas Graham",827707,https://open.spotify.com/track/4dbV37qzkwZOnkGVpsR0Q7
38,"679 (feat. Remy Boyz)","Fetty Wap",814490,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
39,Faded,"Alan Walker",801380,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
40,"Ain't Nobody (Loves Me Better)","Felix Jaehn",799499,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
41,"Thinking Out Loud","Ed Sheeran",795073,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
42,"The Feeling","Justin Bieber",787559,https://open.spotify.com/track/7vldwy3gdhmPRKWSCi8H61
43,"White Iverson","Post Malone",769760,https://open.spotify.com/track/2N0NifjyXAdMOB4KBGvBJ6
44,"Want to Want Me","Jason Derulo",735417,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
45,"I Know What You Did Last Summer","Shawn Mendes",734066,https://open.spotify.com/track/7crplFzt7spG80NCbpmuCp
46,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",713660,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
47,"Love Myself","Hailee Steinfeld",707115,https://open.spotify.com/track/52izjvF7wwveRG1rDJsGWe
48,Company,"Justin Bieber",706621,https://open.spotify.com/track/09mhA1SJjMHniZPF4Hcihn
49,"Like I'm Gonna Lose You","Meghan Trainor",693189,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW
50,"Santa Tell Me","Ariana Grande",692020,https://open.spotify.com/track/1ADjWm8QNhgNV8yCNNgQ1T
51,Purpose,"Justin Bieber",675700,https://open.spotify.com/track/3jHCXrZNz8fQEEf4BpWCAj
52,"Uptown Funk","Mark Ronson",654731,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
53,"El Perdón","Nicky Jam",645370,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
54,"See You Again (feat. Charlie Puth)","Wiz Khalifa",630556,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
55,"Stole the Show",Kygo,628163,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
56,"Waiting For Love",Avicii,607947,https://open.spotify.com/track/6nsLzJfvp5OLd4mgqUJkpq
57,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",603084,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
58,"Stressed Out","Twenty One Pilots",597104,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
59,Firestone,Kygo,591047,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
