"url","image","image_alt","image_link","position","track_name","artist_name","streams"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/57ba46d39d710e99ae524b279cae3a3981ace43f","","https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw","1","Closer","by The Chainsmokers","1,864,286"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/1847eae398dbd7682864144e2fdfbbcc9cbe180d","","https://open.spotify.com/track/2IY7eOUDjw2ArKYxKa2jXc","2","Starboy","by The Weeknd","1,605,433"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/ed383f5caecf01e149be937a7b1feda22ab99204","","https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p","3","Cold Water (feat. Justin Bieber & MØ)","by Major Lazer","963,356"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/1cb0121a2ac08e31fd2674e9828649fb7496218e","","https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m","4","Let Me Love You","by DJ Snake","950,368"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/f9f7089f2c94487175fcbc5f883fcd2c5037c9cd","","https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr","5","Heathens","by Twenty One Pilots","924,798"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/4149e6db5b9fb828778e0fe8be98c534434bc6e4","","https://open.spotify.com/track/4a87wpeqAcOv03pYihEzku","6","Broccoli (feat. Lil Yachty)","by D.R.A.M.","899,363"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/3cc13a8c1fc2fb71a178d2ad7e6e812b27ac913f","","https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew","7","Too Good","by Drake","796,656"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/3cc13a8c1fc2fb71a178d2ad7e6e812b27ac913f","","https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3","8","One Dance","by Drake","784,257"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/a45a827d9adef376b25f40e4281e591964c374c3","","https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz","9","Side To Side","by Ariana Grande","773,258"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/84110acec61060cc90e183c1061cf9aa8bd16493","","https://open.spotify.com/track/6DG2g1UhROp5pnM8fx7zH2","10","Starving","by Hailee Steinfeld","681,854"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/ac2b6f42bd1df3228825dcb182f432435a965c87","","https://open.spotify.com/track/53B2XmmjJ9rriW1qciMBeX","11","Treat You Better","by Shawn Mendes","657,902"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/337f283c3c3085ad02b98b7fc54b6e74bdfe9319","","https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm","12","Needed Me","by Rihanna","652,889"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/2fcdb3647add4c054af557984a00d5b67dd7431e","","https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S","13","In the Name of Love","by Martin Garrix","621,173"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/54ceabc3b314f4a5003b3c4dd6c6413694ff1146","","https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK","14","Don't Let Me Down","by The Chainsmokers","588,893"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/d29dd2cf151f0300e4fc75931270de4de2dd4ef5","","https://open.spotify.com/track/3XIIOCu6B8PuGq5j61asEM","15","The Greatest","by Sia","577,665"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/7f143f49de9521bc762c68cd29ff251f94244c28","","https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW","16","Ride","by Twenty One Pilots","574,046"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/8631dadf8d69981ab32e811f8875ded657711666","","https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm","17","My Way","by Calvin Harris","551,848"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/ba478d92a88ed9f59ef28345d3b91468b5ac81b4","","https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp","18","Chill Bill","by Rob $tone","551,616"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/f9f7089f2c94487175fcbc5f883fcd2c5037c9cd","","https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB","19","Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","by Lil Wayne","542,759"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/0e5d72c93fa0e40c8f2806f1f8538cc0ff1ac2f9","","https://open.spotify.com/track/0qRZ9ydGdzeVk3S01pLGoJ","20","You & Me","by Marc E. Bassy","542,451"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/4349da1826024f0f9644208b7530aef2360037bc","","https://open.spotify.com/track/16Ah4QqH4mgYVXqfC4mdSd","21","LUV","by Tory Lanez","512,736"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/260c2e74e67a15cf61ac72f8264cc6caec5f7a66","","https://open.spotify.com/track/4CpKEkdGbOJV51cSvx7SoG","22","Controlla","by Drake","511,813"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/e4d610942f5bbd6d965a95527655eba92b15fbac","","https://open.spotify.com/track/4lYTkvMkcNRj9uoSr8Zpws","23","Mercy","by Shawn Mendes","510,700"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/6a2ce95fda9b36694ead3014bcfb3e167e82e04e","","https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe","24","i hate u, i love u (feat. olivia o'brien)","by gnash","508,686"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/4ab00d1d5b622016db4d9a3e7ba7188889e4483b","","https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y","25","This Is What You Came For","by Calvin Harris","497,195"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/a45a827d9adef376b25f40e4281e591964c374c3","","https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0","26","Into You","by Ariana Grande","493,218"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/9cf378973150f7355f081ea87f2ae827797a19c1","","https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g","27","Caroline","by Aminé","490,295"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/f8504711cba2941971e2a60553b4b3f235535acc","","https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj","28","We Don't Talk Anymore (feat. Selena Gomez)","by Charlie Puth","487,670"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/c0f6f091616603f6f2a8f509e27d74b5471268a8","","https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK","29","Scars To Your Beautiful","by Alessia Cara","485,977"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/338fd69f704e88e02623c56c4d53b8b5df5f1c90","","https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO","30","Gold","by Kiiara","457,988"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/374221d6e309c5cb5e180a8ba167a8ce70055c5b","","https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH","31","No Problem (feat. Lil Wayne & 2 Chainz)","by Chance The Rapper","445,563"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/b6e9d745db370a07fde05012c6d830aaf94d8e9f","","https://open.spotify.com/track/3GBlLqIYgB8zWaeWDNJzdh","32","Capsize","by FRENSHIP","439,999"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/3d0905a35778654215ec135cee684e262b9940c4","","https://open.spotify.com/track/12REd1n8PeiHHWOh066tpr","33","Never Be Like You","by Flume","439,627"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/271e1d75914aa2236e6d41609e3b9b56dd10d696","","https://open.spotify.com/track/3NJG6vMH1ZsectZkocMEm0","34","Tiimmy Turner","by Desiigner","431,957"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/5783405f0486e721886179bd016b65098e45c6d6","","https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7","35","This Girl (Kungs Vs. Cookin' On 3 Burners)","by Kungs","406,431"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/43a4529a284eb4e2aa4b1e503220af0e4261994a","","https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO","36","X (feat. Future)","by 21 Savage","387,019"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/d84981dc86fbba3a0199495fb963c1a757ad0bec","","https://open.spotify.com/track/4sQMalN597HdggTu196aL0","37","Say It (feat. Tove Lo)","by Flume","382,618"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/6196f528b365e8ef504fd0706fb7e87adecfe647","","https://open.spotify.com/track/6s3GEN8wK0OMzzzZbXj0fu","38","Hymn For The Weekend - Seeb Remix","by Coldplay","375,427"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/14df01dd09b96cf35d49f1e6c33ffd5a29854f53","","https://open.spotify.com/track/0lmdsH1MIoLsMymnNpd6HU","39","Let Me Hold You (Turn Me On)","by Dante Klein","374,944"
