Position,"Track Name",Artist,Streams,URL
2,Sorry,"Justin Bieber",3951650,https://open.spotify.com/track/2GpHJb7xGNBaIDTrBxjIu6
3,"Hotline Bling",Drake,3016139,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
4,"What Do You Mean?","Justin Bieber",2948601,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
5,"Can't Feel My Face","The Weeknd",2094861,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
6,"The Hills","The Weeknd",1933203,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
7,"Lean On (feat. MØ & DJ Snake)","Major Lazer",1847481,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
8,Stitches,"Shawn Mendes",1847225,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
9,"Locked Away","R. City",1837922,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
10,"How Deep Is Your Love","Calvin Harris",1776092,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
11,"On My Mind","Ellie Goulding",1666864,https://open.spotify.com/track/0kN5Ohxu97lwdDmP5n7FZE
12,"Sugar (feat. Francesco Yates)","Robin Schulz",1565714,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
13,Perfect,"One Direction",1445964,https://open.spotify.com/track/3DnzEB8Ffnp5sjnCbOugUX
14,"Good For You","Selena Gomez",1305952,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
15,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,1288837,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
16,"Drag Me Down","One Direction",1227703,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
17,"Same Old Love","Selena Gomez",1197684,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly
18,Jumpman,Drake,1185830,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
19,"Easy Love - Original Mix",Sigala,1166420,https://open.spotify.com/track/5MMp4HNtX6T2xT9w6Xmaxn
20,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","Macklemore & Ryan Lewis",1163585,https://open.spotify.com/track/0lLDaAdXcjOQ7Mf2NXzXay
21,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",1106764,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
22,"Ain't Nobody (Loves Me Better)","Felix Jaehn",1084912,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
23,"Where Are Ü Now (with Justin Bieber)","Jack Ü",1066053,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
24,"Trap Queen","Fetty Wap",1043808,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ
25,Photograph,"Ed Sheeran",1027851,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
26,"Hula Hoop",OMI,997859,https://open.spotify.com/track/0wsXdby1T3PWLauIkGUZzg
27,"Waiting For Love",Avicii,974198,https://open.spotify.com/track/6nsLzJfvp5OLd4mgqUJkpq
