Track Name,Artist,URL
What Do You Mean?,Justin Bieber,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
Can't Feel My Face,The Weeknd,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
Lean On (feat. MØ & DJ Snake),Major Lazer,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
The Hills,The Weeknd,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
How Deep Is Your Love,Calvin Harris,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
Drag Me Down,One Direction,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
Where Are Ü Now (with Justin Bieber),Jack Ü,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
Good For You,Selena Gomez,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
Locked Away,R. City,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN
"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",Flo Rida,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
679 (feat. Remy Boyz),Fetty Wap,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
Waiting For Love,Avicii,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ
See You Again (feat. Charlie Puth),Wiz Khalifa,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
Ain't Nobody (Loves Me Better),Felix Jaehn,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
Photograph,Ed Sheeran,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
Want to Want Me,Jason Derulo,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
Sugar (feat. Francesco Yates),Robin Schulz,https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo
Cool for the Summer,Demi Lovato,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
Trap Queen,Fetty Wap,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
Shut Up and Dance,WALK THE MOON,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
Hotline Bling,Drake,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
El Perdón,Nicky Jam,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
Worth It,Fifth Harmony,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
Marvin Gaye (feat. Meghan Trainor),Charlie Puth,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
Watch Me (Whip / Nae Nae),Silentó,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr
Stole the Show,Kygo,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
Are You with Me - Radio Edit,Lost Frequencies,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
Thinking Out Loud,Ed Sheeran,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
Earned It (Fifty Shades Of Grey),The Weeknd,https://open.spotify.com/track/4frLb7nWtsz2ymBE6k2GRP
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
Omen - Radio Edit,Disclosure,https://open.spotify.com/track/3jEPu6FD1icy9cLllhB2XK
Real Life,The Weeknd,https://open.spotify.com/track/1VoJttdilLYpbpYN142Zek
Sugar,Maroon 5,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
Often,The Weeknd,https://open.spotify.com/track/5SqSckut3FcoQKmGkMWgp1
Fight Song,Rachel Platten,https://open.spotify.com/track/6bRbeEgg8v8BQ0HuVuPE7v
Uptown Funk,Mark Ronson,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
Reality - Radio Edit,Lost Frequencies,https://open.spotify.com/track/5kZRoc6Gz7u5eu4a0YM2LS
Black Magic,Little Mix,https://open.spotify.com/track/33NHr7lu7tCMjK05jUj1v0
