Position,"Track Name",Artist,Streams,URL
1,Work,Rihanna,4114345,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
2,PILLOWTALK,ZAYN,3437130,https://open.spotify.com/track/0IKK48xF4eEdfofyaeKWWO
3,"Love Yourself","Justin Bieber",3344958,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
4,Sorry,"Justin Bieber",2970539,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
5,"Me, Myself & I",G-Eazy,2626339,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
6,"Stressed Out","Twenty One Pilots",2370930,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
7,Faded,"Alan Walker",2365205,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
8,"7 Years","Lukas Graham",2325839,https://open.spotify.com/track/4dbV37qzkwZOnkGVpsR0Q7
9,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",2204791,https://open.spotify.com/track/7vfWgVGiLgnGbInU5lvSQg
10,Roses,"The Chainsmokers",2127039,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
11,Stitches,"Shawn Mendes",2099289,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
12,"What Do You Mean?","Justin Bieber",2050758,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
13,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",1964228,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
14,"Fast Car - Radio Edit","Jonas Blue",1954483,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
15,Hello,Adele,1849881,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
16,"Hands To Myself","Selena Gomez",1807758,https://open.spotify.com/track/3CJvmtWw2bJsudbAC5uCQk
17,"My House","Flo Rida",1748505,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
